cause_bucket,episodes,wells,episode_sse_fraction,nonpersistent_truth_two_step_nll,truth_ring_000_016_transition_nll_mean_episodes,truth_ring_000_016_transition_nll_mean_episode_mean,truth_ring_000_016_transition_nll_mean_episode_median,truth_ring_000_016_transition_nll_mean_pooled,truth_ring_000_016_transition_nll_mean_vs_rmse_spearman,truth_ring_016_064_transition_nll_mean_episodes,truth_ring_016_064_transition_nll_mean_episode_mean,truth_ring_016_064_transition_nll_mean_episode_median,truth_ring_016_064_transition_nll_mean_pooled,truth_ring_016_064_transition_nll_mean_vs_rmse_spearman,truth_ring_064_128_transition_nll_mean_episodes,truth_ring_064_128_transition_nll_mean_episode_mean,truth_ring_064_128_transition_nll_mean_episode_median,truth_ring_064_128_transition_nll_mean_pooled,truth_ring_064_128_transition_nll_mean_vs_rmse_spearman,truth_ring_128_256_transition_nll_mean_episodes,truth_ring_128_256_transition_nll_mean_episode_mean,truth_ring_128_256_transition_nll_mean_episode_median,truth_ring_128_256_transition_nll_mean_pooled,truth_ring_128_256_transition_nll_mean_vs_rmse_spearman,truth_ring_256_512_transition_nll_mean_episodes,truth_ring_256_512_transition_nll_mean_episode_mean,truth_ring_256_512_transition_nll_mean_episode_median,truth_ring_256_512_transition_nll_mean_pooled,truth_ring_256_512_transition_nll_mean_vs_rmse_spearman,truth_pre_crescendo_eligible_episodes,truth_pre_crescendo_near_minus_far_nll_mean,truth_pre_crescendo_near_minus_far_nll_median,truth_pre_crescendo_positive_fraction,truth_pre_crescendo_positive_sse_fraction_all_group,truth_pre_crescendo_positive_sse_fraction_eligible,truth_pre_crescendo_spearman_mean,truth_pre_crescendo_spearman_median,truth_pre_crescendo_positive_rho_fraction,truth_pre_crescendo_ring_eligible_episodes,truth_pre_crescendo_strict_increase_fraction,truth_pre_crescendo_strict_increase_sse_fraction_eligible,truth_pre_crescendo_vs_rmse_spearman,truth_pre_crescendo_vs_pre128_error_slope_spearman,truth_pre_crescendo_vs_viterbi_gain_spearman
candidate_gr_with_opposed_prior,44,34,0.04529172193512498,0.23458446833071644,44,0.3136953665276681,0.2753519139291547,0.3136953665276681,0.026779422128259334,44,0.3094444452053773,0.30985983721931276,0.3094444452053773,0.17730796335447496,44,0.28765091698151823,0.300016277524502,0.28872136465708326,0.21691331923890061,43,0.24880449281112815,0.24781914295728807,0.24980059615790892,0.05240108728480822,42,0.24571934616240437,0.22577153547824655,0.24045794558575218,0.008184101774572563,42,0.06854142650040485,0.060741246155569806,0.6428571428571429,0.49011479681683917,0.5470060441483174,0.2928571428571428,0.44999999999999996,0.6904761904761905,42,0.047619047619047616,0.01392450779318493,-0.028603840855684307,-0.010128838829916538,-0.03767928044728953
neither_prior_nor_observed_gr,62,56,0.09162580864989919,0.23458446833071644,62,0.3422001903414392,0.26849932022282597,0.3422001903414392,0.1288056206088993,62,0.3183179864788815,0.2712617101239698,0.3183179864788816,0.05628163481151319,62,0.2884954399405394,0.24644106444173888,0.2884954399405394,0.08101029941326081,62,0.2565481875830381,0.21615517310995552,0.2548105781974825,0.28755256729873335,61,0.2392781578963103,0.2125400376704774,0.2336271502866592,0.23770491803278687,61,0.10615409370273106,0.08300884495685801,0.6557377049180327,0.45186275265866666,0.47013322818101405,0.21639344262295074,0.3,0.639344262295082,61,0.08196721311475409,0.07948336961378163,0.07123215230037015,0.29719725013220516,-0.10518244315177153
opposed_prior_gr_ambiguous,51,44,0.009874138617949233,0.23458446833071644,51,0.32852308509192235,0.2618398233194889,0.32852308509192235,0.42778280542986424,51,0.3282754541943874,0.30615749536835385,0.3282754541943875,0.4937556561085973,51,0.28217339095651256,0.25830930732548946,0.28217339095651256,0.2964705882352941,51,0.2566554363733766,0.2102858708538573,0.2566554363733766,0.12271493212669683,51,0.2406846620369806,0.21220611401384024,0.2406846620369806,0.022624434389140267,51,0.08783842305494181,0.05625736597785441,0.5686274509803921,0.7924024884378733,0.7924024884378733,0.20588235294117643,0.09999999999999999,0.5490196078431373,51,0.11764705882352941,0.16366432341334966,0.42099547511312213,0.5637104072398189,-0.2549321266968326
prior_aligned_gr_ambiguous,129,110,0.08243173648122946,0.23458446833071644,129,0.4102861699035056,0.3430202937305904,0.4102861699035056,0.2130254919499106,129,0.37655779233185194,0.3597019015724093,0.37655779233185194,0.1898367620751342,129,0.3843196482900186,0.36834462983468474,0.3843196482900186,0.21170058139534886,129,0.3224255534188188,0.2945829664204833,0.31891968114628755,0.18949575134168162,125,0.2506516377794759,0.2304273240019179,0.24964261587206776,0.028436251920122883,125,0.1601541071220896,0.13544515656236467,0.688,0.5137962923392811,0.6083343846836078,0.26879999999999993,0.39999999999999997,0.664,125,0.096,0.10381210910895443,0.23163133640552994,0.46670353302611356,-0.02078033794162826
prior_and_wrong_gr_reinforce,136,124,0.28886636243143893,0.23458446833071644,136,0.36785053420395086,0.33740548101443213,0.36785053420395086,0.06379951314292161,136,0.34379935322732136,0.31362024960079316,0.3437993532273213,-0.008997662325270741,136,0.3272864477306722,0.2967265513222119,0.32690499411283436,-0.11586756357044034,135,0.2928153750960608,0.24545148206416534,0.28647474950426904,-0.1189932689493708,128,0.23902041115308104,0.2164403222261173,0.2398477693351885,0.032188472807178174,128,0.12465455017855565,0.12866304884896476,0.6875,0.5573350959839645,0.5696773022996537,0.30859374999999994,0.39999999999999997,0.671875,128,0.0859375,0.026398349186005903,0.05357306354147591,0.22586865958615635,-0.21192318256729534
prior_persists_against_truth_gr,216,184,0.4819102318843581,0.23458446833071644,216,0.393807787828771,0.33292704388942435,0.393807787828771,0.15588663710173387,216,0.3632991655931061,0.33395033062856255,0.3632991655931061,0.13247121304135556,216,0.33926763403328364,0.29801575686165943,0.3388934771064801,0.11499184319889495,215,0.27771507580665755,0.2546375867913836,0.27716488057749,0.049197034461107486,212,0.25236183913355714,0.2365690230571219,0.24893980137530167,0.10054748593501454,212,0.13894013760976384,0.13689102821429275,0.6886792452830188,0.6717211677993964,0.6777276843876605,0.28537735849056595,0.49999999999999994,0.6792452830188679,212,0.09433962264150944,0.1161328448980231,0.12426180079673246,0.5323107382558788,-0.04167668984487269
