category,category_count,well,x_mean,y_mean,exact_typewell_group,exp226_rmse,hmm_rmse,hmm_bias,likpf_rmse,pf_ancc_rmse,gr_best_rmse,gr_worst_rmse,exp226_bias,likpf_mean_bias,pf_ancc_bias,hmm_std_mean,self_gr_valid_rate,self_gr_quality_mean,gr_missing_eval,formation_abs_slope_mean,z_mean_eval,z_range_eval,tvt_range_eval,donor_dist_min,donor_dist_max,delta_abs_median,end_minus_anchor,nearest8_min_dist,nearest8_med_dist,same_typewell_nearest8_count,nearest8_wells
pf_bad_hmm_good,7,7987f2f2,3014178.731330071,1111884.742695135,native_overlap_1_cluster_0013,5.305608482772463,9.390299603524117,6.4060793522273505,51.29440425806843,28.28221386226869,9.390299603524117,51.29440425806843,3.1731058179721785,45.079776309865686,24.692712361412912,1.4213084756922096,0.1981106549501419,0.007373581640422344,0.46180836707152495,0.04772453203743697,-9911.9991902834,189.21999999999935,42.52000000000044,805.9189824814484,931.9851482856678,0.970806373118596,7.556046917126743,517.1245477364994,2226.458707041513,3,63559d57 fa31da94 9e3e364d cbe51de1 877ed19c b85f7b06 7cbbd047 89fdb2f2
pf_bad_hmm_good,7,3417285d,2983667.747055504,1058575.6183024943,native_overlap_1_cluster_0029,5.291722390453413,2.091494031910913,-1.342940906588725,32.31756583024372,36.71888696245069,2.091494031910913,36.71888696245069,-4.39539836749042,-30.4100141791018,-34.44323385847955,1.61380785471906,0.9893558621406555,0.08689315617084503,0.09818315287208662,0.02654001468428784,-9972.753576803083,112.26000000000022,45.7400000000016,955.7708968157106,1360.090562352316,4.0,25.045558276946814,267.73230997427237,3451.0364969803936,5,10b89021 bc4381e2 c43812e2 7224331b 02e7fe5a 7993a768 f88ddb26 5d11dfb5
pf_bad_hmm_good,7,5f4d2a52,2998063.636030645,1118515.374334926,native_overlap_1_cluster_0008,13.760248401524166,3.41106297106394,-0.7929848803826842,44.47028178547893,44.15806282464602,3.41106297106394,44.47028178547893,-7.905358760605202,-37.06289606221049,-36.692640649181165,1.0673433802356276,0.8407655358314514,0.05767826363444328,0.21511961722488038,0.04200038284839195,-8998.881923444975,160.23999999999978,93.91000000000167,1371.920954000395,1820.377422108901,2.892143186733193,47.72588370486349,1139.1222974786208,2804.683421730639,5,7256229b 367456ce d085e611 c66be2b8 efde6ac3 6d590e26 cbe62450 c8d9680c
pf_bad_hmm_good,7,ba48188d,3010220.3931658794,1087248.0290404763,native_overlap_1_cluster_0003,16.17803715055962,2.373469238406193,0.8939002640413835,32.28084112882235,33.12219509839048,2.373469238406193,33.12219509839048,10.781192490084868,23.518175699822844,25.094837053102093,1.960468751451269,0.901584267616272,0.08357574790716171,0.17690830532885263,0.03120688275310119,-10150.53354536726,233.13999999999942,104.98999999999978,516.2205021109978,1082.7014461179622,2.6320652471353925,-67.57694692125318,1749.4282737712922,2253.3326877677064,8,00bbac68 ec13af42 6e6d122c 73b1447d cdc31d65 155887bb ab18d3fc 177622d7
pf_bad_hmm_good,7,b3388334,2888322.0691072103,1010727.5444024628,native_overlap_1_cluster_0033,26.430037749408022,7.697828971401926,-2.097293338816238,43.20465856310327,30.01498231320053,7.697828971401926,43.20465856310327,-22.52918359913008,-35.86805478864427,-23.26702910821591,2.156188005405033,0.7527960538864136,0.05353162810206413,0.2455592105263158,0.04048472884794672,-9319.394277960528,194.52000000000044,57.960000000000946,958.4383789531856,1209.1952980494418,1.2261595342587506,-32.71241461444737,405.2992630964635,2338.2998919260544,5,84c3b497 9a95e33f fb03ae90 5a63b5d1 7e721392 6d1d74e1 4c3df468 df71d1ff
pf_bad_hmm_good,7,efe96181,2940677.451068821,1063107.3532631742,native_overlap_1_cluster_0017,13.595654598440143,6.26493007451523,-1.1613449651055456,30.70649808489085,41.34855483776287,6.26493007451523,41.34855483776287,13.075032429567294,29.98564146276047,40.13599610218464,0.766348819812564,0.9523928165435791,0.05456140637397766,0.1719840478564307,0.0435809856228705,-8892.23767447657,155.3799999999992,30.360000000000582,1637.4718935679105,2714.1268668993803,4.0,-4.155299856399504,2681.3956768380813,3126.5798339399744,3,8c167025 511e1db0 ff8bb73a ce8399b7 357c12f9 ab94878e ef04658e 57796579
pf_bad_hmm_good,7,86454a6f,3002705.7847769223,1086096.9001098948,native_overlap_1_cluster_0003,18.52303326517216,5.097850468035463,-1.8477715344053343,58.80466447566196,55.52315362861186,5.097850468035463,58.80466447566196,-16.749877755304226,-55.60781251551284,-52.55600679857163,3.14780669993852,0.0,0.0,0.8117780010045204,0.030320231068693033,-10020.946811903566,307.64999999999964,96.67999999999847,772.2635593016157,3055.5801523805653,1.906965402489608,61.83872571030677,2277.9290766756153,3231.813397098419,8,ed6436d6 3bfee975 2b547943 e161bd0c da2d4d7c 2ab29395 c2c6fc71 8050c789
hmm_bad_pf_good,7,97cd5bf9,2956169.238972348,1087870.3264228306,native_overlap_1_cluster_0024,3.979652333603017,40.64132676988587,-31.46701855610322,4.620325874513306,3.127763404225287,3.127763404225287,40.64132676988587,-1.1133421796561187,-3.686033026316757,-2.1663518486996267,10.7604881033412,0.019425921142101288,0.0009263692190870643,0.6332270223253117,0.041635247486465604,-8588.44586256886,123.29000000000087,25.80999999999949,1350.2999717190507,1480.8219956499197,2.2007559156616816,6.270562463540406,1518.4451629755476,1948.3304669776949,8,122bd617 81fc01c6 404c4384 05948241 74b6186b 10be2420 8b5be31b 398dce4b
hmm_bad_pf_good,7,729665c0,2999484.693565372,1093005.3472917718,native_overlap_1_cluster_0007,6.062404916722908,30.991400346609066,28.61053225428109,3.4596815549521245,3.368568744632677,3.368568744632677,30.991400346609066,-4.241441295987478,0.062410910813753,-0.1903066541223762,2.993171147400394,0.2789115607738495,0.026879634708166122,0.555008210180624,0.03752659158454599,-9766.791111893033,168.88999999999942,25.81999999999971,781.3472173751643,1139.246067208934,1.918352003083996,0.2533694309432863,385.9548873022599,2587.753149978409,2,647f2a41 2be5c96a b0f53bf4 925a7cd1 153552f5 75c20ec7 1619e2ca da2d4d7c
hmm_bad_pf_good,7,b19b0395,2900874.045484996,1022318.8799471912,native_overlap_1_cluster_0001,8.066272854972755,54.60981689956661,47.001682521934036,7.655134161712865,6.388351351748804,6.388351351748804,54.60981689956661,7.274853992609694,4.067828791081492,2.470656629793444,3.838045319646549,1.0,0.08761213719844818,0.037674178565284704,0.020957214957559325,-9215.561670393945,111.10000000000036,25.81000000000131,1268.3970213029188,1685.4374212130845,4.0,4.13271641193928,350.5844300315236,2289.582288831494,5,dafc88c3 203721ab d24ff243 7d50373e ebe69318 1131525f af7a59ce 14ab73fb
