category,well_count,exp226_rmse_median,exp226_rmse_mean,hmm_rmse_median,hmm_rmse_mean,likpf_rmse_median,likpf_rmse_mean,pf_ancc_rmse_median,pf_ancc_rmse_mean,gr_best_rmse_median,gr_best_rmse_mean,gr_worst_rmse_median,gr_worst_rmse_mean,exp226_bias_median,exp226_bias_mean,hmm_bias_median,hmm_bias_mean,likpf_mean_bias_median,likpf_mean_bias_mean,pf_ancc_bias_median,pf_ancc_bias_mean,gr_missing_eval_median,gr_missing_eval_mean,hmm_std_mean_median,hmm_std_mean_mean,self_gr_valid_rate_median,self_gr_valid_rate_mean,donor_dist_min_median,donor_dist_min_mean,donor_dist_max_median,donor_dist_max_mean,z_range_eval_median,z_range_eval_mean,tvt_range_eval_median,tvt_range_eval_mean,formation_abs_slope_mean_median,formation_abs_slope_mean_mean
pf_bad_hmm_good,7,13.760248401524166,14.154906005475713,5.097850468035463,5.18956219412254,43.20465856310327,41.86841630375279,36.71888696245069,38.45257850390444,5.097850468035463,5.18956219412254,43.20465856310327,44.13766371155952,-4.39539836749042,-3.5072125349865124,-1.1613449651055456,0.008234855852886636,-30.4100141791018,-8.623597724717202,-23.26702910821591,-8.147909271106943,0.21511961722488038,0.3116201002692302,1.61380785471906,1.7333245696077546,0.8407655358314514,0.6621435987097877,955.7708968157106,1002.5721667473234,1360.090562352316,1739.150985170605,189.21999999999935,193.2014285714283,57.960000000000946,67.45142857142908,0.04048472884794672,0.03740825112324688
hmm_bad_pf_good,7,8.000245810154558,7.193414818218298,37.80492092582242,38.710461283701555,4.620325874513306,4.82471524637437,3.127763404225287,4.036013357154491,3.127763404225287,3.5166475793942014,37.80492092582242,38.710461283701555,0.3051911435149133,0.8365621045100654,-29.190170731707187,-2.278280422689618,0.062410910813753,0.4031477135683557,-1.0390849271407003,-0.6280014100462015,0.555008210180624,0.4451708523118884,4.870914603238363,6.332092284872057,0.08892355859279633,0.3590789740639074,1012.949289858381,1008.5952364149109,1480.8219956499197,1388.3807629999596,168.88999999999942,175.1714285714284,25.81000000000131,23.782857142857342,0.040999581764951644,0.03936889726302285
hmm_bad_exp226_good,9,6.80787494334492,6.358116109869985,37.80492092582242,40.0818234437807,7.655134161712865,11.54910716990233,6.388351351748804,10.2333800955604,6.388351351748804,8.688036291350786,37.80492092582242,40.4993498398677,0.3051911435149133,1.0389596360836095,-31.46701855610322,-9.821738961571192,-3.686033026316757,-6.02803405588782,-2.1663518486996267,-6.681391467334817,0.5474159558454591,0.45071016813435233,8.258346443231222,6.974927312718814,0.181841179728508,0.32191670313477516,1012.949289858381,1042.2122989672891,1462.094726625399,1515.2830724642718,160.1900000000005,154.56222222222237,25.80999999999949,24.6644444444448,0.040999581764951644,0.03683896575736323
likpf_bad_exp226_good,4,6.246320167619795,6.461036326388941,11.031984514748824,13.180399320624918,32.39668573217944,36.91270792598568,31.764415825563894,32.132483118961794,11.031984514748824,13.180399320624918,34.59734629828293,38.109730210554346,1.2823392556385302,0.33559649043970485,5.110419942304893,8.275853101317741,26.219395901836773,16.777138483609356,-1.2215555590263545,-2.4474094272392533,0.09069404176732221,0.1753138894278995,2.5004787731203146,3.1260415492147597,0.9509843289852142,0.7750198282301426,880.8449396485795,834.4274929719246,1146.037855318992,1289.2526677811638,124.89000000000033,122.32750000000033,49.645000000001346,51.410000000000764,0.02845274668526096,0.028431834841641763
pf_ancc_bad_exp226_good,19,5.206055418719414,5.4042130658582925,8.383918182209737,10.617901987857545,9.812330293614751,13.914077983595877,32.580254522718334,34.339902354578506,7.259069503907021,8.859380803337125,32.580254522718334,34.38710224776643,0.1261384243881377,-0.5094797554410885,-1.342940906588725,-0.29134090458715045,-1.5356739153392531,-1.5396288865887486,-21.217480733966475,-5.13040229146561,0.28776006484733857,0.31495105376048094,3.387149691521569,4.228835586196507,0.6255066394805908,0.564323547345243,955.7708968157106,986.3875345962392,1360.090562352316,1498.488670126765,138.78999999999905,149.04210526315785,45.6100000000024,41.43000000000001,0.032031819586036424,0.030404266498025884
any_gr_bad_exp226_good,28,5.2986654366129375,5.593405643955326,11.451561895233391,19.037913651006782,9.79690521594108,13.962462178927167,31.70846977926431,26.08134913413811,6.823710427827913,8.116284000840578,35.592076119942774,36.66358899360724,0.24860985551107667,0.36906934295026417,-1.420183283245922,-1.8809880079623507,-1.328561898493498,-0.4512877807370657,-2.505328866105212,-3.4011096664906435,0.36103952091433666,0.35321301751121326,3.3919855811209194,4.705569780459704,0.4364918917417526,0.4928205762989819,908.9277923980173,985.9794201141924,1335.4991052030691,1484.954385937402,155.1299999999992,151.95428571428576,25.824999999999818,36.76821428571442,0.03396314982928368,0.03303301670464862
hmm_and_pf_bad_exp226_good,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp226_bad_hmm_good,2,41.16822567214348,41.16822567214348,4.695766766887172,4.695766766887172,6.426683800744357,6.426683800744357,19.04630123820191,19.04630123820191,3.7299322394740777,3.7299322394740777,19.04630123820191,19.04630123820191,-38.86105113564235,-38.86105113564235,0.5693436172708181,0.5693436172708181,-4.895903962926088,-4.895903962926088,-17.027612279145515,-17.027612279145515,0.1322385942331042,0.1322385942331042,3.230579412176453,3.230579412176453,0.9454406797885895,0.9454406797885895,2233.337949686798,2233.337949686798,3731.0562482441037,3731.0562482441037,212.75,212.75,51.35500000000047,51.35500000000047,0.04430522452166149,0.04430522452166149
exp226_bad_likpf_good,3,33.03803224920812,38.45816119783169,6.747764203943613,7.5363023428228,6.588063920443634,6.480477173977449,19.225766746726897,20.41968101717127,4.816095149117423,4.6826427997972635,19.225766746726897,20.41968101717127,-27.696346728568844,-16.56420383694764,2.1686023518494983,4.519912784251098,-2.53618828799243,-3.374197945533874,-16.42923983733123,-4.543800626077794,0.11804271061039179,0.1275066330255334,5.452736746646341,5.320092430373216,0.979317307472229,0.9567328890164694,2297.542492076967,2254.739463816854,4988.586245803912,4796.541747053482,188.4499999999989,174.5500000000005,34.210000000000946,43.17666666666688,0.027177344475394646,0.03735439679401275
exp226_bad_pf_ancc_good,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
