category,exact_typewell_group,group_wells,category_wells_in_group,exp226_rmse_median,hmm_rmse_median,likpf_rmse_median,pf_ancc_rmse_median,gr_missing_eval_median,formation_abs_slope_mean_median
any_gr_bad_exp226_good,native_overlap_1_cluster_0024,13,1,3.979652333603017,3.9846279568739935,4.23927824770132,8.53883469384332,0.5114895917815626,0.04208741442864669
any_gr_bad_exp226_good,native_overlap_1_cluster_0029,10,1,6.567167270969376,6.37487093094931,6.78836465508641,6.8585291807955375,0.1991192919099326,0.02850567548909578
any_gr_bad_exp226_good,native_overlap_1_cluster_0032,8,1,6.163529686900912,9.164987456289854,11.286505867892522,11.777166145482582,0.20245737588900553,0.03437959094246784
any_gr_bad_exp226_good,native_overlap_1_cluster_0033,8,1,18.082062112433942,4.545343421823887,15.68013048709295,21.53722500688238,0.2914478732108494,0.03612986571676452
any_gr_bad_exp226_good,native_overlap_1_cluster_0034,7,2,15.99893006366368,14.15408519998593,16.202102402486258,12.403536470304251,0.04813923347528235,0.022888888888889427
any_gr_bad_exp226_good,native_overlap_1_cluster_0035,7,1,7.187031852467127,9.105988482430174,11.939103124804388,15.65603775026822,0.04748044387847917,0.026675606904614624
exp226_bad_hmm_good,native_overlap_1_cluster_0022,14,1,5.513807809169734,6.728659721997882,7.962204193126976,8.668854154163714,0.3528780849409282,0.03307631638690654
exp226_bad_hmm_good,native_overlap_1_cluster_0023,13,1,8.920455036679018,6.552791912990547,7.405207930758727,8.477785688891027,0.2746102925475123,0.0414086727989487
exp226_bad_likpf_good,native_overlap_1_cluster_0022,14,1,5.513807809169734,6.728659721997882,7.962204193126976,8.668854154163714,0.3528780849409282,0.03307631638690654
exp226_bad_likpf_good,native_overlap_1_cluster_0023,13,1,8.920455036679018,6.552791912990547,7.405207930758727,8.477785688891027,0.2746102925475123,0.0414086727989487
exp226_bad_likpf_good,native_overlap_1_cluster_0025,13,1,9.2373035902232,8.456976179041604,8.144813618170245,7.926795547195393,0.28636269857643903,0.03504449152542363
exp226_bad_any_gr_good,native_overlap_1_cluster_0022,14,1,5.513807809169734,6.728659721997882,7.962204193126976,8.668854154163714,0.3528780849409282,0.03307631638690654
exp226_bad_any_gr_good,native_overlap_1_cluster_0023,13,1,8.920455036679018,6.552791912990547,7.405207930758727,8.477785688891027,0.2746102925475123,0.0414086727989487
exp226_bad_any_gr_good,native_overlap_1_cluster_0025,13,1,9.2373035902232,8.456976179041604,8.144813618170245,7.926795547195393,0.28636269857643903,0.03504449152542363
exp226_bad_hmm_and_pf_good,native_overlap_1_cluster_0022,14,1,5.513807809169734,6.728659721997882,7.962204193126976,8.668854154163714,0.3528780849409282,0.03307631638690654
exp226_bad_hmm_and_pf_good,native_overlap_1_cluster_0023,13,1,8.920455036679018,6.552791912990547,7.405207930758727,8.477785688891027,0.2746102925475123,0.0414086727989487
