well,exp226_rows,last_known_row,unknown_rows,exp226_rmse,exp226_mae,exp226_bias,exp226_within10,exp226_within25,fold,donor_dist_min,donor_dist_max,delta_abs_median,delta_abs_max,end_minus_anchor,gate_segments,beam_mean_rmse,likpf_rmse,pf_ancc_rmse,pf_z_rmse,hmm_rmse,hmm_a150_rmse,hmm_best_variant,hmm_best_rmse,hmm_status,hmm_std_mean,hmm_std_p90,self_gr_quality_mean,self_gr_valid_rate,self_gr_prefix_anchor_count,hmm_loglik,hmm_grid_size,likpf_mean_bias,pf_ancc_bias,pf_z_bias,beam_mean_bias,pf_std_mean,beam_spread_mean,likpf_abs_delta_mean,prefix_length,eval_length,ml_rmse,x_mean,y_mean,x_start,y_start,x_end,y_end,exact_typewell_group,exact_typewell_group_size,horizontal_well_path,hmm_bias,hmm_row_rmse,hmm_row_count,z_mean_eval,z_min_eval,z_max_eval,z_range_eval,tvt_mean_eval,tvt_range_eval,formation_abs_slope_mean,formation_abs_slope_max,formation_slope_std,gr_missing_prefix,gr_missing_eval,gr_longest_nan_eval,gr_mean_eval,gr_std_eval,gr_half_mean_diff,gr_quarter_max_jump,gr_slope_first_half,gr_slope_second_half,gr_slope_change,gr_best_rmse,gr_worst_rmse,pf_best_rmse,pf_worst_rmse,hmm_likpf_abs_gap,hmm_exp226_abs_gap,likpf_exp226_abs_gap,pf_ancc_exp226_abs_gap,nearest8_min_dist,nearest8_med_dist,nearest8_wells,same_typewell_nearest8_count,neighbor_pf_bad_hmm_good_count,neighbor_hmm_bad_pf_good_count,neighbor_hmm_bad_exp226_good_count,neighbor_likpf_bad_exp226_good_count,neighbor_pf_ancc_bad_exp226_good_count,neighbor_any_gr_bad_exp226_good_count,neighbor_hmm_and_pf_bad_exp226_good_count,neighbor_exp226_bad_hmm_good_count,neighbor_exp226_bad_likpf_good_count,neighbor_exp226_bad_pf_ancc_good_count,neighbor_exp226_bad_any_gr_good_count,neighbor_exp226_bad_hmm_and_pf_good_count,neighbor_median_exp226_rmse,neighbor_median_hmm_rmse,neighbor_median_likpf_rmse,neighbor_median_pf_ancc_rmse,neighbor_median_gr_best_rmse,neighbor_median_gr_worst_rmse
03a935ae,2786,1643,2786,16.877527100552683,13.161308694496077,9.687823003408392,0.589375448671931,0.7634601579325198,0,1862.5448268766208,2318.612868532724,1.5843528193188507,4.0,-15.318812915450938,0,26.795235861706757,6.244180964730079,14.026328729860774,5.077726898472024,1.161202256334884,1.136715530034037,hmm_selfgr_boost_only_a150_c100,1.1366813072851711,ok,0.6634070796765208,1.7129235462146908,0.07766285538673401,1.0,128,-213.1264238074179,573,3.861032587841372,8.904951034179403,2.863477416088948,22.35391687611056,0.4588470862189518,7.540744523183776,27.175127527458,1644.0,2786.0,9.622023582458496,3034603.122180585,1088709.86341309,3036280.49,1087844.65,3032648.63,1089694.83,native_overlap_1_cluster_0034,7,data/raw/train/03a935ae__horizontal_well.csv,-0.398215003589438,1.1611712635688844,2786,-10653.358862167983,-10727.14,-10621.47,105.67000000000007,12761.13376166547,53.56999999999971,0.033113105924595945,0.09000000000014552,0.038876289062873215,0.037712895377128956,0.04055994256999282,2,87.26968609805482,16.533454863617962,7.021464108230205,7.574284529533756,-0.011992398326280013,0.009439666692515595,0.021432065018795608,1.161202256334884,14.026328729860774,6.244180964730079,14.026328729860774,5.082978708395195,15.7163248442178,10.633346135822604,2.8511983706919093,2242.1358130305102,4572.654546790813,d7eb0be8 a8ed028a 4c2208f5 493b5b31 27c3155b 57f05c51 a6f967fb cad13e8f,3,0,0,1,1,1,2,0,0,0,0,0,0,6.997453397906024,13.227442327097037,14.076478366261302,12.156827196738114,10.104452480907863,15.92907007637724
044af7d1,4519,1547,4519,6.056815817945325,5.32258819868003,-5.286118883657855,0.9816331046691746,1.0,0,1285.291581247564,1682.0519731340437,0.7052586758840764,3.98604509569399,3.158711647348899,0,6.997736616713698,1.8835310846345557,8.897331949716904,2.9342261415445066,2.0342539307922234,1.9956365867689112,hmm_selfgr_boost_only_a150_c100,1.9955068962148188,ok,3.8502608498815585,6.553017686693088,0.0014566141180694103,0.038946669548749924,56,-135.88604872396357,573,0.1865815778122592,5.964883565335277,-1.9523934871099489,-3.902679281466906,1.6421444915731356,4.452395805105112,8.090402371847865,1548.0,4519.0,2.545461177825928,3009892.159263232,1108288.725897479,3010003.63,1111006.19,3009755.45,1105274.94,native_overlap_1_cluster_0007,30,data/raw/train/044af7d1__horizontal_well.csv,0.9643124585078693,2.0341246860322557,4519,-9859.022960832042,-9929.66,-9784.96,144.70000000000073,11858.184093826068,23.219999999999345,0.028681201121440156,0.06000000000130967,0.01206988794178848,0.4509043927648579,0.6589953529541934,19,112.1377512715124,16.49831937914337,0.14654368609313906,6.364609012664033,-0.004144129474542368,0.005489219919846985,0.009633349394389354,1.8835310846345557,8.897331949716904,1.8835310846345557,8.897331949716904,0.15072284615766773,4.022561887153102,4.173284733310769,2.8405161317715786,928.2129909031601,1983.920880673023,7e208414 2acc78d4 7b38844c 44441e54 2f8e53c3 89fdb2f2 a79fd2e7 5cb483ac,1,0,0,0,0,0,0,0,0,0,0,0,0,3.78778020784387,4.6277726281182066,4.654373589031141,4.583442951800054,4.102467731171322,4.901950488909645
05a0ee4d,4348,1749,4348,6.912356232322433,5.967633951949141,-2.184174958733837,0.829116835326587,1.0,0,1288.1901107076962,1784.4681431242443,3.8888908231760415,4.0,-32.19971550830607,0,19.648411328680684,8.996178921460494,14.322903816037954,24.50570290345922,5.561227968967517,6.022126403889567,hmm_selfgr_boost_only_a070_c100,5.561237240104116,ok,5.342362587070888,13.262437778165276,0.02997186966240406,0.4599815905094147,88,-152.34391753051398,573,2.356205218464574,-7.183523089903626,15.617178267042105,14.001877372641804,1.5905938616812327,1.797568108978841,10.170865642873734,1750.0,4348.0,6.413614749908447,2993634.674160379,1102879.2822941963,2994585.45,1100502.46,2992517.01,1105683.34,native_overlap_1_cluster_0007,30,data/raw/train/05a0ee4d__horizontal_well.csv,0.35170561177553283,5.561230367513288,4348,-9356.019889604417,-9453.33,-9261.93,191.39999999999964,11914.972920883167,41.20999999999913,0.03875623035043339,0.09000000000014552,0.020595779316166195,0.224,0.35970561177552896,14,101.06595437880011,16.27000388491961,10.842675682831882,13.572549675765572,0.003162123585621698,0.00956300467019324,0.006400881084571541,5.561227968967517,14.322903816037954,8.996178921460494,14.322903816037954,3.4349509524929775,1.3511282633549166,2.083822689138061,7.410547583715521,656.7716951759041,5071.646537123423,939d9c34 ce55ba43 368131f9 5567d551 bb337fa0 f40cd091 bffe3082 3a86fe8d,4,0,0,0,0,0,0,0,0,0,0,0,0,8.663918189213046,10.715508974131517,7.501718007297002,9.258837317174178,6.413008918064529,14.64708086343999
0849b4e2,5537,1898,5537,8.580333136833556,5.417031052645282,4.382209109404373,0.8212028174101499,0.9669496117030884,0,628.8368744158328,968.654194978956,0.7672136856813445,2.5134876888116757,-11.199441285862934,0,13.94456787366554,7.30099201320358,10.453686048261456,1.5361557276622857,2.009228474321096,2.010747158046606,hmm_selfgr_boost_only_a070_c100,2.0092408532763755,ok,1.155833078346869,1.8939854555164342,0.066696897149086,0.7630485892295837,106,-136.12431180503953,573,5.478963966985018,6.8597231449939375,-0.4620291576970531,8.20718472951341,1.7637197559138522,2.1078072723135275,2.9611248092170857,1899.0,5537.0,6.9274187088012695,3021498.1430876767,1116087.8739698746,3021166.5,1119203.58,3021865.8,1112421.72,native_overlap_1_cluster_0016,19,data/raw/train/0849b4e2__horizontal_well.csv,-0.3956121545962968,2.0092460302617963,5537,-9907.886512551924,-9972.42,-9839.61,132.8099999999995,11935.639985551745,43.0,0.031238860789980817,2.6599999999998545,0.043581194900937176,0.16429699842022116,0.2499548491963157,7,65.52342492537547,12.462445598450238,7.066064931547906,5.989343269856867,-0.0007807181629178769,-0.00028316378799806124,0.0004975543749198157,2.009228474321096,10.453686048261456,7.30099201320358,10.453686048261456,5.291763538882485,6.571104662512459,1.2793411236299752,1.8733529114279008,243.47825879883828,2734.7273988756833,69e41fa6 08fecf00 62569ae3 52f1e77a fde20ecf 660d9546 5693dde2 95b559e7,6,0,0,0,0,0,0,0,0,0,0,0,0,6.023532510829678,4.115675249352489,7.247156231130363,7.995771930061203,3.758615374779621,14.947308927487663
0a57a29c,5821,1372,5821,9.511312647411202,6.376468381577724,5.900616657699961,0.6660367634427075,1.0,0,773.178686413975,1254.4518485975989,1.0579140038102974,2.745292428430153,11.912464052696292,0,4.11831592432601,14.36424198637319,15.39055392050419,5.231924325131097,3.868787214686487,3.867636531545016,hmm_selfgr_boost_only_a150_c100,3.867622006588632,ok,1.504530680202674,2.1629143192591087,0.0035840689670294523,0.07576017826795578,62,-180.29153937656886,573,-12.235469011483143,-12.874949984912606,4.41298662391749,-2.1856589396630617,1.6011255614980244,4.559575786868236,6.593374206092596,1373.0,5821.0,7.662942409515381,2901704.492577148,1033301.949332778,2903864.38,1030782.87,2899359.54,1036013.26,native_overlap_1_cluster_0001,71,data/raw/train/0a57a29c__horizontal_well.csv,0.10050017179215905,3.8687708745262737,5821,-9056.741190517094,-9136.02,-8964.38,171.64000000000124,11201.042482391344,22.329999999999927,0.03515549828178707,0.08000000000174623,0.021461525573451174,0.3525127458120903,0.5299776670675141,18,83.96318880226555,13.435665749524343,13.13468754416499,10.7461647655078,0.0006145259814230593,0.00183254016747688,0.0012180141860538207,3.868787214686487,15.39055392050419,14.36424198637319,15.39055392050419,10.495454771686703,5.642525432724716,4.852929338961987,5.879241273092989,385.2903066347063,2828.8571537864555,4caa7289 6ede926a e45a2a62 0bbf5e67 c9578d27 5eae34a8 8bb9c1e6 811f52b3,6,0,1,1,0,1,1,0,0,0,0,0,0,6.442204755818164,6.891660529526187,4.779039744959196,10.35604736075151,3.0437782671688245,11.29198564293527
0c1b160c,5054,1659,5054,4.536156584820747,3.672138228477661,0.9564626293826208,1.0,1.0,0,1569.2970929848673,1804.648515147656,0.875982074024946,3.3244081291797483,4.526801657786418,0,7.545905134996607,14.750255503445532,8.32517860209799,7.153200935534237,6.003800091861219,5.901702022701499,hmm_selfgr_boost_only_a150_c100,5.901701649017923,ok,6.490947673815803,11.059566642926372,0.004847394302487373,0.09596358984708786,20,-161.71044428785603,573,12.428382444524926,3.476413448435097,3.690418296080524,-0.7467168587608968,1.6147895047245746,4.337767901385042,15.93304131504541,1660.0,5054.0,6.612133502960205,2972607.062399471,1092683.5475886222,2970655.7,1094893.7,2974809.23,1090177.05,native_overlap_1_cluster_0020,15,data/raw/train/0c1b160c__horizontal_well.csv,0.20042718638732337,6.003788685145434,5054,-8967.517354570637,-9040.79,-8891.56,149.23000000000138,11162.8249742778,27.18000000000029,0.03196516920641218,2.850000000000364,0.044280856686360906,0.48734939759036144,0.5209734863474476,15,111.1465335398722,17.038311796145134,7.906374047699316,9.315666544218615,-0.0029116357809621423,0.0002789939237338779,0.0031906297046960202,6.003800091861219,14.750255503445532,8.32517860209799,14.750255503445532,8.746455411584313,1.4676435070404725,10.214098918624785,3.7890220172772437,943.1258008025671,2870.611782365999,a612d5a0 9b5b61c1 a4f989c2 d011f41b 46a301e9 dd6bc5b2 9298ad5b 633774dc,8,0,0,0,0,0,0,0,0,0,0,0,0,3.3209140966666557,3.648959682815851,11.217889781965404,10.267336645049081,2.720608748546896,15.95845746816509
109d9d70,4215,1635,4215,4.14105020827846,3.6858745312464447,3.5438949381456246,1.0,1.0,0,645.879008986854,1693.0263091430097,4.0,4.0,24.372845523437903,0,9.858382959271491,16.79043228150214,21.707904694363098,16.63884195834082,16.396377142175453,16.38789267323685,hmm_selfgr_boost_only_a150_c100,16.38763272997113,ok,1.9963227295347914,2.848371974339198,0.02487845905125141,0.2920522093772888,97,-143.4926270063911,573,-14.438918382734514,-17.230690659401468,-14.47615625845246,-6.170381450903039,0.9437279216251484,1.75664678657414,9.251251803997627,1636.0,4215.0,9.809715270996094,3020316.993724144,1106786.647065459,3022021.13,1104837.17,3018415.45,1108984.08,native_overlap_1_cluster_0013,22,data/raw/train/109d9d70__horizontal_well.csv,-13.369046500593397,16.39611786505356,4215,-10239.382837485171,-10328.56,-10164.08,164.47999999999956,12233.367349940687,34.409999999999854,0.045293466223698814,1.2600000000002183,0.02489361533929441,0.26466992665036676,0.4132858837485172,18,84.78312744578436,11.97968256332016,1.4875823174593137,5.31202752902729,0.0073220572430743695,-0.0028875155183794112,0.01020957276145378,16.396377142175453,21.707904694363098,16.79043228150214,21.707904694363098,0.3940551393266887,12.255326933896992,12.64938207322368,17.566854486084637,347.92000621316,1175.22316418446,e5c92e59 a959858c 3a0af893 f074d277 5d7198fd 5f6756c5 8648abae c99f9fae,6,0,0,0,0,0,0,0,0,0,0,0,0,4.413864443510239,5.916024855150392,4.221417293907838,5.864806914388835,4.001566968218204,5.968583337892692
10be2420,3271,1931,3271,0.983302383380696,0.8330106420841971,-0.3657721730233046,1.0,1.0,0,1100.5713941516517,1369.7567008777812,0.8930222611753303,3.0537732707238394,-19.06700658898096,0,9.72284677099092,4.1479345255213165,8.53883469384332,0.7525673063546602,3.9846279568739935,3.977831035265338,hmm_selfgr_boost_only_a150_c100,3.977863031340143,ok,0.8425355191787519,1.459179069877354,0.009533846750855446,0.15071843564510345,56,-64.381956367058,573,2.112430967333409,5.23097988635645,-0.104810850421306,8.124951344267545,1.6034037014258635,0.6794316029073678,9.46557459924228,1932.0,3271.0,5.156223773956299,2953515.6130386293,1085603.3223025189,2954836.82,1083945.85,2951819.58,1087527.03,native_overlap_1_cluster_0024,13,data/raw/train/10be2420__horizontal_well.csv,2.0796828187107304,3.9846527817709827,3271,-8518.129116478141,-8605.32,-8432.76,172.5599999999995,10811.631956588199,21.859999999998763,0.04676146788990826,0.07000000000152795,0.00793521059986778,0.38768115942028986,0.5166615713848975,23,95.62969936500153,14.409832630597206,12.320067158510923,18.17588741173161,0.016914979167374354,0.00016325056581736191,0.016751728601556992,3.9846279568739935,8.53883469384332,4.1479345255213165,8.53883469384332,0.16330656864732296,3.0013255734932978,3.1646321421406203,7.555532310462624,745.767488601541,2595.2381444007215,398dce4b dd64382d 8b5be31b 404c4384 81fc01c6 9af1ffd0 97cd5bf9 e0079ed1,7,0,1,1,0,0,1,0,0,0,0,0,0,5.025804470027586,6.491941819827359,5.1102147535609515,3.5290642482983783,3.2747106706364475,10.848030415943187
14fee784,4910,1495,4910,25.692714979513173,22.311071543594565,22.311071543594565,0.2798370672097759,0.5258655804480652,0,874.1217920432035,1345.2706556397566,2.9688663103061232,4.0,25.829960553782136,0,20.584739324590643,13.22211707544012,28.98719406957081,20.005378827923725,13.367712096683563,13.36616286936326,hmm_selfgr_boost_only_a150_c100,13.3662527318375,ok,2.2143524070129277,4.085543440130883,0.0015721820527687669,0.0295315682888031,61,-148.28974102567832,573,-10.004681520272737,-16.104860518277537,14.893063514309036,12.86624423417474,2.2271241905132384,0.882582558898167,23.19559014659878,1496.0,4910.0,19.55938720703125,2991163.9515329343,1124343.444366218,2992131.0,1121564.3,2990101.06,1127350.22,native_overlap_1_cluster_0008,28,data/raw/train/14fee784__horizontal_well.csv,-6.381651629328612,13.367802505784764,4910,-8577.06733197556,-8674.62,-8489.64,184.98000000000138,10867.759293279023,52.19000000000051,0.04141780403340803,5.079999999999927,0.08999641615526609,0.393048128342246,0.6004073319755601,25,78.96071778806227,16.479590071591055,2.035639969046912,19.366175046835238,-0.015670930255262495,0.013317309260774528,0.028988239516037025,13.22211707544012,28.98719406957081,13.22211707544012,28.98719406957081,0.1455950212434427,12.32500288282961,12.470597904073053,3.294479090057635,591.4986689418078,2459.5466975603044,84633df4 8478df29 2ac7cb6b f16e25e3 fae0c593 0dc835f3 89969c7a 01982c1d,8,0,0,0,0,1,1,0,0,0,0,0,0,6.136306185355783,8.057147429157093,9.391339874809464,15.232452339904073,6.910227770286405,15.493892522653926
1590af81,3799,1431,3799,9.120581309222136,7.523209332653988,-7.465393039158157,0.7046591208212688,1.0,0,877.5799813406919,1229.0772375751644,1.3589108232044345,4.0,-15.671572533658336,0,5.821579167871772,2.5168038789910434,8.159314278070633,10.665915580891973,4.594263221329953,2.8729142571804585,hmm_selfgr_boost_only_a150_c100,2.872976143898258,ok,5.999391383290966,15.090282195107646,0.07431071251630783,0.8952355980873108,123,-258.18166627029467,573,0.1311691497745444,4.58841914484606,8.884441519155088,1.829845972893724,0.3787833301084496,2.8117281524585414,2.205621286844038,1432.0,3799.0,2.715669631958008,2990197.728916072,1092270.6935748444,2991057.51,1090016.23,2989276.03,1094703.45,native_overlap_1_cluster_0015,20,data/raw/train/1590af81__horizontal_well.csv,-2.510272176889388,4.594377044148553,3799,-9411.75103711503,-9485.18,-9344.09,141.09000000000015,11449.024645959462,19.2400000000016,0.03837809373354395,0.08000000000174623,0.008777410349176984,0.07960893854748603,0.2082126875493551,4,84.60537322123145,17.980959494276277,9.739473660190455,20.378817051471998,-0.00037292223407972184,0.013769016250493477,0.014141938484573199,2.5168038789910434,8.159314278070633,2.5168038789910434,8.159314278070633,2.07745934233891,4.526318087892182,6.6037774302310925,0.9612670311515021,336.2594258818124,1450.3457220966286,1a730ac2 45fb3e21 8d92cb49 2fe023be 0498acab cd7f1687 261785ee d217e0c5,5,0,0,0,0,0,0,0,0,0,0,0,0,5.991455107845772,3.2531181782900065,4.419929019964646,4.411385837467021,2.098633577129962,6.014828226648492
