well,rows,rmse_ft,mae_ft,bias_ft,outside_grid_fraction,truth_outside_typewell_fraction,prediction_outside_typewell_fraction,truth_edge_fraction,prediction_edge_fraction,posterior_std_mean,sse,last_tvt_grid_ledger,typewell_tvt_min,typewell_tvt_max,grid_min,grid_max,grid_size,grid_span_ft,grid_low_source,grid_high_source,init_rate,rate_span,rate_step,true_rate_abs_p95,true_rate_abs_max,true_rate_outside_fraction,raw_md_step_min,raw_md_step_median,raw_md_step_max,raw_md_step_below_one_fraction,raw_md_step_nonpositive_fraction,rate_lower_edge_lost_mass_mean,rate_lower_edge_lost_mass_max,rate_upper_edge_lost_mass_mean,rate_upper_edge_lost_mass_max
8d5d46d7,5755,56.42298016803102,53.51719678540413,-53.50194066029553,0.0,0.0,0.0,0.0,0.0,8.04074615834405,18321345.736946836,11208.18,10564.45,11366.45,11108.18,11308.380000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.029999999998835847,0.1,0.005,0.05999999999949068,0.819999999999709,0.0008688097306689834,1.0,1.0,1.0,0.0,0.0,0.06000000000000001,0.06,0.06000000000000001,0.06
b19b0395,5813,55.97093048462987,48.4006505246859,48.38686125924635,0.0,0.0,0.0,0.0,0.0,1.6147401456719421,18210647.02979966,11199.23,10676.45,11366.45,11099.23,11299.430000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.0,0.1,0.005,0.049999999999272404,0.08000000000174623,0.0,1.0,1.0,1.0,0.0,0.0,0.06000000000000001,0.06,0.06000000000000001,0.06
91db7070,4073,47.654410709021185,41.68467542352089,-41.68467542352089,0.0,0.0,0.0,0.0,0.0,1.7688197555561012,9249550.26887805,12029.18,11397.45,12156.95,11929.18,12129.380000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.029999999998835847,0.1,0.005,0.06999999999970896,1.000000000001819,0.00024551927326295114,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
8a3da6d1,4593,47.25000148032095,34.81418669714791,-34.04921260613992,0.0,0.0,0.0,0.0,0.0,1.877252323441759,10254160.205016293,12003.01,11177.7,12156.95,11903.01,12103.210000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.020000000000436557,0.1,0.005,0.06999999999970896,0.08000000000174623,0.0,1.0,1.0,1.0,0.0,0.0,0.06,0.06,0.06,0.06
708caea9,6548,47.146372527810165,45.42358636224816,-45.42358636224816,0.0,0.0,0.0,0.0,0.0,1.4959706344822845,14554766.337693334,11014.1,10117.95,11122.45,10914.1,11114.300000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.05999999999949068,0.1,0.005,0.11000000000058208,5.430000000000291,0.16264508246792914,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
91b301ce,6570,42.3535136806129,32.86493706240477,32.74370296803639,0.0,0.0,0.0,0.0,0.0,10.60522306791172,11785398.195586685,11011.78,10386.37,11145.28,10911.78,11111.980000000209,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.050000000001091394,0.1,0.005,0.06999999999970896,3.609999999998763,0.00015220700152207003,1.0,1.0,1.0,0.0,0.0,0.060000000000000026,0.06,0.060000000000000026,0.06
bb682ebd,4139,40.58527344131495,37.813119231698614,-37.81292570669258,0.0,0.0,0.0,0.0,0.0,1.8930490030901184,6817613.535647796,11016.97,10134.45,11122.45,10916.97,11117.170000000207,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.049999999999272404,0.1,0.005,0.09000000000014552,0.11000000000240107,0.028267697511476203,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
97cd5bf9,3449,40.488869938501175,31.34317990721963,-31.3354852131054,0.0,0.0,0.0,0.0,0.0,10.915939486071325,5654113.283105284,10823.5,10076.47,10963.71,10723.5,10923.700000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.030000000000654836,0.1,0.005,0.06000000000130967,0.08000000000174623,0.0,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
fc0d20b2,3954,39.6463240253711,31.335258472433118,-31.252320182094234,0.0,0.0,0.0,0.0,0.0,7.09936517320435,6215019.808497534,10796.320000000002,10362.64,10881.6,10696.320000000002,10896.52000000021,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.049999999999272404,0.1,0.005,0.05999999999949068,0.07000000000152795,0.0,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
c9578d27,4487,39.539205227117975,31.831554156452093,-31.805734900824746,0.0,0.0,0.0,0.0,0.0,4.886801315326499,7014745.841214792,11221.94,10544.45,11366.45,11121.94,11322.140000000209,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.020000000002255547,0.1,0.005,0.06999999999970896,0.09000000000196451,0.0,1.0,1.0,1.0,0.0,0.0,0.060000000000000005,0.06,0.060000000000000005,0.06
4caa7289,5396,38.95583123984636,35.040394366197326,-34.998916790215134,0.0,0.0,0.0,0.0,0.0,12.645928045806153,8188736.425821555,11191.1,10679.95,11366.45,11091.1,11291.300000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.020000000000436557,0.1,0.005,0.06999999999970896,0.12000000000261934,0.004262416604892513,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
fa31da94,5027,38.91461988502065,34.77173811418331,34.71470668390677,0.0,0.0,0.0,0.0,0.0,7.303535818008753,7612625.590279705,12189.97,11415.85,12325.65,12089.97,12290.170000000207,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.050000000001091394,0.1,0.005,0.06999999999970896,1.1700000000000728,0.002188183807439825,1.0,1.0,1.0,0.0,0.0,0.06000000000000001,0.06,0.06000000000000001,0.06
4c2208f5,5384,37.629492862502964,34.805044947994176,-34.80412630014871,0.0,0.0,0.0,0.0,0.0,1.1768015212202823,7623629.498952044,12672.98,11902.45,12987.45,12572.98,12773.180000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.040000000000873115,0.1,0.005,0.06000000000130967,0.15999999999985448,0.009658246656760773,1.0,1.0,1.0,0.0,0.0,0.06000000000000001,0.06,0.06000000000000001,0.06
a9c9b150,3986,35.7456719256379,33.1644636226795,-33.1644636226795,0.0,0.0,0.0,0.0,0.0,10.640540397556448,5093123.702801536,11158.3,10317.05,11311.5,11058.3,11258.500000000207,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.049999999999272404,0.1,0.005,0.05999999999949068,1.2099999999991269,0.0002508780732563974,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
f6d009f4,6715,35.276015260120914,27.954877364110242,-26.053199180938318,0.0,0.0,0.0,0.0,0.0,7.468517285714072,8356127.551425784,11001.490000000002,9997.45,11122.45,10901.490000000002,11101.69000000021,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.050000000001091394,0.1,0.005,0.11000000000058208,3.2400000000016007,0.12866716306775874,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
ebe69318,4976,32.90158009646108,26.662353094855185,26.645792001607585,0.0,0.0,0.0,0.0,0.0,4.714752650570739,5386589.528870969,11178.59,10282.45,11366.45,11078.59,11278.790000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.020000000000436557,0.1,0.005,0.049999999999272404,4.399999999999636,0.0014067524115755627,1.0,1.0,1.0,0.0,0.0,0.06000000000000001,0.06,0.06000000000000001,0.06
a6b8ac67,5453,32.11752125484812,29.302674032642734,-29.302674032642734,0.0,0.0,0.0,0.0,0.0,2.486847877781038,5624961.290492801,12752.41,12028.45,12981.95,12652.41,12852.610000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.050000000001091394,0.1,0.005,0.07999999999992724,0.23999999999978172,0.0009169264624977076,1.0,1.0,1.0,0.0,0.0,0.06000000000000001,0.06,0.06000000000000001,0.06
811f52b3,4836,31.95938189569432,25.761534429280466,-24.998702750206903,0.0,0.0,0.0,0.0,0.0,1.9262131744665012,4939500.5128247775,11215.77,10336.95,11366.45,11115.77,11315.970000000209,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.039999999999054126,0.1,0.005,0.05999999999949068,0.07999999999810825,0.0,1.0,1.0,1.0,0.0,0.0,0.05999999999999999,0.06,0.05999999999999999,0.06
ab112491,5185,31.315196810950933,28.11465728061728,-27.950478109932657,0.0,0.0,0.0,0.0,0.0,5.753979338869817,5084626.443535047,12276.5,11274.95,12366.95,12176.5,12376.700000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.029999999998835847,0.1,0.005,0.06999999999970896,0.1400000000012369,0.011186113789778206,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
729665c0,4263,30.986844735225297,28.60349636406271,28.60349636406271,0.0,0.0,0.0,0.0,0.0,3.0398191424255216,4093266.722347463,11859.08,11281.4,12051.84,11759.08,11959.280000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.020000000000436557,0.1,0.005,0.06000000000130967,1.75,0.0150129017124091,1.0,1.0,1.0,0.0,0.0,0.060000000000000005,0.06,0.060000000000000005,0.06
f0188a48,4170,30.169384795155487,24.322697482014245,24.321413788968673,0.0,0.0,0.0,0.0,0.0,7.357143440388489,3795499.7180887237,11404.72,10561.95,11591.95,11304.72,11504.920000000207,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.08000000000174623,0.12000000000174624,0.006000000000087312,0.09000000000014552,0.13000000000101863,0.0014388489208633094,1.0,1.0,1.0,0.0,0.0,0.03555555555393864,0.03555555555393864,0.03555555555393864,0.03555555555393864
e730c32b,4728,29.86692269795287,26.75987002961095,-26.608918041455304,0.0,0.0,0.0,0.0,0.0,3.0978076723752115,4217532.361794287,11366.070000000002,10444.45,11537.41,11266.070000000002,11466.27000000021,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.020000000000436557,0.1,0.005,0.06000000000130967,0.17000000000189175,0.0035956006768189507,1.0,1.0,1.0,0.0,0.0,0.06000000000000001,0.06,0.06000000000000001,0.06
b8c49c1a,4319,29.64960103393416,25.335576638110783,-25.215548622366427,0.0,0.0,0.0,0.0,0.0,4.89572440910859,3796827.896315278,10786.990000000002,9827.67,10881.6,10686.990000000002,10887.19000000021,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.039999999999054126,0.1,0.005,0.049999999999272404,0.06000000000312866,0.0,1.0,1.0,1.0,0.0,0.0,0.06,0.06,0.06,0.06
52f1e77a,4442,29.555069749643376,24.664883273300195,23.966048739306473,0.0,0.0,0.0,0.0,0.0,1.1307653161166142,3880096.5409997175,12024.5,11518.45,12181.95,11924.5,12124.700000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.020000000000436557,0.1,0.005,0.049999999999272404,1.4200000000018917,0.00045024763619990995,1.0,1.0,1.0,0.0,0.0,0.06,0.06,0.06,0.06
2043abc5,6958,28.364589789367546,26.960828398965365,-26.960828398965365,0.0,0.0,0.0,0.0,0.0,11.249337060829262,5598058.579369054,11420.990000000002,10885.39,11594.55,11320.990000000002,11521.19000000021,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.039999999999054126,0.1,0.005,0.06999999999788997,1.7999999999992724,0.014228226501868352,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
028d7b28,6234,28.190609492339114,23.756292107795836,23.65777061276854,0.0,0.0,0.0,0.0,0.0,1.9266989747534489,4954225.0297679575,12427.92,11862.45,12748.95,12327.92,12528.120000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.030000000000654836,0.1,0.005,0.07999999999992724,0.1000000000003638,0.0008020532563362208,1.0,1.0,1.0,0.0,0.0,0.06000000000000001,0.06,0.06000000000000001,0.06
e7818f7a,5371,27.544920393749404,23.6666781791099,23.6666781791099,0.0,0.0,0.0,0.0,0.0,1.6110477210742877,4075099.2967437143,11022.87,10361.95,11122.45,10922.87,11123.070000000209,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.039999999999054126,0.1,0.005,0.07999999999810825,3.5200000000004366,0.008564513126047292,1.0,1.0,1.0,0.0,0.0,0.06000000000000001,0.06,0.06000000000000001,0.06
ee0300f7,4544,27.50055616966214,26.088700924295914,-26.08776122359169,0.0,0.0,0.0,0.0,0.0,0.9683953601760562,3436538.9993275334,12528.47,11674.59,12652.570000000002,12428.47,12628.670000000207,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.029999999998835847,0.1,0.005,0.030000000000654836,0.049999999997453415,0.0,1.0,1.0,1.0,0.0,0.0,0.06,0.06,0.06,0.06
c8d9680c,6281,27.218434650675896,24.523536777583303,-24.10385105874875,0.0,0.0,0.0,0.0,0.0,7.902351402999523,4653236.043936791,11364.54,10849.820000000002,11537.41,11264.54,11464.740000000209,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.040000000002692104,0.1,0.005,0.06999999999970896,5.680000000000291,0.0001592103168285305,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
b4d8dd4f,4259,26.707591100320187,16.481169992956143,-14.423572200047127,0.0,0.0,0.0,0.0,0.0,0.8306481335219535,3037925.203924521,11194.490000000002,10414.820000000002,11350.94,11094.490000000002,11294.69000000021,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.040000000000873115,0.1,0.005,0.06999999999970896,2.110000000000582,0.018079361352430146,1.0,1.0,1.0,0.0,0.0,0.060000000000000005,0.06,0.060000000000000005,0.06
