scope,rows,bias_ft,mae_ft,rmse_ft,sse,prediction_edge_fraction,sse_fraction_of_all
all,3783989,-1.0836968257573032,6.769554887712418,11.938287234887438,539304337.0068042,0.0,1.0
interior,3783264,-1.0817086010916899,6.767765617995472,11.93688017739559,539073914.0864272,0.0,0.9995727404647701
truth_below_grid,135,7.667137037036864,7.667137037036864,7.718318687214517,8042.279853249653,0.0,1.491232185872109e-05
truth_lower_edge,132,4.922049242424057,4.922049242424057,4.978579959664293,3271.7861107497606,0.0,6.0666786566348e-06
truth_upper_edge,458,-21.817539301310166,21.817539301310166,21.872439558848114,219108.85441300244,0.0,0.00040628053471455396
