error_threshold_ft,minimum_run_rows,episodes,episode_wells,episode_rows,episode_row_fraction,episode_sse_fraction,episode_pooled_rmse_ft,non_episode_pooled_rmse_ft,episode_sign_consistency_median
5.0,64,1317,679,1415426,0.37405658420254395,0.9810417283953877,19.33379512407789,2.0776570235796967,1.0
5.0,128,1190,656,1403324,0.3708583719455844,0.9803274402524629,19.409911697100004,2.1110486861608804,1.0
5.0,256,989,623,1366142,0.36103223344465324,0.9775921490393109,19.644812468411306,2.2356440198833356,1.0
10.0,64,702,470,813633,0.2150199168126546,0.9211086409053229,24.709167149486596,3.7846648250712214,1.0
10.0,128,638,450,807710,0.21345463742098617,0.9198804605353046,24.783059726194345,3.8102139129410015,1.0
10.0,256,544,420,789440,0.20862639928393026,0.9152610998499611,25.005174794859172,3.9065434218071555,1.0
15.0,64,416,317,514528,0.13597502529737798,0.8370223172342556,29.619721343528536,5.18493056878133,1.0
15.0,128,381,304,511291,0.135119578835985,0.8354240058683149,29.684952451663076,5.207715307766544,1.0
15.0,256,324,272,500814,0.13235080757370066,0.8299519366300396,29.895457043283006,5.285131353428286,1.0
20.0,64,293,222,343879,0.09087737834333028,0.7394784098121044,34.054685837271414,6.390762111761642,1.0
20.0,128,266,208,341335,0.09020507194920492,0.7373852856058741,34.13294639660448,6.414012414123075,1.0
20.0,256,230,194,334417,0.08837684253310461,0.7313603152716914,34.34301967834253,6.480662934301976,1.0
