cause_bucket,episodes,wells,episode_sse_fraction,missing_ring_256_512_fraction_episode_mean,missing_ring_256_512_fraction_episode_median,missing_ring_256_512_fraction_pooled,missing_ring_256_512_eligible_episodes,missing_ring_256_512_all_missing_fraction,missing_ring_256_512_all_missing_sse_fraction,missing_ring_256_512_no_missing_fraction,missing_ring_256_512_no_missing_sse_fraction,missing_ring_128_256_fraction_episode_mean,missing_ring_128_256_fraction_episode_median,missing_ring_128_256_fraction_pooled,missing_ring_128_256_eligible_episodes,missing_ring_128_256_all_missing_fraction,missing_ring_128_256_all_missing_sse_fraction,missing_ring_128_256_no_missing_fraction,missing_ring_128_256_no_missing_sse_fraction,missing_ring_064_128_fraction_episode_mean,missing_ring_064_128_fraction_episode_median,missing_ring_064_128_fraction_pooled,missing_ring_064_128_eligible_episodes,missing_ring_064_128_all_missing_fraction,missing_ring_064_128_all_missing_sse_fraction,missing_ring_064_128_no_missing_fraction,missing_ring_064_128_no_missing_sse_fraction,missing_ring_016_064_fraction_episode_mean,missing_ring_016_064_fraction_episode_median,missing_ring_016_064_fraction_pooled,missing_ring_016_064_eligible_episodes,missing_ring_016_064_all_missing_fraction,missing_ring_016_064_all_missing_sse_fraction,missing_ring_016_064_no_missing_fraction,missing_ring_016_064_no_missing_sse_fraction,missing_ring_000_016_fraction_episode_mean,missing_ring_000_016_fraction_episode_median,missing_ring_000_016_fraction_pooled,missing_ring_000_016_eligible_episodes,missing_ring_000_016_all_missing_fraction,missing_ring_000_016_all_missing_sse_fraction,missing_ring_000_016_no_missing_fraction,missing_ring_000_016_no_missing_sse_fraction,missing_near_minus_far_eligible_episodes,missing_near_minus_far_mean,missing_near_minus_far_median,missing_near_minus_far_positive_fraction,missing_near_minus_far_positive_sse_fraction,missing_near_minus_far_negative_fraction,missing_near_minus_far_negative_sse_fraction,missing_near_minus_far_unchanged_fraction,missing_near_minus_far_unchanged_sse_fraction,missing_change_vs_transition_crescendo_spearman,missing_change_vs_posterior_mean_rate_error_growth_spearman,missing_change_vs_viterbi_rate_error_growth_spearman,missing_change_vs_pre128_error_slope_spearman,missing_change_vs_rmse_spearman,missing_near_minus_far_ge_0p1_fraction,missing_near_minus_far_ge_0p1_sse_fraction,missing_near_minus_far_ge_0p25_fraction,missing_near_minus_far_ge_0p25_sse_fraction,missing_near_minus_far_ge_0p5_fraction,missing_near_minus_far_ge_0p5_sse_fraction
candidate_gr_with_opposed_prior,44,34,0.04529172193512498,0.15888699229691877,0.08203125,0.14597055404881829,42,0.0,0.0,0.0,0.0,0.153187292358804,0.09375,0.15007401924500371,43,0.0,0.0,0.046511627906976744,0.003919205999553407,0.15944602272727273,0.0859375,0.16303558460421205,44,0.0,0.0,0.06818181818181818,0.017602281809522745,0.15198863636363638,0.09375,0.15198863636363635,44,0.0,0.0,0.06818181818181818,0.19423138402758994,0.15198863636363635,0.125,0.15198863636363635,44,0.0,0.0,0.25,0.2053428140089497,42,-0.0011488970588235286,-0.009765625,0.4523809523809524,0.27406885227660444,0.5476190476190477,0.7259311477233955,0.0,0.0,-0.13759834241641145,0.05156897217256198,-0.14781483690342845,0.24746619979663387,-0.1727074068043349,0.16666666666666666,0.036251137092350894,0.023809523809523808,0.00720223791539775,0.0,0.0
neither_prior_nor_observed_gr,62,56,0.09162580864989919,0.26388683066947877,0.20703125,0.2722341280471471,61,0.0,0.0,0.01639344262295082,0.0012249624273041092,0.25300681312569523,0.1796875,0.25091830272324256,62,0.0,0.0,0.06451612903225806,0.042607746021447575,0.2447076612903226,0.171875,0.2447076612903226,62,0.0,0.0,0.04838709677419355,0.003679419719032184,0.24731182795698925,0.1875,0.24731182795698925,62,0.0,0.0,0.0967741935483871,0.02376454545260312,0.28225806451612906,0.21875,0.28225806451612906,62,0.0,0.0,0.20967741935483872,0.07038971066107809,61,0.014801693920685175,0.0078125,0.5409836065573771,0.5753055798351249,0.4426229508196721,0.42346945773757105,0.01639344262295082,0.0012249624273041092,0.048978513360140155,0.020548760734788823,-0.028509091469887192,-0.14331239951328265,0.10829752279145459,0.21311475409836064,0.23089413370561163,0.06557377049180328,0.06272709023889103,0.0,0.0
opposed_prior_gr_ambiguous,51,44,0.009874138617949233,0.4153645833333333,0.43359375,0.4153645833333333,51,0.0,0.0,0.0,0.0,0.40042892156862747,0.421875,0.40042892156862747,51,0.0,0.0,0.0196078431372549,0.10364892110968305,0.41329656862745096,0.40625,0.41329656862745096,51,0.0,0.0,0.0196078431372549,0.00681228004548279,0.4166666666666666,0.41666666666666663,0.4166666666666667,51,0.0,0.0,0.0392156862745098,0.11046120115516583,0.4019607843137255,0.4375,0.4019607843137255,51,0.0,0.0,0.13725490196078433,0.1509874929101814,51,-0.013403799019607842,-0.0078125,0.45098039215686275,0.4944427425221602,0.5098039215686274,0.4254796828269367,0.0392156862745098,0.08007757465090315,0.018106102943439988,-0.16444867998379367,-0.08313152596410024,0.11940974891198672,-0.09302010387192294,0.2549019607843137,0.23418940343409214,0.0784313725490196,0.026829839328488442,0.0,0.0
prior_aligned_gr_ambiguous,129,110,0.08243173648122946,0.40988303154890976,0.44921875,0.40521251513413625,125,0.0,0.0,0.0,0.0,0.4114703607600497,0.4296875,0.4103692834433847,129,0.0,0.0,0.007751937984496124,0.0036631188866140902,0.42853682170542634,0.453125,0.42853682170542634,129,0.0,0.0,0.0,0.0,0.4058462532299742,0.39583333333333337,0.40584625322997414,129,0.0,0.0,0.007751937984496124,0.00039452967068475184,0.37742248062015504,0.375,0.37742248062015504,129,0.0,0.0,0.06976744186046512,0.019514457707591863,125,-0.03788303154890973,-0.04296875,0.4,0.3873684261374628,0.592,0.6101835283134951,0.008,0.0024480455490420985,-0.14408224993770657,-0.29366145340988725,-0.16026277386869617,-0.31911213318967957,-0.1042055238502811,0.216,0.16276618177314867,0.048,0.038663901061344305,0.0,0.0
prior_and_wrong_gr_reinforce,136,124,0.28886636243143893,0.22787807962646525,0.1640625,0.22864038111953863,128,0.0,0.0,0.0,0.0,0.21710351452157836,0.15094339622641506,0.21780247059518884,135,0.0,0.0,0.0,0.0,0.2122436145510836,0.15625,0.21237208232723928,136,0.0,0.0,0.058823529411764705,0.02193417943020524,0.21216299019607843,0.15625,0.21216299019607843,136,0.0,0.0,0.04411764705882353,0.054571840566799285,0.22518382352941177,0.125,0.22518382352941177,136,0.007352941176470588,0.07124843272279828,0.23529411764705882,0.1711805400217251,128,0.00014926412353474718,-0.013256717995169087,0.40625,0.6080381582234528,0.5859375,0.37706441351481657,0.0078125,0.014897428261730931,0.026835247322077548,0.16572489465438722,0.04861366601899663,0.13829152781750598,0.21335981964915962,0.140625,0.22671283698208214,0.0625,0.1347008496557671,0.015625,0.08251387843485983
prior_persists_against_truth_gr,216,184,0.4819102318843581,0.3367095024751576,0.326171875,0.3362411851737986,212,0.0,0.0,0.0047169811320754715,0.00023579824053820603,0.33814461546872526,0.3203125,0.3380117385439831,215,0.0,0.0,0.018604651162790697,0.010861356546074192,0.3293627829218107,0.328125,0.32980574079443314,216,0.0,0.0,0.023148148148148147,0.007240180805190346,0.33285108024691357,0.3125,0.33285108024691357,216,0.0,0.0,0.041666666666666664,0.007305394215746205,0.3237847222222222,0.3125,0.3237847222222222,216,0.0,0.0,0.1111111111111111,0.10401096894976818,212,-0.012711860965723607,-0.005859375,0.4858490566037736,0.5888438024718077,0.5094339622641509,0.40963770355594353,0.0047169811320754715,0.001518493972248699,0.053246759569181686,0.04470566393974938,-0.01786375562678573,0.04408218033311777,0.08327347815199197,0.18396226415094338,0.2923573785375414,0.04716981132075472,0.04546037519848452,0.0,0.0
