cause_bucket,episodes,wells,episode_sse_fraction,top1_zero_rate_switch_episode_fraction,top1_zero_rate_switch_sse_fraction,top5_one_unique_rate_path_episode_fraction,top5_one_unique_rate_path_sse_fraction,rate_switch_rate_vs_rmse_spearman,rate_switch_rate_vs_mean_rate_error_growth_spearman,rate_switch_rate_vs_viterbi_rate_error_growth_spearman,rate_switch_rate_vs_transition_crescendo_spearman,rate_switch_rate_vs_pre128_error_slope_spearman
candidate_gr_with_opposed_prior,44,34,0.04529172193512498,0.5227272727272727,0.5288800807511614,0.5227272727272727,0.5246334112238265,0.05429682708532917,-0.11420222066109376,-0.02456057074776628,-0.014895941825360054,-0.06381590616760989
neither_prior_nor_observed_gr,62,56,0.09162580864989919,0.6612903225806451,0.8148162445261118,0.6935483870967742,0.8380244675699756,-0.03625961767743043,-0.1643193083781015,-0.18199963504122926,-0.0839657090632412,-0.09058930841486533
opposed_prior_gr_ambiguous,51,44,0.009874138617949233,0.7450980392156863,0.5591544820864255,0.7450980392156863,0.5591544820864255,0.09725931203746625,0.17667396293561613,0.16760770373355569,0.22548088380010403,0.09205954322865881
prior_aligned_gr_ambiguous,129,110,0.08243173648122946,0.7286821705426356,0.7885384617166208,0.6976744186046512,0.7796577411929642,-0.16708575256321792,-0.021423683888715492,-0.04720658762816322,-0.01930287638939343,0.07848264651431142
prior_and_wrong_gr_reinforce,136,124,0.28886636243143893,0.6617647058823529,0.7396261706125472,0.6838235294117647,0.7555887529370336,-0.07389234086010117,0.015698343936597182,-0.008188677792621382,-0.011310104475947356,0.02250029563290344
prior_persists_against_truth_gr,216,184,0.4819102318843581,0.6666666666666666,0.7265456362686116,0.6944444444444444,0.7968463283654353,-0.02566602452517364,-0.07194395494823123,-0.024226033273745645,-0.004895652486377806,0.03180111428778635
