well_id,exact_coverage_query_full,exact_coverage_query_hidden,exact_coverage_query_prefix,exact_rows_full,exact_rows_hidden,exact_rows_prefix,exact_corr_full,exact_corr_hidden,exact_corr_prefix,exact_z_rmse_full,exact_z_rmse_hidden,exact_z_rmse_prefix,exact_raw_rmse_full,exact_raw_rmse_hidden,exact_raw_rmse_prefix,exact_raw_mae_full,exact_raw_mae_hidden,exact_raw_mae_prefix,exact_resid_std_full,exact_resid_std_hidden,exact_resid_std_prefix,exact_corr_hidden_minus_prefix,exact_z_rmse_hidden_minus_prefix,exact_raw_rmse_hidden_minus_prefix,exact_raw_mae_hidden_minus_prefix,exact_resid_std_hidden_minus_prefix,exact_coverage_query_hidden_minus_prefix,grid_provided_overlap_grid_points_hidden,grid_provided_overlap_grid_points_prefix,grid_provided_coverage_query_hidden,grid_provided_coverage_query_prefix,grid_provided_corr_hidden,grid_provided_corr_prefix,grid_provided_z_rmse_hidden,grid_provided_z_rmse_prefix,grid_provided_raw_rmse_hidden,grid_provided_raw_rmse_prefix,grid_provided_resid_std_hidden,grid_provided_resid_std_prefix,grid_provided_corr_hidden_minus_prefix,grid_provided_z_rmse_hidden_minus_prefix,grid_provided_raw_rmse_hidden_minus_prefix,grid_provided_resid_std_hidden_minus_prefix,grid_provided_overlap_grid_points_hidden_minus_prefix
000d7d20,0.580794701986755,0.4495049504950495,0.941,1754.0,908.0,941.0,0.5100676471622705,-0.086167355694924,0.7815486837498649,0.989881157349436,1.4738842259111968,0.6609861061325497,20.28551051047557,24.787915821429813,14.316506375277456,15.437663668696928,20.351728185363964,10.5102136866453,20.276942423613967,24.62664173158435,14.244809937682025,-0.8677160394447888,0.8128981197786471,10.471409446152357,9.841514498718663,10.381831793902325,-0.49149504950495043,31.0,632.0,1.0,1.0,0.0153155708685517,0.8196253776550293,1.4033420085906982,0.6006240248680115,22.717453002929688,14.913569450378418,22.689254760742188,14.616896629333496,-0.8043098067864776,0.8027179837226868,7.8038835525512695,8.072358131408691,-601.0
00bbac68,0.5776031434184676,0.5131223465843304,0.9059233449477352,3822.0,2659.0,1300.0,0.7448903382752587,0.6383279106600914,0.8422945417660164,0.7142963834778128,0.8504964307272648,0.5616145621936519,13.064673947713526,13.104968745626882,12.79984267802134,9.738176804143563,9.842443500820496,9.370939183284836,13.0141327751219,13.020175952445117,12.789705667920478,-0.20396663110592494,0.28888186853361286,0.30512606760554206,0.47150431753565947,0.2304702845246389,-0.39280099836340476,101.0,940.0,1.0,1.0,0.7240537405014038,0.8591075539588928,0.74289470911026,0.5308341383934021,11.701685905456545,13.52114200592041,11.68031406402588,13.489027976989746,-0.135053813457489,0.2120605707168579,-1.8194561004638654,-1.8087139129638654,-839.0
00e12e8b,0.5943103448275862,0.4908575843420036,0.985393844548774,3447.0,1906.0,1889.0,0.9435409466905388,0.7468788552806734,0.93485953408463,0.3360328951440951,0.7115070550870547,0.3609444996543649,16.011689641421686,14.112442894130398,17.331809824073733,13.119986551083928,12.21259438024352,13.711789985909489,15.654741293154707,7.489120533137731,16.8829918741995,-0.18798067880395652,0.35056255543268977,-3.2193669299433356,-1.4991956056659692,-9.39387134106177,-0.4945362602067704,60.0,1198.0,1.0,1.0,0.7534316778182983,0.8143584728240967,0.7022368907928467,0.6093299984931946,14.096948623657228,18.67474937438965,7.268727302551269,14.6918306350708,-0.06092679500579834,0.0929068922996521,-4.57780075073242,-7.423103332519532,-1138.0
015fe0d2,0.6824430921794005,0.6633561643835616,0.8233355306526038,3028.0,1937.0,1249.0,0.7392624277592186,0.6207447715767671,0.8689378120159142,0.7221323593923505,0.870925058111469,0.5119808355477493,13.629151452808877,12.430075419457976,15.31904322807723,10.741374586377455,9.832116585788386,12.164175547571377,13.475502435332482,12.170798001888793,11.700941262058578,-0.24819304043914714,0.3589442225637197,-2.8889678086192543,-2.332058961782991,0.4698567398302149,-0.1599793662690422,78.0,671.0,1.0,1.0,0.6898123025894165,0.8705785870552063,0.7876391410827637,0.5087659955024719,10.11013126373291,15.185342788696287,10.098980903625488,12.756595611572266,-0.1807662844657898,0.27887314558029175,-5.075211524963377,-2.6576147079467773,-593.0
01869cd4,0.7174762702400893,0.688880706921944,0.9030023094688222,2570.0,1871.0,782.0,0.7873278524276046,0.8158768920886826,0.7877820745010513,0.6521842493841681,0.6068329389730214,0.6514874143050634,12.396116275804564,10.921773252492017,15.951819850197946,9.311799574353914,8.684055433213395,11.3569666094644,12.235147034178397,10.5510613650207,15.902630198149172,0.028094817587631327,-0.04465447533204203,-5.03004659770593,-2.672911176251006,-5.351568833128471,-0.21412160254687818,79.0,470.0,1.0,1.0,0.8881062269210815,0.7523182034492493,0.4730618894100189,0.7038207054138184,9.045069694519045,15.964921951293944,8.762619972229004,15.93715763092041,0.13578802347183228,-0.23075881600379944,-6.919852256774899,-7.174537658691406,-391.0
01982c1d,0.4960978696477536,0.4195298372513562,0.8432888264230499,2352.0,1392.0,1200.0,0.9519920487034912,0.8893966058582127,0.91790576218758,0.3098643293330447,0.470326257276345,0.4052017714976576,11.24762413145142,6.39613560240321,15.729203202769286,7.75590000617879,5.231504341758448,11.00774456011704,11.217772265692208,5.107560233541446,14.360004560373286,-0.028509156329367347,0.06512448577868735,-9.333067600366075,-5.776240218358591,-9.252444326831839,-0.42375898917169375,37.0,822.0,1.0,1.0,0.9651402831077576,0.9185603857040404,0.2640443742275238,0.4035829901695251,5.379201412200928,14.947434425354004,3.804186582565308,13.526582717895508,0.04657989740371715,-0.1395386159420013,-9.568233013153076,-9.7223961353302,-785.0
028d7b28,0.4609555189456342,0.4047270445513491,0.9270752521334368,2798.0,1935.0,1195.0,0.9203817812059368,0.7377338549049912,0.9410176721336708,0.399044405534179,0.7242460149631599,0.3434598313233414,11.240064364757572,9.28009429746084,13.577452312907182,8.05036126695335,6.894811984651313,9.978819139991405,10.844919911836293,9.273231076094122,11.52422635362277,-0.2032838172286796,0.3807861836398185,-4.297358015446342,-3.0840071553400916,-2.2509952775286486,-0.5223482075820877,53.0,657.0,1.0,1.0,0.842350959777832,0.8966494202613831,0.5615140795707703,0.4546439945697784,7.171624183654785,12.751160621643066,7.139389991760254,9.851947784423828,-0.054298460483551025,0.10687008500099188,-5.579536437988281,-2.712557792663574,-604.0
02e7fe5a,0.6167933655839668,0.59375,0.6685934489402697,1785.0,1102.0,694.0,0.7279410480263907,0.6731268491053944,0.7658966372966997,0.7376434802445003,0.8085457944910796,0.6842563301911065,8.662412150744197,7.195450637411023,10.5673196435302,6.26969558739482,5.451304785548809,7.564433445738674,8.659810066799073,7.146623982346474,10.398366362481104,-0.09276978819130521,0.12428946429997301,-3.3718690061191765,-2.113128660189865,-3.2517423801346297,-0.07484344894026973,50.0,479.0,1.0,0.6212710738182068,0.51978999376297,0.7965229153633118,0.9800102114677428,0.6379296183586121,8.798437118530273,11.70817756652832,8.522915840148926,11.223139762878418,-0.2767329216003418,0.34208059310913075,-2.909740447998047,-2.700223922729492,-429.0
0390d174,0.641259842519685,0.5941309255079007,0.9322916666666666,2036.0,1316.0,895.0,0.9651408052383094,0.7980060171728393,0.9727316653476284,0.264042400995335,0.6356004764428056,0.2335308744143761,5.453697489977286,4.826359026550073,6.054339094554468,3.7629315763461184,3.3225282734562174,4.282786675483165,5.444568970259159,4.824975242220059,6.041897441039168,-0.1747256481747892,0.4020696020284295,-1.2279800680043946,-0.9602584020269478,-1.216922198819109,-0.33816074115876593,64.0,458.0,1.0,1.0,0.7970798015594482,0.9626340866088868,0.6370560526847839,0.2733712196350097,5.343567371368408,7.326150894165039,5.342421531677246,7.271754264831543,-0.1655542850494386,0.3636848330497742,-1.9825835227966309,-1.9293327331542969,-394.0
03a935ae,0.7795534665099882,0.6767676767676768,0.97724399494311,3317.0,1809.0,1546.0,0.7859404748011872,0.7804846733231158,0.7928792230677955,0.654308069946891,0.6625938826715565,0.6436159987635555,12.187351564359671,11.777506348236592,12.64050719007631,8.376461755173036,8.589472726680917,8.158894892287645,12.111719767507749,11.61185481402601,12.625608460738402,-0.012394549744679684,0.018977883908001036,-0.8630008418397175,0.43057783439327224,-1.0137536467123915,-0.3004763181754332,108.0,788.0,1.0,1.0,0.7932197451591492,0.8714152574539185,0.6430867314338684,0.507118821144104,11.917880058288574,11.905561447143556,11.595656394958496,11.847901344299316,-0.07819551229476929,0.1359679102897644,0.012318611145017755,-0.2522449493408203,-680.0
