rows,rmse,mae,bias,within5,within10,abs_p50,abs_p90,abs_p95,abs_p99,method,bucket_type,bucket
37877,0.29552622097236286,0.13223196133467416,0.0005837315529428914,1.0,1.0,,,,,u_md_tail30_median_anchor,eval_step,000_050
37877,0.35189762187192447,0.15378822282945329,0.001936193447742311,1.0,1.0,,,,,u_md_tail100_anchor,eval_step,000_050
37877,0.40305855351143804,0.20944640096027553,0.009048607800169254,1.0,1.0,,,,,md_tail50_anchor,eval_step,000_050
37877,0.5739117424498128,0.24499100559989867,-0.0025264044622634323,0.9985215302162262,1.0,,,,,mdz_tail200_anchor,eval_step,000_050
37877,0.6534733588733935,0.3781230667833841,0.013120139732917533,0.9988119439237532,1.0,,,,,md_tail200_anchor,eval_step,000_050
37877,0.6671908215779659,0.40704543087544737,-0.04359681445024174,0.9994719750772236,1.0,,,,,mdz_all_anchor,eval_step,000_050
37877,0.7280313199937267,0.38826220397579103,-0.027028473743753535,0.9981519127702828,0.9993927713388072,,,,,blend25_u_md_tail30_median_anchor,eval_step,000_050
37877,0.7334737410556441,0.3936281717356185,-0.026690358270043856,0.9981519127702828,0.9993927713388072,,,,,blend25_u_md_tail100_anchor,eval_step,000_050
37877,0.7413011070794429,0.4274126492021429,-0.023894371698755804,0.9987591414314756,0.9994455738310848,,,,,blend25_md_tail200_anchor,eval_step,000_050
37877,0.7414297278755543,0.40018712222923336,-0.02780600774755604,0.9982047152625604,0.9993927713388072,,,,,blend25_mdz_tail200_anchor,eval_step,000_050
37877,0.7452872476951009,0.4753315679254712,-0.0031634990329053626,0.9998151912770282,1.0,,,,,u_md_all_anchor,eval_step,000_050
37877,0.7754307223346322,0.4209139914898567,-0.023916397689260963,0.9975710853552288,0.9997359875386118,,,,,z_tail200_anchor,eval_step,000_050
37877,0.8555250127357567,0.4560610132797726,-0.0325509148030871,0.9977822953243393,0.9992607651081131,,,,,blend10_u_md_tail30_median_anchor,eval_step,000_050
37877,0.8570228254897283,0.46990240430698965,-0.03129727398509321,0.997967104047311,0.999287166354252,,,,,blend10_md_tail200_anchor,eval_step,000_050
37877,0.8573278859813356,0.45792091570212706,-0.03241566861360406,0.9977822953243393,0.9992607651081131,,,,,blend10_u_md_tail100_anchor,eval_step,000_050
37877,0.8582148443559514,0.4586301472271071,-0.03286192840460873,0.9977822953243393,0.9992607651081131,,,,,blend10_mdz_tail200_anchor,eval_step,000_050
37877,0.9420776418562028,0.5016590543073408,-0.036232542175979446,0.9975446841090899,0.9990759563851414,,,,,anchor,eval_step,000_050
37877,1.0533196160143226,0.8288491696808644,-0.1349272645668846,1.0,1.0,,,,,u_const_anchor,eval_step,000_050
37877,1.0693607306048936,0.8378100445675934,-0.18552985133776453,1.0,1.0,,,,,z_all_anchor,eval_step,000_050
37877,11.560939723763319,9.790838036450536,9.790834964532255,0.2687646856931647,0.5414103545687357,,,,,md_all_anchor,eval_step,000_050
38650,0.8430747903760182,0.4703536868980582,0.004902716690655289,0.9970504527813713,1.0,,,,,u_md_tail30_median_anchor,eval_step,050_100
38650,0.9246609902192482,0.5122186694162351,0.008933053137164033,0.9988357050452782,1.0,,,,,u_md_tail100_anchor,eval_step,050_100
38650,1.334892269802992,0.840034843855323,0.03377663676076987,0.990659767141009,0.998732212160414,,,,,md_tail50_anchor,eval_step,050_100
