rows,rmse,mae,bias,within5,within10,abs_p50,abs_p90,abs_p95,abs_p99,method,bucket_type,bucket
1320608,2.6791647019190745,2.2477414872543675,-0.06318879637255252,1.0,1.0,,,,,anchor,abs_true_drift_from_last,000_005
1320608,4.38570793390447,3.1528730993725627,0.04458206985917116,0.8256128995129516,0.9602001502338317,,,,,blend10_u_md_tail100_anchor,abs_true_drift_from_last,000_005
1320608,4.689576049478985,3.2499621363564493,-0.03249908752714914,0.8159029780222443,0.9545989423053624,,,,,blend10_u_md_tail30_median_anchor,abs_true_drift_from_last,000_005
1320608,7.046246505801236,4.386841595718284,0.26794527463491796,0.7251122210375827,0.8959494414693838,,,,,blend10_md_tail200_anchor,abs_true_drift_from_last,000_005
1320608,9.218674567257844,5.7272469177170855,0.20623836920675936,0.6452126596234462,0.8293498146308367,,,,,blend25_u_md_tail100_anchor,abs_true_drift_from_last,000_005
1320608,9.886917041582993,4.687845183456453,0.06205509477739684,0.7735906491555404,0.910139874966682,,,,,blend10_mdz_tail200_anchor,abs_true_drift_from_last,000_005
1320608,10.065070241461962,5.959634787458519,0.013535475740954485,0.6501687101698611,0.8221273837505149,,,,,blend25_u_md_tail30_median_anchor,abs_true_drift_from_last,000_005
1320608,16.64115136817693,9.239671730980977,0.7646463811461224,0.5353837020523879,0.728296360464271,,,,,blend25_md_tail200_anchor,abs_true_drift_from_last,000_005
1320608,24.00560889490838,9.787983809793914,0.2499209315023237,0.6006286498340159,0.7714605696769973,,,,,blend25_mdz_tail200_anchor,abs_true_drift_from_last,000_005
1320608,35.660864951270824,20.54589963496655,1.014519865944694,0.37960015386852114,0.5151581695703797,,,,,u_md_tail100_anchor,abs_true_drift_from_last,000_005
1320608,39.05807334574266,21.55458988553621,0.24370829208147252,0.37454642104242897,0.5181439155298165,,,,,u_md_tail30_median_anchor,abs_true_drift_from_last,000_005
1320608,48.12542217689529,27.87321466369631,-2.359298683663382,0.29303320894618234,0.4323129952264412,,,,,mdz_all_anchor,abs_true_drift_from_last,000_005
1320608,56.7934395841257,34.16243381167688,1.1543499006691196,0.2561486830308464,0.3913205129758414,,,,,u_md_all_anchor,abs_true_drift_from_last,000_005
1320608,66.01207841054763,35.155701614792484,3.248151913702149,0.27521187210739295,0.4028788255106739,,,,,md_tail200_anchor,abs_true_drift_from_last,000_005
1320608,69.54553125045004,38.064808289990054,0.7464741293383599,0.29443559330247887,0.41495129516101675,,,,,md_tail50_anchor,abs_true_drift_from_last,000_005
1320608,93.77385657156653,71.08329781434017,-6.463503643776167,0.09549162204075698,0.16162176815527393,,,,,u_const_anchor,abs_true_drift_from_last,000_005
1320608,94.86103126301661,71.69211248511665,-10.856738616668812,0.09515995662603892,0.16128631660568465,,,,,z_all_anchor,abs_true_drift_from_last,000_005
1320608,95.5861376304658,37.0458408886864,1.1892501151269457,0.3446715452276527,0.4728223666674744,,,,,mdz_tail200_anchor,abs_true_drift_from_last,000_005
1320608,104.41482332939405,43.326216494496286,7.132249049572842,0.291590691560251,0.41993460587850445,,,,,z_tail200_anchor,abs_true_drift_from_last,000_005
1320608,1082.5320866797492,828.5511790570911,828.5511789689838,0.007795651699823112,0.015784396278077976,,,,,md_all_anchor,abs_true_drift_from_last,000_005
867736,7.454704889745842,7.318079242995559,-0.3497467086763669,0.002375146357878433,1.0,,,,,anchor,abs_true_drift_from_last,005_010
867736,8.312475780817662,7.43082881782238,-0.4142511409423101,0.22806129975015443,0.8242622180017886,,,,,blend10_u_md_tail100_anchor,abs_true_drift_from_last,005_010
867736,8.69635157054199,7.559050496926509,-0.4999296790511332,0.23551748458056368,0.8150359095393069,,,,,blend10_u_md_tail30_median_anchor,abs_true_drift_from_last,005_010
867736,11.27217923227391,8.728258695255713,-0.2741784461876779,0.2386336397245245,0.7248402740003872,,,,,blend10_md_tail200_anchor,abs_true_drift_from_last,005_010
867736,12.284063625021057,9.21168810789846,-0.5110077893412248,0.3276768510238137,0.7033475619312787,,,,,blend25_u_md_tail100_anchor,abs_true_drift_from_last,005_010
867736,13.608215871476423,9.593542684570581,-0.7252041346132827,0.3354222943383702,0.6871767450007836,,,,,blend25_u_md_tail30_median_anchor,abs_true_drift_from_last,005_010
867736,13.636334458413208,9.332479407936766,0.42742184628392665,0.22115712613052818,0.7554682530170467,,,,,blend10_mdz_tail200_anchor,abs_true_drift_from_last,005_010
867736,22.442498832724237,13.966384518231806,-0.16082605245464898,0.2401110475997308,0.5459575262522242,,,,,blend25_md_tail200_anchor,abs_true_drift_from_last,005_010
867736,29.26546164963676,14.742760671874265,1.5931746787243617,0.29192980353471565,0.6293780596863562,,,,,blend25_mdz_tail200_anchor,abs_true_drift_from_last,005_010
867736,40.830815004454344,25.703408593285463,-0.9947910313357966,0.24914029151723566,0.40815294052568984,,,,,u_md_tail100_anchor,abs_true_drift_from_last,005_010
867736,46.513861200784845,27.520872188769065,-1.8515764124240361,0.2491794739413831,0.40358242599131533,,,,,u_md_tail30_median_anchor,abs_true_drift_from_last,005_010
867736,55.508753563118866,34.71865528472056,-5.279906460381375,0.18780020651442375,0.3118010546986641,,,,,mdz_all_anchor,abs_true_drift_from_last,005_010
867736,63.02426223939081,41.737256467442094,-1.257982413009146,0.1398674251154729,0.26657877511132416,,,,,u_md_all_anchor,abs_true_drift_from_last,005_010
867736,85.06078847009908,46.87535040457592,0.4059359162105047,0.12980676150349876,0.2532141112043294,,,,,md_tail200_anchor,abs_true_drift_from_last,005_010
867736,89.30701746158651,50.16662562938144,-1.5761610621529922,0.14247766601823597,0.27283874358099697,,,,,md_tail50_anchor,abs_true_drift_from_last,005_010
867736,106.68983087868497,87.49736592696402,-11.205519605041145,0.014993039357592632,0.04780255745987259,,,,,u_const_anchor,abs_true_drift_from_last,005_010
867736,107.77966540457996,88.15974156045814,-16.671817519438513,0.014931960872892216,0.04762393170272986,,,,,z_all_anchor,abs_true_drift_from_last,005_010
867736,112.95217525715779,48.64864716704974,7.421938840926527,0.21779435219928642,0.3635264642702389,,,,,mdz_tail200_anchor,abs_true_drift_from_last,005_010
867736,120.70220525627482,57.453720701087526,0.7116700862131906,0.13261060967851973,0.26159454027492235,,,,,z_tail200_anchor,abs_true_drift_from_last,005_010
867736,1244.0364587959339,1023.1031498745293,1023.1031498745293,4.609696958521947e-06,0.00014866272691233277,,,,,md_all_anchor,abs_true_drift_from_last,005_010
995739,14.55489083706075,14.28361266355943,-1.7235370413330886,0.0,0.0011850494959020385,,,,,anchor,abs_true_drift_from_last,010_020
995739,14.785167391078627,13.830316298365194,-1.5967764496717962,0.03840062506339512,0.21693737013414158,,,,,blend10_u_md_tail100_anchor,abs_true_drift_from_last,010_020
995739,14.943471574947543,13.889292053450013,-1.6074172026880258,0.04171976793115465,0.21459639524011814,,,,,blend10_u_md_tail30_median_anchor,abs_true_drift_from_last,010_020
995739,16.702562420513793,14.629439960615835,-1.8594946028423847,0.0869414575506232,0.24844863965356384,,,,,blend10_md_tail200_anchor,abs_true_drift_from_last,010_020
995739,17.62557712448533,14.600949634392805,-1.4066355621798579,0.12388788628345379,0.3575003088158644,,,,,blend25_u_md_tail100_anchor,abs_true_drift_from_last,010_020
995739,18.31339308442333,14.948540325280305,-1.4332374447204366,0.11376274304812807,0.3470136250563652,,,,,blend25_u_md_tail30_median_anchor,abs_true_drift_from_last,010_020
995739,20.270348677289416,15.97701123840505,-0.966127822311936,0.05780129130223884,0.20935907903577142,,,,,blend10_mdz_tail200_anchor,abs_true_drift_from_last,010_020
995739,26.338766107522375,19.47524966004006,-2.063430945106325,0.12393508740744312,0.29131830730743696,,,,,blend25_md_tail200_anchor,abs_true_drift_from_last,010_020
