well,known_len,eval_len,last_tvt,known_tvt_range,known_tvt_std,eval_tvt_span,eval_drift_abs_mean,md_tail50_slope,md_tail200_slope,u_tail30_median_slope,u_tail100_slope,anchor_rmse,anchor_mae,md_all_anchor_rmse,md_all_anchor_mae,md_tail200_anchor_rmse,md_tail200_anchor_mae,md_tail50_anchor_rmse,md_tail50_anchor_mae,z_all_anchor_rmse,z_all_anchor_mae,z_tail200_anchor_rmse,z_tail200_anchor_mae,mdz_all_anchor_rmse,mdz_all_anchor_mae,mdz_tail200_anchor_rmse,mdz_tail200_anchor_mae,u_const_anchor_rmse,u_const_anchor_mae,u_md_all_anchor_rmse,u_md_all_anchor_mae,u_md_tail100_anchor_rmse,u_md_tail100_anchor_mae,u_md_tail30_median_anchor_rmse,u_md_tail30_median_anchor_mae,blend10_md_tail200_anchor_rmse,blend10_md_tail200_anchor_mae,blend25_md_tail200_anchor_rmse,blend25_md_tail200_anchor_mae,blend10_mdz_tail200_anchor_rmse,blend10_mdz_tail200_anchor_mae,blend25_mdz_tail200_anchor_rmse,blend25_mdz_tail200_anchor_mae,blend10_u_md_tail100_anchor_rmse,blend10_u_md_tail100_anchor_mae,blend25_u_md_tail100_anchor_rmse,blend25_u_md_tail100_anchor_mae,blend10_u_md_tail30_median_anchor_rmse,blend10_u_md_tail30_median_anchor_mae,blend25_u_md_tail30_median_anchor_rmse,blend25_u_md_tail30_median_anchor_mae
000d7d20,1442.0,3836.0,11747.37,520.1000000000004,148.817925951881,15.200000000000728,6.134966110532169,0.016695318127254322,0.00025711392784837046,0.020000000000436557,0.015536633663369243,7.454442102844319,6.134966110532169,677.4762766566764,586.0907073515554,7.994823800235121,6.571162881912905,44.09440636778298,37.47553352056877,56.185615707010236,48.7509823963554,4.712529509829541,3.9121469179619055,10.599573652649351,9.109200904862659,16.36887989825691,14.418156257628866,53.748793830586465,46.661566736182756,15.21791677231101,13.174687028070403,19.426036028475647,16.85453505300887,9.68882703420888,8.292171532008823,7.508286270783478,6.178547042853253,7.589137668000689,6.243931192948861,5.250069118490769,4.344466841165713,2.4642986309860433,2.275801502849253,4.9504297587332955,4.110766453092404,2.065122321250777,1.8784226659376788,5.848785606732491,4.852457247206638,3.5586334703385,3.034783628936514
00bbac68,1545.0,6014.0,12223.54,818.4200000000001,253.12497840900753,50.18999999999869,12.104334885267482,0.013067947178876849,-0.0036690092252301175,0.030000000000654836,0.029735133513348347,15.263052288602683,12.104334885267482,1857.644641987781,1604.6972003052817,14.162124759202166,12.72627795807662,54.643155698581815,41.994753017445554,108.93158460895476,95.76555789952292,14.044194363379013,12.47576038609653,104.92424260366751,92.29410194156594,5.188472241007118,4.2364689426248,97.07367516201886,85.7043448619881,93.12372435127723,78.64908081622747,9.019861557643601,6.799129640056068,9.693587873417789,7.232151647237183,14.666667594984624,11.964582274869883,13.943609700234067,11.783906463897152,14.060168487350206,11.262557525605647,12.283790944751773,10.00049140615847,14.579245854553985,11.491029595330316,13.56947820086621,10.582695183754597,14.626881729803225,11.502371965441942,13.69505452602251,10.614372713746961
00e12e8b,2083.0,4301.0,11604.820000000002,998.6400000000012,293.11745764393015,29.590000000000146,6.519876772843751,0.04213589435776465,0.026073254331358712,0.040000000000873115,0.04483762376238142,7.92458894231589,6.519876772843751,1118.2921574002562,966.5476835090351,68.28293380653544,57.08975900642719,108.03287920728545,91.39465727168927,84.29104760702322,75.70195230374912,116.45102812965831,99.86345697210145,13.852425334130073,10.291841813691647,25.802798468304548,18.590746699487628,87.4237254765058,78.44838409672082,111.26405220166751,99.16228941037711,25.541246608098298,18.366844330939532,14.593627354604065,10.567212277343447,12.057153582030912,10.606294329255938,20.651604766978267,17.750759248547727,8.626476895644608,7.58118029055483,10.588936094898411,9.316187136420437,8.607933898537668,7.562764057035979,10.530917993676928,9.269172465880688,7.931960449801075,6.815636596274712,8.324656701628504,7.396789700401454
015fe0d2,1654.0,4296.0,12233.78,493.9300000000003,138.41678469028363,38.61000000000058,19.800242085660624,0.029887635054023087,0.018782592064802258,-0.039999999999054126,-0.0388109210921092,23.15488967328722,19.800242085660624,564.8621888262121,488.2057669151691,26.17627998815027,20.775616937300207,53.06469677253874,44.4640083481474,75.18897296161579,63.48874743708809,16.05570539859976,11.337174029931509,24.153199810348035,18.66271981451864,9.311935288370272,6.3243965716015955,79.20444330979126,66.96482541899418,37.217465761382456,30.30127859446835,18.70434621371414,16.420476878330494,21.47265249324099,18.97517457897361,18.85892954750803,15.994027295577105,12.897251147361516,10.537030952580924,20.540747781945875,17.48141803041719,16.716767262210304,14.026841852767426,22.68353679805168,19.41679696740861,21.98576615732888,18.91729189942008,22.9603086620676,19.672136172980714,22.678773824005464,19.55597590731285
01869cd4,1293.0,5557.0,11745.94,387.6700000000001,102.5622180687746,39.0,8.635673924779429,0.008511884753907075,0.0332171604290112,-0.039999999999054126,-0.039798439843983055,10.618593023436274,8.635673924779429,765.8208189842636,665.0009200462898,99.67094635005887,87.84272924971393,21.548786688021067,19.186768148599572,87.70750127658357,77.45636661894328,56.55125940909117,50.40508264311007,26.83337798362905,21.639454277677086,82.34147666807155,69.65936720679595,116.34017416384435,102.24342810869173,147.01554392168424,125.68947825999864,12.403534652654214,9.928245692844133,13.003477527233201,10.381542196889992,8.511970841439263,6.771583101570067,20.9290547107593,18.609862625547347,16.2202533557905,13.880586687309126,26.528740504130035,22.02143159385067,10.583481753497608,8.739553020282369,10.626186193945292,8.908369463593868,10.630288045570277,8.783946193780702,10.75265402094987,9.022318246719044
01982c1d,1646.0,3941.0,10694.08,767.9500000000007,238.73754679894114,18.01000000000022,5.776277594519081,0.022317406962776565,0.010949381234530332,0.039999999997235136,0.03553087308730524,6.33452473981023,5.776277594519081,1014.4109016605217,878.5314467391227,28.83864212684016,25.130784937667812,54.47424389231293,47.0501389927434,84.6556823875234,71.86802677807252,36.65407836007867,31.610245742001155,7.635516231690014,4.068864288884382,6.872167826457494,5.874749245481503,76.43725081150836,64.8846967774678,34.91352913087385,31.07926603055259,6.875730671093552,5.87767992488213,15.626006010285302,13.955303217082644,7.962252167502214,6.971864562663432,11.026734102709224,9.688016228870023,6.031060628331348,5.4721035564837575,5.710019725685415,5.06656667269847,6.0313847845405055,5.472341681576007,5.71091168247432,5.0672456437437114,6.679389688083414,5.945724942590254,7.614341990494512,6.698497841904516
028d7b28,1527.0,6234.0,12427.92,553.2800000000007,157.74482546296224,26.23999999999978,5.793652550529349,0.02942665066026041,0.04449789244731106,-0.030000000000654836,-0.03407398739874231,7.393605105422132,5.793652550529349,1111.3810483981852,963.596074145705,161.16646344009644,140.5290083859166,107.00049978552218,93.5444121147862,159.46631379003026,141.06210048507364,98.59231085868842,87.37204854185227,29.924513278459543,23.979815005587696,54.29404440175855,46.717666664785725,172.64531676907347,152.6773195380168,48.95750751323947,41.552459235747136,54.19455307738635,46.614017978777476,67.57207274416373,59.155572663989254,18.37350698400689,16.480832528291458,41.52205798231047,36.8314439929067,10.032912666082586,7.4122756867856685,16.46314619268241,13.904433529808152,10.027401569404274,7.403228263948861,16.44247927204517,13.878889516772121,10.909164888936404,8.59064982335087,19.408453097554943,16.9635334451241
02e7fe5a,1780.0,5108.0,12178.98,822.8500000000004,255.31035648433937,24.18000000000029,6.944919733751464,0.03466698679471643,0.03393685592139761,0.030000000000654836,0.034673627362742675,8.41442971726108,6.944919733751464,1318.2759146806145,1140.658087355722,93.84079929317865,80.09075067272762,95.99080146184342,81.9545236888448,62.194747602547075,56.25716850275616,680.7424873252925,605.0197129771203,28.121694018812185,20.855910727125245,16.535647507317744,11.839074774591113,60.4687968145148,54.7142815191864,7.548058567554883,6.596131870164811,42.873266081144145,33.859501664441986,29.384121486755983,21.920722397913167,6.524271421856059,4.954314799316177,19.389355487916784,15.59323787995623,6.873018135309218,5.848547718215723,5.491188438835122,4.897696321184629,5.486124514298417,4.655987960883681,7.722597016176694,5.832444764115018,6.022383541001574,5.1233868440900645,5.646572816368206,4.453681480059574
0390d174,1690.0,4411.0,10620.96,506.10999999999876,137.75490432565712,31.399999999999636,7.240213103604261,0.025981752701077884,0.028462866571663064,-0.039999999999054126,-0.03511467146714342,8.517417217402954,7.240213103604261,593.2635179721132,514.7971767701864,73.72366265373,64.4651707121772,67.4498794303061,58.99183351366629,91.68565712671652,80.93002888958573,46.07731827849181,40.78729255134322,11.781782842489799,9.675375721920206,13.520230543380567,11.522082592870353,100.89194021867156,88.99482656993771,15.664414757617143,13.705833766867139,13.529441977897289,11.531952231203025,7.755226259740386,6.296449784172652,11.651906775183278,10.035436298486179,20.680881183339416,17.416942078357618,8.375403630297914,7.3587606268045125,8.493657533156478,7.588363664004487,8.375904208775319,7.359298970852748,8.495296915717688,7.589840502907985,8.20243929296775,7.004080253974079,7.8139601531153895,6.678856268559874
03a935ae,1644.0,2786.0,12792.17,645.7999999999993,186.90209546118834,53.56999999999971,31.036238334529738,-0.019527010804323806,-0.021704155103876844,0.020000000000436557,0.02260936093609357,35.05448621305352,31.036238334529738,560.5371229029623,486.4896407437802,5.338661766271908,4.462469176234899,6.233221825808256,4.860104107399245,51.12251886094722,46.046037671286065,9.714745438300868,6.760887453232094,42.31087351859905,37.70134008066651,19.794451285857335,15.473165573855898,47.58836296812143,42.78489949748779,26.415029399282304,21.247409717606395,19.79245730988488,15.474226637559802,21.74397243718125,16.814296482123826,31.607527752420758,28.0117643208045,26.459271170994867,23.475053300216636,30.80595241684129,26.802895810578907,24.718495452369424,20.452882024652684,30.808312642427065,26.804738997772624,24.72455650191127,20.45748999263694,30.39375865250667,26.441124551388825,23.70282111359917,19.54845387667743
