episode_id,well,start_row_idx,end_row_idx_exclusive,start_suffix_offset,rows,suffix_rows,start_suffix_fraction,episode_suffix_fraction,rows_from_last_within5_to_episode_start,rows_from_episode_end_to_next_within5,pre128_error_slope_ft_per_row,pre128_error_start_ft,pre128_error_end_ft,prefix_init_rate,episode_true_rate_median,episode_candidate_rate_median,episode_true_minus_init_rate_median,pre128_true_minus_init_rate_median,mean_error_ft,rmse_ft,error_std_ft,error_slope_ft_per_row,error_sign_consistency,map_rmse_ft,viterbi_rmse_ft,rowwise_oracle_decoder_rmse_ft,posterior_mean_to_map_rmse_ft,posterior_mean_to_viterbi_rmse_ft,fraction_map_improves_mean,fraction_viterbi_improves_mean,mean_truth_minus_candidate_nll,total_truth_minus_candidate_nll,observed_total_truth_minus_candidate_nll,imputed_total_truth_minus_candidate_nll,observed_mean_truth_minus_candidate_nll,observed_longest_candidate_favoring_run,observed_longest_truth_favoring_run,observed_adjacent_sign_persistence,observed_advantage_lag1_correlation,observed_advantage_positive_sequence_iat_lag20,affine_observed_total_truth_minus_candidate_nll,affine_observed_mean_truth_minus_candidate_nll,observed_truth_emission_cap_fraction,observed_candidate_emission_cap_fraction,imputed_mean_truth_minus_candidate_nll,reference_candidate_truth_gr_corr_observed,raw_candidate_gr_corr_observed,raw_truth_gr_corr_observed,raw_candidate_gr_rmse_observed,raw_truth_gr_rmse_observed,reference_candidate_truth_gr_rmse_observed,median_truth_minus_candidate_nll,fraction_gr_favors_candidate,fraction_gr_favors_truth,mean_map_nll_advantage,mean_viterbi_nll_advantage,posterior_std_mean,marginal_mode_mass_mean,marginal_mode_gap_mean,true_rate_outside_fraction,raw_gr_missing_fraction,prefix_sigma_gr,prefix_cal_a,prefix_cal_b,rate_span,emission_evidence_class,observed_emission_evidence_class,affine_observed_emission_evidence_class,viterbi_recovery_class,episode_sse,viterbi_rmse_gain_ft,actual_mean_error_ft,current_mean_error_ft,actual_rmse_ft,current_prior_sign_matches_actual,cause_bucket,observed_rows,observed_candidate_nll,observed_truth_nll,observed_truth_gain_nll,observed_barrier_above_candidate_nll,observed_barrier_above_candidate_nll_per_row,observed_barrier_above_chord_nll,observed_barrier_fraction,observed_monotone_to_truth,all_rows,all_candidate_nll,all_truth_nll,all_truth_gain_nll,all_barrier_above_candidate_nll,all_barrier_above_candidate_nll_per_row,all_barrier_above_chord_nll,all_barrier_fraction,all_monotone_to_truth,imputed_rows,imputed_candidate_nll,imputed_truth_nll,imputed_truth_gain_nll,imputed_barrier_above_candidate_nll,imputed_barrier_above_candidate_nll_per_row,imputed_barrier_above_chord_nll,imputed_barrier_fraction,imputed_monotone_to_truth,datum_observed_rows,datum_observed_candidate_nll,datum_observed_corrected_nll,datum_observed_corrected_gain_nll,datum_observed_barrier_above_candidate_nll,datum_observed_barrier_above_candidate_nll_per_row,datum_observed_barrier_above_chord_nll,datum_observed_barrier_fraction,datum_observed_monotone_to_corrected,datum_all_rows,datum_all_candidate_nll,datum_all_corrected_nll,datum_all_corrected_gain_nll,datum_all_barrier_above_candidate_nll,datum_all_barrier_above_candidate_nll_per_row,datum_all_barrier_above_chord_nll,datum_all_barrier_fraction,datum_all_monotone_to_corrected,datum_imputed_rows,datum_imputed_candidate_nll,datum_imputed_corrected_nll,datum_imputed_corrected_gain_nll,datum_imputed_barrier_above_candidate_nll,datum_imputed_barrier_above_candidate_nll_per_row,datum_imputed_barrier_above_chord_nll,datum_imputed_barrier_fraction,datum_imputed_monotone_to_corrected
b19b0395:000,b19b0395,2634,7196,1251,4562,5813,0.2152072939962153,0.7847927060037846,56,,0.0614758014214417,2.6010000000005675,9.947000000000116,0.0,-0.0200000000004365,-0.011000000000422,-0.0200000000004365,-0.0200000000004365,61.29535423060045,63.170549710950176,15.277365627909768,0.0105452371255666,1.0,62.32221532375308,7.822318663086551,7.822318663086551,1.241398494526021,67.85287383953407,0.8246383165278387,1.0,0.0142230494570983,64.88555162328271,69.39977246857973,-4.514220845296933,0.0158086042069657,62,113,0.9040966137816718,0.9774127969650372,34.52490697513496,160.1687562634115,0.036484910310572,0.0,0.0,-0.0262454700307961,0.4167101432859213,0.7484524556937945,0.647592366698925,10.720801690712095,11.35488236851848,12.43835174450931,-0.0019910016161077,0.482683033757124,0.5173169662428759,0.1108107337724108,0.0702998793710199,1.6654131517341078,0.4256019177750986,0.2326615128759184,0.0,0.0377027619465146,21.041058488049448,0.8391527266354106,12.217606735537249,0.1,candidate_strong,candidate_strong,candidate_strong,large_recovery,18204744.716274902,55.34823104786363,61.29535423060045,30.96727586547216,63.170549710950176,True,prior_and_wrong_gr_reinforce,4390,569.8412483793873,639.241020847967,-69.39977246857973,3030.4283155833355,0.6903025775816254,2983.5834691670443,0.675,False,4562,593.2300037194052,658.1155553426879,-64.88555162328271,3132.0069791693386,0.6865425206421172,3088.2092318236228,0.675,False,172,23.388755340017777,18.874534494720844,4.514220845296933,101.5786635860031,0.590573625500018,104.62576265657853,0.675,False,4390,569.8412483793873,1474.573465863447,-904.7322174840597,3210.698199829885,0.7313663325352814,3188.079894392784,0.025,False,4562,593.2300037194052,1518.2557708851577,-925.0257671657525,3315.2232480074717,0.7267039123207961,3292.097603828328,0.025,False,172,23.388755340017777,43.68230502171073,-20.293549681692955,104.52504817758658,0.6077037684743406,104.01770943554426,0.025,False
8a3da6d1:000,8a3da6d1,3529,6334,1788,2805,4593,0.3892880470280862,0.6107119529719138,553,,-0.0145368851286399,-8.139000000001033,-9.993000000000391,0.0200000000004365,0.0500000000010913,0.0239999999994324,0.0300000000006548,0.0299999999988358,-54.334477540107095,60.33264490265775,26.225800109697165,-0.0316598092295442,1.0,60.36772194943431,67.65917934223457,58.28036428184396,5.417168843604692,17.595129463761857,0.5122994652406417,0.4256684491978609,0.2183514930183142,612.4759379163715,367.6928057467756,244.7831321695961,0.2387615621732308,34,14,0.8502066115702479,0.9119601202503068,32.938817375312595,361.12795132289904,0.2344986696901941,0.0,0.0,0.1935044523079811,0.6569353412831958,0.9408458731669944,0.6627705696508435,14.058279585108645,30.37518860182336,30.94857276718217,0.021417706003279,0.6303030303030303,0.3696969696969697,0.2428056319967277,0.2352138921298795,2.796909265792513,0.3794538296655971,0.175871257896254,0.0,0.4509803921568627,38.965194519240846,0.7885301306132086,10.23003847407998,0.1,candidate_strong,candidate_strong,candidate_strong,not_better,10210278.654865293,-7.326534439576818,-54.334477540107095,-51.46938247053848,60.33264490265775,True,prior_and_wrong_gr_reinforce,1540,100.23084233591058,467.9236480826861,-367.69280574677555,1600.0799142348035,1.039012931321301,1460.94132674667,0.42500000000000004,False,2805,179.64474416503276,792.1206820814043,-612.4759379163715,2761.0582533693287,0.9843344931797963,2502.4256817841288,0.42500000000000004,False,1265,79.4139018291222,324.19703399871827,-244.78313216959606,1165.4124541441531,0.921274667307631,1056.9455079624477,0.45,False,1540,100.23084233591058,1004.1943562571855,-903.963513921275,1584.4077289214515,1.028836187611332,1308.0440659283315,0.675,False,2805,179.64474416503276,1743.1081692277808,-1563.463425062748,2735.1411813315726,0.9750948953053735,2250.2427784206643,0.675,False,1265,79.4139018291222,738.9138129705956,-659.4999111414734,1150.7334524101211,0.9096707133676847,942.1987124923323,0.675,False
8d5d46d7:000,8d5d46d7,1934,7282,407,5348,5755,0.0707211120764552,0.9292788879235448,137,,-0.0363188790400159,-5.308000000000902,-9.977000000000771,0.0299999999988358,0.0399999999990541,0.032999999999447,0.0100000000002182,0.0200000000004365,-57.31977206432325,58.51472722465102,11.765076823775658,-0.0033259319653787,1.0,59.93155599074242,14.636068248995672,14.636068248995672,2.272188599717728,45.2114725246619,0.088070306656694,1.0,-0.0271854601980832,-145.38784113934943,-100.08742599716108,-45.300415142188335,-0.0263943633958758,31,21,0.8536668951336532,0.9368751697934036,22.82606392022728,-93.70134043534463,-0.0247102691021478,0.0,0.0,-0.029113377340738,0.3716628907932781,0.2597969651724515,0.6618229367949507,8.745669181051401,6.901720040871122,9.017572695266653,-0.0004800214941344,0.4835452505609574,0.5164547494390427,0.0222312309899786,0.0082791365504126,8.578042461237846,0.2449783108737846,0.0483317004481372,0.0007479431563201,0.2909498878085265,23.378940096475056,0.7882521734226802,15.548360215697889,0.1,truth_strong,truth_strong,truth_strong,large_recovery,18311409.220033582,43.87865897565535,-57.31977206432325,-52.22737339118993,58.51472722465102,True,prior_persists_against_truth_gr,3792,265.322931768092,165.23550577093096,100.08742599716106,829.8921835551664,0.21885342393332446,922.4730526025404,0.925,False,5348,370.8953612571924,225.507520117843,145.3878411393494,1143.7826802379718,0.2138711070003687,1278.26643329187,0.925,False,1556,105.57242948910039,60.272014346912066,45.30041514218832,313.8904966828052,0.20172911097866655,355.79338068932935,0.925,False,3792,265.322931768092,316.43956218348046,-51.11663041538844,1840.0393882381054,0.48524245470414173,1794.034420864256,0.9,False,5348,370.8953612571924,435.7952564724613,-64.89989521526888,2651.2274100357527,0.49574184929613924,2592.8175043420106,0.9,False,1556,105.57242948910039,119.35569428898083,-13.783264799880442,811.1880217976473,0.5213290628519583,798.7830834777549,0.9,False
91db7070:002,91db7070,2446,5646,873,3200,4073,0.2143383255585563,0.7856616744414436,733,,0.0056522743659581,-10.361000000000786,-9.999000000001615,-0.0299999999988358,-0.0299999999988358,-0.0509999999994761,0.0,-1.8189894035458565e-12,-50.76945953125014,53.564093012427634,17.07553920521263,-0.0142121881564331,1.0,54.01407387191107,45.96812553271184,45.7009115200412,0.8566211094370287,9.795134445482748,0.2521875,0.888125,0.1022519034109023,327.2060909148876,261.4740427585011,65.73204815638653,0.1182605349427865,28,23,0.8846846846846846,0.9654608948172144,36.563300835185615,143.95091466748949,0.06510670043758,0.0,0.0,0.0664631427263766,0.1720015859647176,0.4788406671569937,0.3576117119530935,15.624258786272197,24.618537942492672,26.54512231215493,0.012510435554477,0.6084375,0.3915625,0.153652055957009,0.1330502666837615,2.03468232890625,0.35661868281875,0.1331336485895468,0.0,0.3090625,39.11941407998973,0.7663593383871211,21.873892298317376,0.1,candidate_strong,candidate_strong,candidate_strong,partial_recovery,9181158.592780797,7.595967479715796,-50.76945953125014,-4.966266202564087,53.564093012427634,True,prior_and_wrong_gr_reinforce,2211,176.34896344501914,437.8230062035202,-261.47404275850107,408.1153509523455,0.184584057418519,329.6731381247952,0.30000000000000004,False,3200,239.82923397768383,567.0353248925715,-327.2060909148876,568.8716902832255,0.17777240321350796,470.7098630087592,0.30000000000000004,False,989,63.48027053266466,129.2123186890512,-65.73204815638653,160.75633933088008,0.16254432692707793,141.03672488396413,0.30000000000000004,False,2211,176.34896344501914,382.76194742560926,-206.41298398059013,436.9811371227882,0.19763959164305211,349.2556189310374,0.42500000000000004,False,3200,239.82923397768383,548.8383076613239,-309.0090736836401,665.0093156095622,0.2078154111279882,533.6804592940151,0.42500000000000004,False,989,63.48027053266466,166.0763602357147,-102.59608970305004,228.02817848677412,0.2305643867409243,184.42484036297785,0.42500000000000004,False
f6d009f4:001,f6d009f4,6300,8003,5012,1703,6715,0.7463886820551006,0.2536113179448995,80,,-0.0620626959920345,-1.936999999999898,-9.945999999999913,0.0500000000010913,0.0900000000019645,0.0609999999978754,0.0400000000008731,0.0399999999972351,-48.64156694069299,51.462552635743855,16.804531809627722,-0.0319017919423431,1.0,53.019339140438994,48.12704751198114,47.51008229604813,1.889514838013313,6.136367831134976,0.2601291837933059,0.7874339401056958,-0.6795537932071543,-1157.2801098317836,-733.478272110368,-423.8018377214153,-0.6168866880659108,13,25,0.9148471615720524,0.9895129024802438,36.52951526048974,-539.8297206596492,-0.4540199500922197,0.0,0.0,-0.8245171940105357,-0.0579456695153917,-0.2697948762899586,0.8788944814594328,56.87933406298215,23.116320188533265,55.28368193778322,-0.2754617165402238,0.2190252495596007,0.7809747504403993,0.0732597780433254,0.0490120983029151,10.83157341867293,0.4034595479266001,0.2097899026051344,0.3763945977686436,0.3018203170874927,46.78817480580189,0.7106141647340966,29.783059369598178,0.1,truth_strong,truth_strong,truth_strong,partial_recovery,4510215.533408761,3.335505123762715,-48.64156694069299,-198.53145200621464,51.462552635743855,True,prior_persists_against_truth_gr,1189,878.5948585557014,145.11658644533333,733.4782721103682,758.6953490375129,0.6380953314024499,1455.4997075423626,0.9500000000000001,False,1703,1377.2264437310268,219.94633389924343,1157.2801098317834,1351.336599741865,0.7935035817626923,2450.7527040820596,0.9500000000000001,False,514,498.63158517532537,74.8297474539101,423.80183772141527,592.6412507043522,1.152998542226366,995.2529965396967,0.9500000000000001,False,1189,878.5948585557014,692.6591249213736,185.9357336343278,0.0,0.0,162.2386455130944,0.0,False,1703,1377.2264437310268,1118.1062632060066,259.12018052502026,0.0,0.0,192.789452696255,0.0,False,514,498.63158517532537,425.4471382846329,73.18444689069247,0.0,0.0,47.04095465440139,0.0,False
fc0d20b2:000,fc0d20b2,2703,5308,1349,2605,3954,0.3411734951947395,0.6588265048052605,119,,-0.0434668229834301,-4.617000000000189,-9.970999999999547,0.0499999999992724,0.0499999999992724,0.0349999999998544,0.0,0.0,-46.77496468330148,48.80904680080409,13.943662663697191,-0.012025944872611,1.0,50.99943068211977,15.757564663041824,15.757564663041824,3.532925468085601,61.80160889810921,0.2583493282149712,1.0,0.0030300469721477,7.893272362444911,2.9151224287561632,4.978149933688755,0.0021356208269275,10,18,0.8861330326944757,0.9228198195228112,27.79003281557862,32.235229244988695,0.0236155525604312,0.0,0.0,0.0040146370432973,0.2411594489178164,0.5414620381141109,0.6877409755081423,12.635683813400886,12.895026412128656,12.909227380668908,0.0012763192234632,0.5186180422264876,0.4813819577735125,0.0393762098025858,0.0328585848903211,10.197865263838771,0.1346601070007677,0.0139013518594321,0.0,0.4760076775431862,39.37234715986506,0.8908096406544613,14.312210399127451,0.1,candidate_strong,near_tie,candidate_strong,large_recovery,6205951.544216034,33.051482137762264,-46.77496468330148,-32.04838825167125,48.80904680080409,True,prior_aligned_gr_ambiguous,1365,70.2938845749397,73.20900700369586,-2.9151224287561632,426.73327537366913,0.3126251101638602,424.6198116128209,0.7250000000000001,False,2605,134.80828957822192,142.7015619406668,-7.89327236244489,826.9895079590573,0.317462383093688,821.2668854962847,0.7250000000000001,False,1240,64.5144050032822,69.49255493697096,-4.978149933688755,400.2562325853882,0.322787284343055,396.64707388346386,0.7250000000000001,False,1365,70.2938845749397,270.7976677655726,-200.50378319063293,228.96618771994656,0.16774079686442972,78.43821113241671,0.775,False,2605,134.80828957822192,533.3511071364417,-398.5428175582198,470.85750437541617,0.18075144121896974,175.04283472485412,0.775,False,1240,64.5144050032822,262.553439370869,-198.0390343675868,241.8913166554695,0.19507364246408831,96.6046235924374,0.775,False
97cd5bf9:000,97cd5bf9,2731,5099,1081,2368,3449,0.3134241809220063,0.6865758190779936,200,,-0.0277614977224872,-6.518000000000029,-9.972999999999956,0.0300000000006548,0.0400000000008731,0.0140000000010331,0.0100000000002182,0.0099999999983992,-44.46002132601367,48.79600098354344,20.108610485968008,-0.0292988628734185,1.0,52.37155165746204,12.073404925773165,11.907803326638293,9.328279171335126,37.86342868843028,0.3614864864864865,1.0,-0.0194712293560589,-46.10787111514762,-17.331111746371747,-28.77675936877587,-0.0196053300298322,8,9,0.8648648648648649,0.8979449736319943,25.37077729185249,-16.278412429633395,-0.0184144936986803,0.0,0.0,-0.0193913472835416,0.4540124685353284,0.6269352829511047,0.8197018149137979,13.740488788444658,9.674114543973102,14.348919850365412,-0.0071734394949138,0.3652871621621621,0.6347128378378378,0.0043263563580505,-0.0021161912519729,14.647198285768582,0.0849044676545608,0.0075648013055555,0.0,0.6266891891891891,49.27708383240593,0.6959371608165474,29.726765668418263,0.1,truth_strong,truth_strong,truth_strong,large_recovery,5638325.717982784,36.72259605777028,-44.46002132601367,-31.573740117933998,48.79600098354344,True,prior_persists_against_truth_gr,884,34.36660536689559,17.035493620523845,17.331111746371747,166.69942664779026,0.18857401204501162,174.93170472731683,0.47500000000000003,False,2368,86.75658669438565,40.64871557923803,46.10787111514762,462.48953571376535,0.19530808096020497,484.39077449346047,0.47500000000000003,False,1484,52.38998132749006,23.613221958714192,28.77675936877587,298.9304751709069,0.20143563016907473,313.3188548552949,0.5,False,884,34.36660536689559,92.30979876595632,-57.943193399060725,112.3519247172043,0.1270949374629008,72.07612542054376,0.925,False,2368,86.75658669438565,249.5367590126561,-162.78017231827044,313.27193868622226,0.13229389302627628,204.953348842435,0.925,False,1484,52.38998132749006,157.22696024669978,-104.83697891920971,200.92001396901793,0.13539084499259968,132.87722342189124,0.925,False
91b301ce:000,91b301ce,3487,8512,1545,5025,6570,0.2351598173515981,0.7648401826484018,150,,0.0299897483290601,6.070999999999913,9.988000000001191,0.0500000000010913,0.0200000000004365,0.0360000000000582,-0.0300000000006548,-0.0200000000004365,42.53869850746253,48.40517559363702,23.098055189604988,0.0150585447393772,1.0,49.93987775634861,33.22528490736754,33.14688657220179,11.17519528990271,35.17322654494461,0.665273631840796,0.9621890547263682,-0.1620427083675528,-814.264609546953,-699.4904035488418,-114.77420599811146,-0.1611729040435119,22,70,0.9232370543845954,0.9701959147708336,25.42068765493324,-588.4582694841646,-0.1355894630147844,0.0,0.0,-0.1675535853987028,-0.3320623191772837,-0.1959277959760969,0.5904392142671808,19.33220801897366,11.39031250549134,19.06214756728156,-0.0821390208534973,0.2608955223880597,0.7391044776119403,0.05079716053908,0.0334785242622124,13.660553515562189,0.2345088656602985,0.0628976607160149,0.0001990049751243,0.136318407960199,27.512464336871396,0.7282250120788707,17.484898135562148,0.1,truth_strong,truth_strong,truth_strong,partial_recovery,11773881.646860436,15.17989068626948,42.53869850746253,-54.658689543397,48.40517559363702,False,neither_prior_nor_observed_gr,4340,1071.4296679332629,371.939264384421,699.4904035488419,603.6208192960842,0.13908313808665534,848.4424605381789,0.35000000000000003,False,5025,1247.965989637892,433.70138009093887,814.2646095469532,645.0944020816551,0.12837699543913533,930.0870154230888,0.35000000000000003,False,685,176.53632170462927,61.76211570651783,114.77420599811144,49.38400282940435,0.07209343478745162,86.68561977879057,0.325,False,4340,1071.4296679332629,1658.8032416030524,-587.3735736697895,1230.9877887689954,0.2836377393476948,805.141947858398,0.7250000000000001,False,5025,1247.965989637892,1905.8228363404198,-657.8568467025277,1334.422311389585,0.2655566788834995,857.4760975302524,0.7250000000000001,False,685,176.53632170462927,247.01959473736733,-70.48327303273805,123.86844851168016,0.18082985184186884,74.53015738876351,0.7000000000000001,False
708caea9:000,708caea9,2240,8482,306,6242,6548,0.046731826511912,0.953268173488088,87,,-0.0512365709691418,-3.3170000000009168,-9.992999999998574,0.0599999999994906,0.0600000000013096,0.0620000000017171,1.8189894035458565e-12,0.0,-47.47297596924077,48.278137460496666,8.780382069050287,-0.0028756008715215,1.0,48.21190370157888,29.92302051950264,29.92302051950264,0.8864341294739233,19.01444188006164,0.5512656199935918,1.0,-0.0087549879992576,-54.64863509136617,-27.405613020670515,-27.24302207069565,-0.0055589478743753,54,33,0.8412177985948478,0.8738228297431653,24.12987413822553,30.41080643512742,0.0061685205750765,0.0,0.0,-0.0207644985294936,0.3414856428527509,0.4829414331098974,0.5199046238133208,17.483629031003332,16.75546892890529,16.342762438374105,-0.0010835616050752,0.4852611342518423,0.5147388657481576,0.0292912252345724,0.0184917427663528,1.51247463315604,0.2965517251135854,0.0862015371359309,0.1706183915411727,0.2101890419737263,47.35472273101508,0.8542877417791035,11.47936093707305,0.1,truth_strong,truth_strong,candidate_strong,partial_recovery,14548719.750638084,18.35511694099403,-47.47297596924077,-115.3721655688077,48.278137460496666,True,prior_persists_against_truth_gr,4930,336.01099870978817,308.6053856891176,27.405613020670557,1690.2141406847827,0.34284262488535144,1698.4358245909839,0.30000000000000004,False,6242,426.50248205112604,371.85384695975984,54.6486350913662,2245.4386654812697,0.3597306416983771,2261.8332560086797,0.30000000000000004,False,1312,90.4914833413379,63.24846127064225,27.243022070695645,555.2245247964871,0.4231894243875664,563.3974314176959,0.30000000000000004,False,4930,336.01099870978817,667.7541777471529,-331.7431790373647,2052.660812030089,0.41636121947871985,1944.8442788429452,0.325,False,6242,426.50248205112604,850.7633674774484,-424.2608854263223,2691.66489550525,0.43121834275957227,2553.7801077416952,0.325,False,1312,90.4914833413379,183.0091897302955,-92.5177063889576,639.0040834751618,0.4870457953316782,608.9358288987506,0.325,False
c9578d27:000,c9578d27,3190,6202,1475,3012,4487,0.3287274348116781,0.6712725651883218,226,,-0.0211103435153811,-7.216999999998734,-9.983000000000176,0.0200000000022555,0.0300000000006548,0.0300000000006548,0.0099999999983992,0.0399999999972351,-46.339353253652206,48.20210006621778,13.270523381800174,-0.0104450134715245,1.0,46.78203700228893,10.299420797170454,10.299420797170454,2.313080664779782,44.1625576871013,0.8871181938911022,1.0,-0.0553455985145754,-166.70094272590126,-78.86946352386349,-87.83147920203777,-0.0578646100688653,10,22,0.7721774193548387,0.8153943412726999,31.413274052948097,-67.08710813781573,-0.0492201820526894,0.0,0.0,-0.0532634804136068,0.0850513295561315,0.0621530469513727,0.7394651875260607,16.130763855073234,8.358246732213876,17.17003569283766,-0.0162506627622437,0.3137450199203187,0.6862549800796812,0.0060765350107709,-0.0032949332487945,5.292018615106241,0.1779411055826693,0.0237021355547416,0.0,0.547476759628154,40.55505081858644,0.8476622886104234,11.434789052934198,0.1,truth_strong,truth_strong,truth_strong,large_recovery,6998208.661790541,37.902679269047326,-46.339353253652206,-55.01315238059309,48.20210006621778,True,prior_persists_against_truth_gr,1363,107.81664839102021,28.94718486715671,78.8694635238635,29.53845205234626,0.021671644939358956,96.57749604763023,0.8500000000000001,False,3012,224.37590398406695,57.67496125816569,166.70094272590126,69.78816019919151,0.02317003990677009,211.4839615162076,0.8500000000000001,False,1649,116.55925559304674,28.727776391008977,87.83147920203777,43.53180729875535,0.026398912855521744,114.90646546857738,0.775,False,1363,107.81664839102021,94.22108647069112,13.59556192032909,75.2441617469475,0.05520481419438555,85.10094413918608,0.7250000000000001,False,3012,224.37590398406695,200.62922802391475,23.746675960152203,163.74609971516958,0.05436457493863532,180.96243978627993,0.7250000000000001,False,1649,116.55925559304674,106.40814155322363,10.151114039823113,89.19771486609281,0.05409200416379188,96.81105039596014,0.75,False
