well_id,rows,x_min,x_max,target_min,target_max,last_anchor_tvt_rmse,last_anchor_tvt_bias,pf_ancc_rmse,pf_ancc_bias,pf_z_rmse,pf_z_bias,beam_cons_rmse,beam_cons_bias,beam_sm5_rmse,beam_sm5_bias,beam_mean_rmse,beam_mean_bias,beam_med_rmse,beam_med_bias,sc_ens_rmse,sc_ens_bias,hyb_rmse,hyb_bias,likpf_mean_rmse,likpf_mean_bias,tvtF_ANCC_rmse,tvtF_ANCC_bias,tvt_dense_rmse,tvt_dense_bias,pf_beam_diff_mean,pf_beam_abs_diff_mean,pf_beam_abs_diff_p95,beam_minus_pf_rmse_delta,primary_pf_column,primary_beam_column,primary_pf_rmse,primary_beam_rmse,source_pf_beam_abs_diff_mean,anchor_minus_pf_rmse_delta,anchor_column,anchor_rmse,pf_ancc_std_mean,pf_ancc_std_p95,beam_std_d_mean,beam_std_d_p95,sig_std_mean,sig_std_p95,sc_trust_mean,sc_trust_p95,pfx_rmse_mean,pfx_rmse_p95,known_len_mean,known_len_p95,eval_len_mean,eval_len_p95,likpf_mean_d_mean,likpf_mean_d_p95,pf_rmse,beam_rmse,last_anchor_rmse,pf_minus_beam_rmse,beam_minus_pf_rmse,last_anchor_minus_pf_rmse,pf_std_mean,beam_spread_mean,prefix_length,eval_length,likpf_abs_delta_mean,eval_to_prefix_ratio,plot_path,reason,ml_rows,ml_rmse,ml_mode,ml_model,ml_error_mean,ml_error_abs_mean,pf_minus_ml_rmse,beam_minus_ml_rmse,best_engine,pf_beats_ml,beam_beats_ml,pf_beats_beam,tail_length_bucket,prefix_length_bucket,pf_minus_beam_rmse_bucket,pf_minus_ml_rmse_bucket,pf_beam_disagreement_bucket,pf_std_bucket,beam_spread_bucket,pfx_rmse_bucket,likpf_abs_delta_bucket
86454a6f,7964,1.0,7964.0,12177.949765625,12274.62945,70.26298373606733,-65.82837891057514,55.52315362861186,-52.55600679857163,77.66411234710885,-71.0186758719016,68.43068382291402,-64.06585087945214,81.60857342549117,-77.5156244775774,72.77897589322528,-68.66374674882961,68.67831410320395,-64.30153646458524,71.81549865108677,-66.30092700742365,72.83672104162122,-68.09648148863805,58.80466447566196,-55.60781251551284,36.28888265472603,25.37910037119232,46.58607058080868,-10.79629616285534,16.107739950257983,17.36918687512009,27.043369999999232,17.25582226461342,pf_ancc,beam_mean,55.52315362861186,72.77897589322528,17.36918687512009,14.739830107455468,last_anchor_tvt,70.26298373606733,2.4452092578340032,4.305472059999998,7.601307843897539,9.148437,30.38327592386992,52.21827395,0.5999999999999999,0.6,13.400636,13.400636,1136.0,1136.0,7964.0,7964.0,10.22056639506228,19.8470701,55.52315362861186,72.77897589322528,70.26298373606733,-17.25582226461342,17.25582226461342,14.739830107455468,2.4452092578340032,7.601307843897539,1136.0,7964.0,10.22056639506228,7.01056338028169,artifacts/pf_beam_true_tvt_2d_well_eda_clean_all_plots/all_wells__86454a6f.png,all_wells,7964,54.51536178588867,gpu_repro_guard_dp_threads8,lgb_mean,-49.322487,49.33237838745117,1.0077918427231864,18.263614107336608,ml,False,False,True,5000+,1000-1500,<-10,0-2,pf_beam_disagreement_q4_12.6_64.8,pf_std_q4_1.74_16.5,beam_spread_q4_4.04_13.9,pfx_rmse_q2_11.9_13.7,likpf_abs_delta_q3_6.92_12.8
fb03ae90,6431,1.0,6431.0,11427.400195,11478.159960938,42.88774388266486,41.45394557226594,26.873317065617297,24.67188516175363,23.2462228511561,18.50861296458368,46.71530876721637,45.31209360523127,49.67095089224168,48.1057493352888,39.28296791749239,37.94844211435685,46.68684049547743,45.2846484178576,215.68863553127352,-138.84151902879734,118.09749327144866,-64.6209171473073,20.515681133149783,19.15514963943933,114.2400936398664,110.2133241292548,75.40826459283642,73.19378832207158,-13.276556952603222,13.276556952603222,18.68685700000151,12.409650851875089,pf_ancc,beam_mean,26.873317065617297,39.28296791749239,13.276556952603222,16.01442681704756,last_anchor_tvt,42.88774388266486,1.049590812760846,2.9120804,13.930992166055043,16.677002,124.52120086946044,264.71963,0.5999999999999999,0.6,13.634162000000002,13.634162,1698.0,1698.0,6431.0,6431.0,-22.298795932826625,-13.2504885,26.873317065617297,39.28296791749239,42.88774388266486,-12.409650851875096,12.409650851875096,16.01442681704756,1.049590812760846,13.930992166055043,1698.0,6431.0,22.298795932826625,3.787396937573616,artifacts/pf_beam_true_tvt_2d_well_eda_clean_all_plots/all_wells__fb03ae90.png,all_wells,6431,41.63990783691406,gpu_repro_guard_dp_threads8,lgb_mean,39.939217,39.93921661376953,-14.766590771296766,-2.35693991942167,pf,True,True,True,5000+,1500-2500,<-10,<-10,pf_beam_disagreement_q4_12.6_64.8,pf_std_q2_0.791_1.13,beam_spread_q4_4.04_13.9,pfx_rmse_q2_11.9_13.7,likpf_abs_delta_q4_12.8_64.3
389ae58f,6463,1.0,6463.0,11707.370546875,11775.87055,49.76346024093865,-47.8125613598445,18.86683572967692,-16.42923983733123,70.11377603047201,-67.5283838107182,42.950387684408646,-41.239706745114496,43.51258780559423,-41.80879230909407,44.730916085859214,-42.68525390245815,43.58478350759168,-41.85559719846434,217.38783041228285,-174.94368541025457,144.68947804675082,-121.57553244441668,4.816095149117423,-2.53618828799243,88.23444341178937,-83.6871076231892,128.2264931503482,-126.47199946180952,26.25601406512692,26.25601406512692,31.34141773999945,25.86408035618229,pf_ancc,beam_mean,18.86683572967692,44.730916085859214,26.25601406512692,30.896624511261727,last_anchor_tvt,49.76346024093865,0.7913644367584712,1.6499070799999995,3.963130906455207,6.0634403,87.03381137312392,213.325282,0.5999999999999999,0.6,17.494489999999992,17.49449,1738.0,1738.0,6463.0,6463.0,45.27637307185208,68.496972,18.86683572967692,44.730916085859214,49.76346024093865,-25.864080356182292,25.864080356182292,30.896624511261727,0.7913644367584712,3.963130906455207,1738.0,6463.0,45.27637307185208,3.7186421173762945,artifacts/pf_beam_true_tvt_2d_well_eda_clean_all_plots/all_wells__389ae58f.png,all_wells,6463,41.62919616699219,gpu_repro_guard_dp_threads8,lgb_mean,-39.775978,39.775978088378906,-22.762360437315266,3.101719918867026,pf,True,False,True,5000+,1500-2500,<-10,<-10,pf_beam_disagreement_q4_12.6_64.8,pf_std_q1_0.172_0.791,beam_spread_q3_2.68_4.04,pfx_rmse_q4_15.9_61.3,likpf_abs_delta_q4_12.8_64.3
1b1eba53,4655,1.0,4655.0,12726.190039062,12825.06992,70.63900757329156,-65.93081160985007,59.188249059801656,-55.37788797934487,51.95557780918542,-46.709285616294416,75.33220191344645,-70.2527040097705,75.28128270496696,-70.20845051890261,74.14693064392256,-69.4625858550832,75.2705557241492,-70.21178027185428,242.9660447114441,-187.58155401522063,169.92906209416282,-140.6407742661551,56.98428375514982,-51.4614735783737,36.25038240740085,-32.19159990200866,9.28629277911844,-7.214148565750712,14.084697875738334,14.08917294864918,28.767738080000345,14.958681584120905,pf_ancc,beam_mean,59.188249059801656,74.14693064392256,14.08917294864918,11.450758513489909,last_anchor_tvt,70.63900757329156,0.9516921001929112,2.510373990000002,3.8178116739054775,6.648615,84.48873964719657,249.16561300000004,0.6,0.6,14.088722000000004,14.088722,2055.0,2055.0,4655.0,4655.0,14.469338031476369,20.66504,59.188249059801656,74.14693064392256,70.63900757329156,-14.958681584120903,14.958681584120903,11.450758513489909,0.9516921001929112,3.8178116739054775,2055.0,4655.0,14.469338031476369,2.265206812652068,artifacts/pf_beam_true_tvt_2d_well_eda_clean_all_plots/all_wells__1b1eba53.png,all_wells,4655,41.4329833984375,gpu_repro_guard_dp_threads8,lgb_mean,-37.740128,37.759761810302734,17.755265661364156,32.71394724548506,ml,False,False,True,2500-5000,1500-2500,<-10,10+,pf_beam_disagreement_q4_12.6_64.8,pf_std_q2_0.791_1.13,beam_spread_q3_2.68_4.04,pfx_rmse_q3_13.7_15.9,likpf_abs_delta_q4_12.8_64.3
91b301ce,6570,1.0,6570.0,10920.75949,11042.599336,35.315170842807746,11.83504681415621,30.850413510417454,15.719690117047492,34.15877267518742,18.83971348082224,35.507842224015604,12.448209766412823,37.59183979657332,13.837022571440071,36.42410488793632,13.047709636001072,36.17430631570485,13.00224325472031,150.6086958823124,-84.9253042779447,91.10663303611172,-45.69772393995856,31.9365708165066,21.913669018361148,16.359078253427246,4.917608381887664,32.4826243822045,16.936312336756508,2.671980481046424,10.616174412725654,28.54625312499902,5.573691377518863,pf_ancc,beam_mean,30.850413510417454,36.42410488793632,10.616174412725654,4.464757332390292,last_anchor_tvt,35.315170842807746,0.5637920306972602,1.827119695,2.9536704891780823,4.260083734999982,72.82817960213089,180.0480764999999,0.5999999999999999,0.6,12.055263999999996,12.055264,1942.0,1942.0,6570.0,6570.0,10.078622204204946,28.706055,30.850413510417454,36.42410488793632,35.315170842807746,-5.57369137751887,5.57369137751887,4.464757332390292,0.5637920306972602,2.9536704891780823,1942.0,6570.0,10.078622204204946,3.383110195674562,artifacts/pf_beam_true_tvt_2d_well_eda_clean_all_plots/all_wells__91b301ce.png,all_wells,6570,34.10053253173828,gpu_repro_guard_dp_threads8,lgb_mean,22.10248,23.01958465576172,-3.2501190213208275,2.323572356198042,pf,True,False,True,5000+,1500-2500,-10--5,-5--2,pf_beam_disagreement_q3_7.76_12.6,pf_std_q1_0.172_0.791,beam_spread_q3_2.68_4.04,pfx_rmse_q2_11.9_13.7,likpf_abs_delta_q3_6.92_12.8
81bf5923,4543,1.0,4543.0,12720.059453000002,12773.610234375,31.31937158760505,26.56523456231521,31.9498239875831,27.096707267575248,30.86972138277765,26.23567204855697,35.41100232274027,30.82179288738735,35.42256112933076,30.820252055272004,32.22389978773042,27.89166499375727,32.66467928820558,28.92811033872745,188.1611290388198,-122.6687390901816,106.12861165656096,-61.27243678346721,31.563055981515404,27.305735702254573,91.24409094958402,67.56197779365934,5.824955013970332,4.702199662029049,-0.7949577261820219,1.4058456746155523,4.441278000001511,0.2740758001473189,pf_ancc,beam_mean,31.9498239875831,32.22389978773042,1.4058456746155523,-0.6304523999780436,last_anchor_tvt,31.31937158760505,0.8791882863152102,2.288519629999993,4.005807183348008,5.566848,100.17554367970504,229.255864,0.6,0.6,19.49532,19.49532,1843.0,1843.0,4543.0,4543.0,0.7405011399393573,3.673632789999999,31.9498239875831,32.22389978773042,31.31937158760505,-0.2740758001473189,0.2740758001473189,-0.6304523999780471,0.8791882863152102,4.005807183348008,1843.0,4543.0,0.7405011399393573,2.465002712967987,artifacts/pf_beam_true_tvt_2d_well_eda_clean_all_plots/all_wells__81bf5923.png,all_wells,4543,30.03668975830078,gpu_repro_guard_dp_threads8,lgb_mean,25.002037,25.02967071533203,1.913134229282317,2.187210029429636,ml,False,False,True,2500-5000,1500-2500,-2-0,0-2,pf_beam_disagreement_q1_0.364_4.26,pf_std_q2_0.791_1.13,beam_spread_q3_2.68_4.04,pfx_rmse_q4_15.9_61.3,likpf_abs_delta_q1_0.017_3.23
708caea9,6548,1.0,6548.0,11014.1107421875,11064.740625,34.916829479836416,-32.99348862036955,47.19473363015246,-44.780844072416336,50.5715178563103,-47.75877206569674,36.572312713112666,-34.68268582687241,32.09228402358941,-30.482853766749813,34.075239190541936,-32.265568273671086,33.08688359850589,-31.34388004069307,228.13439428815272,-167.69304456501902,147.01872688487606,-113.64855179000592,44.79469668219511,-42.12544893778968,61.29046819117367,-53.02085735891604,18.252335562192524,-13.328281030271352,-12.515275798745249,12.525009909962703,24.040228724999903,-13.119494439610529,pf_ancc,beam_mean,47.19473363015246,34.075239190541936,12.525009909962703,-12.277904150316049,last_anchor_tvt,34.916829479836416,0.9257100047292304,3.5614020099999992,3.860897396783751,5.585148,95.91970823711056,242.369855,0.5999999999999999,0.6,18.390083,18.390083,1934.0,1934.0,6548.0,6548.0,-9.131960317420129,1.3248046949999983,47.19473363015246,34.075239190541936,34.916829479836416,13.119494439610527,-13.119494439610527,-12.277904150316047,0.9257100047292304,3.860897396783751,1934.0,6548.0,9.131960317420129,3.3857290589451914,artifacts/pf_beam_true_tvt_2d_well_eda_clean_all_plots/all_wells__708caea9.png,all_wells,6548,30.02184295654297,gpu_repro_guard_dp_threads8,lgb_mean,-27.838137,27.848655700683597,17.172890673609494,4.053396233998967,ml,False,False,False,5000+,1500-2500,10+,10+,pf_beam_disagreement_q3_7.76_12.6,pf_std_q2_0.791_1.13,beam_spread_q3_2.68_4.04,pfx_rmse_q4_15.9_61.3,likpf_abs_delta_q3_6.92_12.8
2fd68f7b,4730,1.0,4730.0,10809.769648439998,10885.75988,60.74025382438282,-56.019854328181474,37.923079434736685,-34.18353202374091,37.673113725226216,-34.21472610407918,61.37283303249421,-56.44084111952766,61.36131807259776,-56.46980517874457,61.23897904410749,-56.32658561529619,61.40278095589938,-56.48682420641138,265.2007692555898,-217.32808989160333,179.40298198681646,-152.97858885577625,11.631503383375945,-7.468499941052278,22.24888807368002,-16.66155052268386,17.052455706442018,-16.773286128603882,22.14305359155528,22.19521906929052,30.495427500001824,23.315899609370803,pf_ancc,beam_mean,37.923079434736685,61.23897904410749,22.19521906929052,22.817174389646134,last_anchor_tvt,60.74025382438282,1.7064807852080337,4.071996215,2.001852860042284,3.8769333,108.64868417141648,238.4948455,0.5999999999999999,0.6,8.59962,8.59962,1651.0,1651.0,4730.0,4730.0,48.55135438712918,66.8346215,37.923079434736685,61.23897904410749,60.74025382438282,-23.315899609370803,23.315899609370803,22.817174389646134,1.7064807852080337,2.001852860042284,1651.0,4730.0,48.55135438712918,2.864930345245306,artifacts/pf_beam_true_tvt_2d_well_eda_clean_all_plots/all_wells__2fd68f7b.png,all_wells,4730,29.55150413513184,gpu_repro_guard_dp_threads8,lgb_mean,-26.384071,26.553760528564453,8.371575299604846,31.68747490897565,ml,False,False,True,2500-5000,1500-2500,<-10,5-10,pf_beam_disagreement_q4_12.6_64.8,pf_std_q3_1.13_1.74,beam_spread_q2_1.62_2.68,pfx_rmse_q1_4.57_11.9,likpf_abs_delta_q4_12.8_64.3
ba48188d,4166,1.0,4166.0,12167.759730000002,12272.7499609,50.93723475933152,38.341690269617615,33.12219509839048,25.094837053102093,20.47858614597948,14.185220754494324,47.96769331000671,35.59822189219287,53.6370376379336,40.03953250659521,51.24544735479004,38.21978424564254,50.12121393968871,37.27693048556781,126.14885356913148,-77.85364406283365,71.38345551954949,-31.584235152970955,32.28084112882235,23.518175699822844,32.8822730704638,28.756726515416084,30.806784727892044,-30.259234145648826,-13.12494719254045,14.144723778810013,34.15604910000093,18.12325225639956,pf_ancc,beam_mean,33.12219509839048,51.24544735479004,14.144723778810013,17.815039660941046,last_anchor_tvt,50.93723475933152,1.1865594323331734,3.712717125,3.556177344023044,6.133714,76.9986233636582,147.8842125,0.5999999999999999,0.6,15.215341999999994,15.215342,1368.0,1368.0,4166.0,4166.0,-14.823514569794767,-0.7258300799999999,33.12219509839048,51.24544735479004,50.93723475933152,-18.12325225639956,18.12325225639956,17.81503966094104,1.1865594323331734,3.556177344023044,1368.0,4166.0,14.823514569794767,3.0453216374269005,artifacts/pf_beam_true_tvt_2d_well_eda_clean_all_plots/all_wells__ba48188d.png,all_wells,4166,29.20767974853516,gpu_repro_guard_dp_threads8,lgb_mean,20.289188,21.316181182861328,3.914515349855318,22.037767606254878,ml,False,False,True,2500-5000,1000-1500,<-10,2-5,pf_beam_disagreement_q4_12.6_64.8,pf_std_q3_1.13_1.74,beam_spread_q3_2.68_4.04,pfx_rmse_q3_13.7_15.9,likpf_abs_delta_q4_12.8_64.3
206b6193,6535,1.0,6535.0,11386.480664,11456.55,36.50882953414019,31.50766230428813,30.439784796451445,25.5311150969438,44.91592213813973,38.48912221247556,35.307913981456444,29.92744966636289,35.314861492408944,29.950632528130296,33.53397771901973,28.150224825916013,35.28082984692684,29.904037271346056,161.91026642905575,-93.70747198982342,91.8453049588068,-44.248433049176604,30.916847270983208,26.24502855999677,6.263761176296437,3.609329404518384,25.71516988851351,11.382526043050795,-2.61910972897222,3.660719239391856,6.3406636999992765,3.0941929225682863,pf_ancc,beam_mean,30.439784796451445,33.53397771901973,3.660719239391856,6.0690447376887455,last_anchor_tvt,36.50882953414019,0.4150761343115531,1.2668618199999993,4.396634527745984,6.2121024,88.10657677172149,204.889466,0.5999999999999999,0.6,12.061229999999997,12.06123,2033.0,2033.0,6535.0,6535.0,-5.262633744291354,-0.3539062580000014,30.439784796451445,33.53397771901973,36.50882953414019,-3.0941929225682863,3.0941929225682863,6.0690447376887455,0.4150761343115531,4.396634527745984,2033.0,6535.0,5.262633744291354,3.2144613871126415,artifacts/pf_beam_true_tvt_2d_well_eda_clean_all_plots/all_wells__206b6193.png,all_wells,6535,29.20113182067871,gpu_repro_guard_dp_threads8,lgb_mean,26.246122,26.246294021606445,1.2386529757727338,4.33284589834102,ml,False,False,True,5000+,1500-2500,-5--2,0-2,pf_beam_disagreement_q1_0.364_4.26,pf_std_q1_0.172_0.791,beam_spread_q4_4.04_13.9,pfx_rmse_q2_11.9_13.7,likpf_abs_delta_q2_3.23_6.92
