experiment,config_path,parse_error,status,route,metrics_status,metrics_cv,has_sig_p,sig_p_entries,local_contract_count,numeric_sig_p_values,numeric_step_values,numeric_momentum_values,nondefault_sig_p_values,nondefault_step_values,nondefault_momentum_values,position_sigma_schedule_paths,momentum_schedule_paths,has_position_intervention_design,has_momentum_intervention_design,terminal_without_run,has_recorded_metric,completed_position_intervention,completed_momentum_intervention
exp237_hmm_exp226_candidate_selector_on_exp183,/home/kento/work/kaggle/ROGII/experiments/exp237_hmm_exp226_candidate_selector_on_exp183/config.yaml,,completed_rawtest_inference_not_submitted_after_guard_failure,ensemble,completed_rawtest_inference_not_submitted_after_guard_failure,"{""base8_oracle_rmse"": 4.564605114796885, ""candidate_count"": 11, ""candidate_oracle_delta_vs_base8"": -1.681095562507497, ""candidate_oracle_rmse"": 2.883509552289388, ""fixed_viterbi"": {""delta_vs_exp183"": -2.0563884878892615, ""delta_vs_exp226_single"": -0.8820163107590044, ""delta_vs_likpf"": -3.049804386394495, ""mae_tvt"": 4.991818709287342, ""oracle_label_accuracy"": 0.19880633902476988, ""path_switch_count"": 7640, ""path_switch_per_1000_rows"": 2.0190333534267673, ""rmse_tvt"": 8.545093285823208, ""variant"": ""viterbi_sw200_bias000_jw100_jf025_d0075_std999999_md0000_seg001"", ""within_10ft"": 0.8494747209888823}, ""guard"": {""decision"": ""global_supported_guard_not_passed_no_inference_no_submit"", ""distance_000_050_vs_exp183_delta_rmse"": 0.167573, ""hidden_like_spatial_valid_vs_exp183_delta_rmse"": -3.955555, ""hidden_like_typewell_purged_valid_vs_exp183_delta_rmse"": -3.881109, ""max_per_well_regression_vs_exp183_rmse"": 25.639006, ""max_per_well_regression_vs_exp183_well"": ""70925e23"", ""overall_vs_exp183"": ""pass"", ""overall_vs_exp226_single"": ""pass"", ""worst_well"": ""fb03ae90"", ""worst_well_rmse"": 57.642328}, ""rows"": 3783989, ""rowwise_error_ranker"": {""mae_tvt"": 4.9981930162996475, ""rmse_tvt"": 8.545227678368821, ""within_10ft"": 0.8501560126099732}, ""runtime_seconds"": 3051.085713624954, ""wells"": 773}",True,"[[""inference.hmm.exact.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,True,False,False
exp240_shrinkage_residual_scale_emission_hmm_on_exp218,/home/kento/work/kaggle/ROGII/experiments/exp240_shrinkage_residual_scale_emission_hmm_on_exp218/config.yaml,,closed_train_side_alpha050_best_rmse_mixed_guards_no_inference_no_submit,ensemble,closed_train_side_alpha050_best_rmse_mixed_guards_no_inference_no_submit,"{""bias"": -0.0565123395318693, ""by_well_vs_alpha025"": {""improved_wells"": 352, ""max_improvement_delta_rmse"": -6.760599929394399, ""max_improvement_well"": ""efe96181"", ""max_regression_delta_rmse"": 2.8984338946575097, ""max_regression_well"": ""6a8fa194"", ""mean_delta_rmse"": 0.032399257265361726, ""median_delta_rmse"": 0.008680927058384302, ""worsened_wells"": 421}, ""candidate"": ""hmm_lgb_exp218_selected_shrinkage_band_sf0250_sc4000_l0500"", ""delta_rmse_vs_exp218"": -0.1389408612409237, ""delta_rmse_vs_exp234_rowwise_sigma"": -0.090367505308647, ""delta_vs_alpha025"": {""mae"": 0.041423584731, ""rmse"": -0.014258376373997, ""within10"": -0.001093554976}, ""delta_vs_scalar"": {""mae"": 0.06870743449, ""rmse"": -0.024443879527962, ""within10"": -0.002636899843}, ""distance_bucket_delta_rmse_vs_alpha025"": {""000_050"": -0.011477, ""050_100"": -0.026673, ""1000_plus"": -0.0164, ""100_250"": -0.027856, ""250_500"": 0.0096, ""500_1000"": 0.00189}, ""hidden_like_delta_vs_alpha025"": {""verification_like_spatial"": {""rmse"": 0.005456}, ""verification_like_typewell_purged"": {""rmse"": 0.003032}}, ""mae"": 4.874378048076729, ""rmse"": 8.336863896691353, ""rows"": 3783989, ""scale_guard"": {""passed"": true, ""spearman_sigma_vs_abs_error"": 0.32648562587745916, ""well_overlap_count_all_folds"": 0}, ""step_delta"": {""mean"": 0.011332864736128769, ""p99"": 0.0665, ""rate_gt_10"": 0.0, ""rate_gt_25"": 0.0, ""rate_gt_5"": 0.0}, ""wells"": 773, ""within10"": 0.8589528140805907}",True,"[[""model.hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,True,False,False
exp247_missing_gr_masking,/home/kento/work/kaggle/ROGII/experiments/exp247_missing_gr_masking/config.yaml,,completed_rejected,ensemble,completed_rejected,8.322894657994638,True,"[[""model.hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,True,False,False
exp251_raw_test_safe_dual_objective_candidate_ranker,/home/kento/work/kaggle/ROGII/experiments/exp251_raw_test_safe_dual_objective_candidate_ranker/config.yaml,,completed_train_side_guard_failed,ensemble,completed_train_side_guard_failed_no_inference_no_submit,8.502212004569888,True,"[[""inference.hmm.exact.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,True,False,False
exp263_last_anchor_better_candidate_confidence_pair_cache,/home/kento/work/kaggle/ROGII/experiments/exp263_last_anchor_better_candidate_confidence_pair_cache/config.yaml,,stage1_namespaced_confidence_kaggle_v3_completed,pf_beam,stage1_namespaced_confidence_kaggle_v3_completed,8.238331,True,"[[""stage1.raw_test_generation.exact_hmm.params.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,True,False,False
exp268_multi_scale_initial_rate_candidates,/home/kento/work/kaggle/ROGII/experiments/exp268_multi_scale_initial_rate_candidates/config.yaml,,completed_train_side_candidate_bank_audit,pf_beam,completed_train_side_candidate_bank_audit,null,True,"[[""model.hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,False,False,False
exp269_raw_hmm_likpf_missing_gr_observation_neutrality_ablation,/home/kento/work/kaggle/ROGII/experiments/exp269_raw_hmm_likpf_missing_gr_observation_neutrality_ablation/config.yaml,,completed_stage1_guard_failed_pf_closed,pf_beam,completed_stage1_guard_failed_pf_closed,13.348499467716465,True,"[[""model.hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,True,False,False
exp270_exact_hmm_posterior_mode_candidate_audit,/home/kento/work/kaggle/ROGII/experiments/exp270_exact_hmm_posterior_mode_candidate_audit/config.yaml,,completed_train_side_direct_negative_oracle_diagnostic_only_no_inference_no_submit,pf_beam,completed_train_side_direct_negative_oracle_diagnostic_only_no_inference_no_submit,11.938287234887435,True,"[[""model.hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,True,False,False
exp273_two_dimensional_formation_gradient_transition,/home/kento/work/kaggle/ROGII/experiments/exp273_two_dimensional_formation_gradient_transition/config.yaml,,completed_negative_direct_gradient_candidates,pf_beam,completed_negative_direct_gradient_candidates,11.938287234887428,True,"[[""model.hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,True,False,False
exp279_exp226_geop_centered_exact_hmm_redecode,/home/kento/work/kaggle/ROGII/experiments/exp279_exp226_geop_centered_exact_hmm_redecode/config.yaml,,completed_train_side_guard_failed_branch_closed,pf_beam,completed_train_side_guard_failed_branch_closed,10.0359869413341,True,"[[""model.hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,True,False,False
