episode_id,well,rows,episode_sse,mean_error_ft,rmse_ft,pre128_true_minus_init_rate_median,observed_emission_evidence_class,viterbi_recovery_class,pre128_kernel_bias_sum_ft,pre128_rate_mean_reversion_position_bias_sum_ft,onset_kernel_bias_sum_ft,pre128_bias_sign_matches_episode_error,pre128_rate_mean_reversion_bias_sign_matches_episode_error,onset_bias_sign_matches_episode_error,episode_kernel_bias_mean_ft_per_row,episode_representation_error_abs_mean_ft_per_row,episode_supported_representation_error_abs_mean_ft_per_row,episode_supported_compensating_rate_shift_abs_mean,episode_supported_compensating_diffusion_rows_proxy_median,episode_true_rate_outside_fraction,episode_true_nearest_rate_edge_fraction,episode_best_compensating_rate_edge_fraction,episode_best_compensating_rate_edge_log_mass_loss_sum
000d7d20:000,000d7d20,242,25728.70604174894,10.309940082644417,10.311011934561275,-1.8189894035458565e-12,candidate_strong,partial_recovery,-0.19742967132007377,-0.004180000000000295,1.765070643502197,False,False,True,0.0006345306240737297,9.976819276807343e-05,9.976819276807343e-05,0.008780991735938272,1.0720297089428566e-19,0.0,0.0,0.0,0.0
000d7d20:001,000d7d20,271,28101.87872624924,10.182964944649308,10.18317089464546,-1.8189894035458565e-12,candidate_strong,partial_recovery,-0.32120969058190324,-0.004139999999999421,1.5096708433603183,False,False,True,-0.0031829409962512486,0.0001266138163457,0.0001266138163457,0.010811808118441216,4.777726152005914e-19,0.0,0.0,0.0,0.0
00bbac68:000,00bbac68,295,34466.32885199924,10.797291525423608,10.80902461175959,-0.0100000000020372,candidate_strong,not_better,3.4669326544586987,-0.0050000000000000044,3.046596791721509,True,False,True,0.00027639062465691094,0.00030702727135997445,0.00030702727135997445,0.019661016949421378,156.24999999181446,0.0,0.0,0.0,0.0
00e12e8b:000,00e12e8b,933,165598.22933950217,-13.282504823151212,13.322539682836474,0.0099999999983992,candidate_strong,partial_recovery,-2.907596796626212,-0.011840000000000154,-2.907596796626212,True,True,True,0.000893151483873086,0.00036661559041940297,0.00036661559041940297,0.024174705252069772,156.25000000636638,0.0,0.0,0.013933547695605574,0.804380248335135
00e12e8b:001,00e12e8b,197,24368.34492199984,11.110842639593868,11.121923500239374,-0.0200000000022555,candidate_strong,not_better,4.6941798788598605,-0.002220000000004804,3.343944830553556,True,False,True,-0.0005364151502226734,0.0008154755715342803,0.0008154755715342803,0.03730964467007957,400.0000000276486,0.0,0.0,0.07614213197969544,0.9281310557713096
015fe0d2:000,015fe0d2,858,180721.51100599708,14.42931468531457,14.513136522083064,-0.0100000000020372,candidate_strong,not_better,1.1800938395911227,0.013879999999997391,2.1623623441888222,True,True,True,0.0030878050975312026,0.00045943032458491893,0.00045943032458491893,0.021398601398860465,156.24999999090497,0.0,0.0,0.10606060606060606,5.630661738345945
01869cd4:000,01869cd4,363,51637.1434737481,11.8943209366389,11.926905883326125,-0.0100000000020372,candidate_strong,partial_recovery,4.409026104945745,0.013060000000004957,3.758805016127466,True,True,True,-0.0008463341708947253,0.00040719983957536774,0.00040719983957536774,0.03174931129489312,399.99999998253776,0.0,0.0,0.024793388429752067,0.5568786334627858
01869cd4:001,01869cd4,477,191492.0704134984,19.525186582809127,20.03623920225593,-0.0100000000002182,candidate_strong,partial_recovery,3.462747770848207,0.013100000000002193,3.102672813481208,True,True,True,0.013745762847314585,0.0036140453645214636,0.0036140453645214636,0.033186582809301195,399.99999997380667,0.0,0.0,0.4758909853249476,14.045716644005818
028d7b28:000,028d7b28,4839,4907248.151781209,29.297103223806428,31.84499602462645,-0.0399999999990541,candidate_strong,large_recovery,0.44564914930481536,0.017139999999995794,2.139766058753571,True,True,True,-0.000541530284046153,0.0016990410352624894,0.0017007984215214524,0.024729002896269656,156.250000003638,0.0010332713370531101,0.0010332713370531101,0.14465798718743542,43.312782602661116
02e7fe5a:000,02e7fe5a,652,182329.435948252,-16.350089723926477,16.722630599094174,-0.0300000000006548,near_tie,partial_recovery,-0.6090569055390996,-0.00013999999999578006,-3.6057242069551956,True,True,True,-0.011858200101182817,0.0010215457758895206,0.0010215457758895206,0.0339187116564666,399.99999999126885,0.0,0.0,0.1411042944785276,5.692537142064032
0498acab:000,0498acab,278,35377.465595750655,-11.261519784172764,11.280827562209774,-0.0100000000002182,near_tie,not_better,-2.468595865099056,0.007539999999997242,-5.075556045207012,True,False,True,0.0012063440105946858,0.0007787390165419304,0.0007787390165419304,0.03580935251804528,399.9999999869034,0.0,0.0,0.0,0.0
059c8f24:000,059c8f24,293,67888.23761975138,-15.045462457338038,15.221710471953676,0.0699999999997089,near_tie,not_better,-2.181137660378782,-0.032840000000000175,-1.569545804808768,True,True,True,-0.016981408466874532,0.005783193119741073,0.005783193119741073,0.03189419795221868,225.00000003165053,0.0,0.0,0.89419795221843,16.211355774138873
05a0ee4d:000,05a0ee4d,287,37155.848026748594,11.358712543553796,11.378175825264009,-0.0700000000015279,truth_strong,not_better,4.473685992211985,0.0033800000000010215,4.51272043716278,True,True,True,0.027416972729537487,0.0010797150355464286,0.0010797150355464286,0.035296167247750705,506.2499999723332,0.0,0.0,0.0,0.0
05a0ee4d:001,05a0ee4d,445,56288.003823251376,-11.234428089887778,11.246772702959085,0.0,near_tie,not_better,-5.247286568638295,-0.01627999999999885,-3.2238917216459346,True,True,True,0.014897030754903373,0.0012025002344076396,0.0012025002344076396,0.035910112359812035,399.99999998108257,0.0,0.0,0.033707865168539325,0.9281310557378749
084d66f9:000,084d66f9,713,1147993.0776084906,36.24009957924244,40.12590768934824,-0.0299999999988358,truth_strong,large_recovery,2.5808420528742175,0.011880000000001029,2.6595492654272803,True,True,True,0.03161207134880603,0.025274118330657385,0.01632896211325998,0.027845691382863077,225.0000000043657,0.30014025245441794,0.33520336605890605,0.906030855539972,39.971510801884406
08fecf00:000,08fecf00,1658,300726.5013797421,13.390917671893671,13.467704778552914,-0.0100000000020372,truth_strong,partial_recovery,0.932270025280691,0.010680000000000299,2.438907447124615,True,True,True,-0.0005386436774412743,0.0002539695021157402,0.0002539695021157402,0.016275633293384346,156.2499999827195,0.0,0.0,0.0,0.0
08fecf00:001,08fecf00,246,43065.22173924936,13.146388211382012,13.23109507897281,-0.0199999999986175,truth_strong,partial_recovery,1.8347337154102807,0.011639999999999429,0.5855931147058275,True,True,True,0.013530545494287791,0.0012152133087761747,0.0012152133087761747,0.03252032520331711,399.99999997380667,0.0,0.0,0.24390243902439024,3.7125242230852384
09053135:000,09053135,2792,1186981.539321516,-20.38964971346719,20.618842219794583,0.0100000000020372,truth_strong,partial_recovery,-2.4012978475995377,0.0036999999999970928,-2.9397636333770856,True,False,True,-0.0005509395612945588,0.0008569031663273474,0.0008569031663273474,0.030800501432814185,399.99999997817235,0.0,0.0,0.04871060171919771,8.415054905659874
09441b8d:000,09441b8d,716,103898.94486475136,-11.988943435754267,12.04617193099092,0.0099999999983992,candidate_strong,not_better,-3.8441983006702083,-0.010959999999999134,-4.16968941301478,True,True,True,-0.0006221681823298513,0.0008496114340137429,0.0005358125149337203,0.031580419580506176,399.9999999679858,0.0013966480446927375,0.0013966480446927375,0.009776536312849162,0.43312782602661115
