class_axis,class,episodes,episode_sse_fraction,pre128_sign_match_fraction,pre128_sign_match_sse_fraction,pre128_bias_vs_mean_error_spearman,pre128_bias_vs_mean_error_partial_spearman_controlling_initial_rate,supported_compensating_rate_shift_abs_sse_weighted_mean
observed_emission_evidence_class,candidate_strong,180,0.3341580843665639,0.8166666666666667,0.7175986315140486,0.5225531652211488,0.41150940639949585,0.026091783049567746
observed_emission_evidence_class,near_tie,180,0.09230587509917872,0.8833333333333333,0.9390823720742626,0.7537002170848894,0.6977852475241412,0.02681669560867583
observed_emission_evidence_class,truth_strong,278,0.5735360405342573,0.8525179856115108,0.8877268698693125,0.6622405348110006,0.5893768232251131,0.02696085919797531
viterbi_recovery_class,large_recovery,205,0.49440753586863645,0.8048780487804879,0.8026017479152366,0.5781072836427965,0.46933277073894525,0.025795310463067933
viterbi_recovery_class,not_better,252,0.17169402939360257,0.8888888888888888,0.9038981644542984,0.7085949445208064,0.6480848920985441,0.02792416476225587
viterbi_recovery_class,partial_recovery,181,0.33389843473776093,0.850828729281768,0.8493938821591568,0.6312245765284439,0.5537295994894044,0.02728269969728127
