well,rows,initial_position_prior_mean_bias_ft,initial_position_prior_variance_ft2,initial_rate,rate_span,rate_step,initial_rate_prior_mean_bias,initial_rate_prior_variance,initial_rate_prior_edge_mass,initial_rate_transition_mass_loss,initial_rate_transition_conditional_mean_error,kernel_bias_mean_ft_per_row,kernel_bias_abs_mean_ft_per_row,kernel_bias_sum_ft,rate_mean_reversion_position_bias_abs_mean_ft_per_row,rate_mean_reversion_position_bias_sum_ft,representation_error_abs_mean_ft_per_row,supported_representation_error_abs_mean_ft_per_row,supported_compensating_rate_shift_abs_mean,supported_compensating_diffusion_rows_proxy_median,true_rate_outside_fraction,true_nearest_rate_edge_fraction,best_compensating_rate_edge_fraction,prediction_error_vs_cumulative_kernel_bias_corr,end_prediction_error_ft,end_cumulative_kernel_bias_ft
000d7d20,3836,3.9898639947466563e-17,0.5625,0.020000000000436557,0.1,0.0050000000000000044,0.0,9.999999999999973e-05,2.5261355426506895e-15,0.0,-1.734723475976807e-17,0.001875795795469858,0.006762327596444829,7.195552671422375,4.690823774767247e-05,-0.17993999999999885,0.00032717695196057025,0.00032717695196057025,0.019902241918867948,156.24999999454283,0.0,0.0,0.012252346193952034,0.9142500468928081,10.189000000000306,7.1955526714223454
00bbac68,6014,3.9898639947466563e-17,0.5625,0.030000000000654836,0.1,0.0050000000000000044,-9.329342853803269e-15,9.999999999931137e-05,4.567360206276476e-12,2.7400304247748863e-13,-2.057035097813298e-14,-0.0005301040910148881,0.012622303732338608,-3.188046003363537,6.258729630864377e-05,-0.3395199999999971,0.002038492509225895,0.0005180024329432387,0.028756860136550877,156.25000003092293,0.00016627868307283005,0.00016627868307283005,0.016295310941137345,0.8085041784604199,-5.325999999999112,-3.1880460033635774
00e12e8b,4301,3.9898639947466563e-17,0.5625,0.040000000000873115,0.1,0.0050000000000000044,-9.005102219461492e-12,9.999999942679186e-05,3.037941426922876e-09,1.8227652720526066e-10,-1.1862552606878296e-11,0.0015158543254292721,0.015041057163258658,6.519689453671299,6.586840269712067e-05,-0.2727399999999982,0.0011419228571971675,0.0006930804853170475,0.032240373395680325,399.9999999825375,0.00372006510113927,0.00372006510113927,0.05161590327830737,0.9934102268637457,3.282999999999447,6.519689453671326
015fe0d2,4296,3.9898639947466563e-17,0.5625,-0.039999999999054126,0.1,0.0050000000000000044,9.005102219461492e-12,9.999999942679195e-05,3.037941423607287e-09,1.822764161829582e-10,1.18625595457722e-11,-0.003944328807084459,0.012055777007661255,-16.944836555234833,7.119180633147292e-05,0.30584000000000044,0.0005694985815970598,0.0005694985815970598,0.03018738361278572,399.99999994033703,0.0,0.0,0.09217877094972067,-0.3631876498643363,14.656999999999243,-16.944836555234875
01869cd4,5557,3.9898639947466563e-17,0.5625,-0.039999999999054126,0.1,0.0050000000000000044,9.005102219461492e-12,9.999999942679195e-05,3.037941423607287e-09,1.822764161829582e-10,1.18625595457722e-11,-0.0005527963394540692,0.016579530029391165,-3.0718892583462623,7.58250854777779e-05,0.4206000000000025,0.0013081657693661912,0.00128421911123901,0.03441054715631246,400.0000000043656,0.00017995321216483713,0.00017995321216483713,0.10671225481374842,-0.13618957552434832,25.064000000000306,-3.071889258346478
01982c1d,3941,3.9898639947466563e-17,0.5625,0.039999999997235136,0.1,0.0050000000000000044,-9.0051160972493e-12,9.999999942679184e-05,3.0379414202916954e-09,1.822767492498656e-10,-1.1862545667984392e-11,0.0019767650404873983,0.012722300401974458,7.790431024560836,7.550367926922142e-05,-0.2975600000000016,0.00043715282011480913,0.00043715282011480913,0.03012179649849558,399.9999999767171,0.0,0.0,0.014209591474245116,0.042060648417879196,-0.6200000000008004,7.7904310245608395
028d7b28,6234,3.9898639947466563e-17,0.5625,-0.030000000000654836,0.1,0.0050000000000000044,9.336281747707176e-15,9.99999999993113e-05,4.567360206276475e-12,2.7422508708241367e-13,2.056341208422907e-14,-0.00012910993035308363,0.010988261698036381,-0.8048713058211234,7.940648059037787e-05,0.47217999999999705,0.0017422489018383575,0.001743647399913282,0.024601059560240123,156.250000003638,0.0008020532563362208,0.0008020532563362208,0.14469040744305423,0.7706558201575628,8.875,-0.8048713058210907
02e7fe5a,5108,3.9898639947466563e-17,0.5625,0.030000000000654836,0.1,0.0050000000000000044,-9.329342853803269e-15,9.999999999931137e-05,4.567360206276476e-12,2.7400304247748863e-13,-2.057035097813298e-14,-0.002586327775832428,0.011003094199187982,-13.210962278952042,4.064212999236832e-05,-0.19608000000000192,0.0005209056373606534,0.0005209056373606534,0.027689898199024267,156.25000001091394,0.0,0.0,0.020751761942051684,0.8002616578257441,-19.403000000000247,-13.210962278952085
0390d174,4411,3.9898639947466563e-17,0.5625,-0.039999999999054126,0.1,0.0050000000000000044,9.005102219461492e-12,9.999999942679195e-05,3.037941423607287e-09,1.822764161829582e-10,1.18625595457722e-11,7.643441729234424e-05,0.01462147967092994,0.33715221467653045,8.191339832240474e-05,0.3600799999999984,0.0018895025229120344,0.0018895025229120344,0.028347313534528008,224.99999997708085,0.0,0.0,0.14917252323736113,0.5694641105580229,4.0049999999992,0.337152214676611
03a935ae,2786,3.9898639947466563e-17,0.5625,0.020000000000436557,0.1,0.0050000000000000044,0.0,9.999999999999973e-05,2.5261355426506895e-15,0.0,-1.734723475976807e-17,0.012079870980079644,0.01650629224994092,33.654520550501886,6.621679827713495e-05,-0.08448000000000327,0.0010799424940422574,0.001075465290338884,0.032411997126504,399.9999999956345,0.0007178750897343862,0.0007178750897343862,0.07753050969131371,-0.1731826998547838,-0.9740000000019791,33.65452055050181
