precision_mode,steps,true_rate,emission_sigma_ft,additive_emission_log_offset,filtered_rmse_ft,smoothed_rmse_ft,filtered_end_error_ft,smoothed_end_error_ft,alpha_abs_max,beta_abs_max,filtered_mean_max_abs_difference_vs_float64_ft,smoothed_mean_max_abs_difference_vs_float64_ft
normalized_float64,512,-0.05,2.0,0.0,0.4507087282150115,0.057524337747586175,0.37595364164807066,0.37595364164807066,3.3578189197085364,6.373337305196697,0.0,0.0
normalized_float32,512,-0.05,2.0,0.0,0.45070908140538457,0.05752441288058004,0.3759539209062197,0.3759539209062197,3.357818603515625,6.373337268829346,6.619622485715126e-07,5.75933056135014e-07
unnormalized_float32,512,-0.05,2.0,0.0,0.450708976213579,0.05752478017108766,0.37595684543631336,0.37595684543631336,32.12101745605469,24.287609100341797,3.2442303847801668e-06,3.3578452658389324e-06
normalized_float64,512,-0.05,2.0,-3.5,0.45070872821501173,0.05752433774758628,0.37595364164807066,0.37595364164807066,3.357818919708536,6.373337305196697,0.0,0.0
normalized_float32,512,-0.05,2.0,-3.5,0.4507090490916797,0.057524437385328274,0.375953887289576,0.375953887289576,3.357818365097046,6.373337745666504,7.271844761902457e-07,6.940791266174529e-07
unnormalized_float32,512,-0.05,2.0,-3.5,0.4506843579153284,0.05751959917774899,0.3759210366839838,0.3759210366839838,1824.1168212890625,1812.783935546875,0.00010228987544991242,4.340670739200192e-05
normalized_float64,512,0.05,2.0,0.0,0.4507087282150114,0.05752433774758638,-0.3759536416480742,-0.3759536416480742,3.357818919708536,6.373337305196697,0.0,0.0
normalized_float32,512,0.05,2.0,0.0,0.4507090699208869,0.05752440490793749,-0.37595385401530734,-0.37595385401530734,3.357818841934204,6.373337268829346,6.796390383811968e-07,5.139908110241009e-07
unnormalized_float32,512,0.05,2.0,0.0,0.45070853057869364,0.057524683248328615,-0.37595590463511286,-0.37595590463511286,32.12103271484375,24.287616729736328,2.5268547716450485e-06,2.6488542772540313e-06
normalized_float64,512,0.05,2.0,-3.5,0.45070872821501173,0.05752433774758636,-0.3759536416480742,-0.3759536416480742,3.3578189197085355,6.373337305196697,0.0,0.0
normalized_float32,512,0.05,2.0,-3.5,0.4507090449984729,0.05752441966092921,-0.3759537280547782,-0.3759537280547782,3.3578178882598877,6.373337268829346,7.207232535222374e-07,6.541370787260803e-07
unnormalized_float32,512,0.05,2.0,-3.5,0.4507446425919033,0.05753548601394126,-0.3761019047175793,-0.3761019047175793,1824.12109375,1812.7852783203125,0.00015175170806713822,0.0001482630695051057
