cause_bucket,episodes,wells,episode_sse_fraction,posterior_ring_256_512_posterior_std_mean_episode_mean,posterior_ring_256_512_posterior_std_mean_episode_median,posterior_ring_256_512_posterior_std_mean_pooled,posterior_ring_256_512_marginal_mode_mass_mean_episode_mean,posterior_ring_256_512_marginal_mode_mass_mean_episode_median,posterior_ring_256_512_marginal_mode_mass_mean_pooled,posterior_ring_256_512_marginal_mode_gap_mean_episode_mean,posterior_ring_256_512_marginal_mode_gap_mean_episode_median,posterior_ring_256_512_marginal_mode_gap_mean_pooled,posterior_ring_256_512_mean_to_map_abs_mean_episode_mean,posterior_ring_256_512_mean_to_map_abs_mean_episode_median,posterior_ring_256_512_mean_to_map_abs_mean_pooled,posterior_ring_256_512_mean_to_viterbi_abs_mean_episode_mean,posterior_ring_256_512_mean_to_viterbi_abs_mean_episode_median,posterior_ring_256_512_mean_to_viterbi_abs_mean_pooled,posterior_ring_000_016_posterior_std_mean_episode_mean,posterior_ring_000_016_posterior_std_mean_episode_median,posterior_ring_000_016_posterior_std_mean_pooled,posterior_ring_000_016_marginal_mode_mass_mean_episode_mean,posterior_ring_000_016_marginal_mode_mass_mean_episode_median,posterior_ring_000_016_marginal_mode_mass_mean_pooled,posterior_ring_000_016_marginal_mode_gap_mean_episode_mean,posterior_ring_000_016_marginal_mode_gap_mean_episode_median,posterior_ring_000_016_marginal_mode_gap_mean_pooled,posterior_ring_000_016_mean_to_map_abs_mean_episode_mean,posterior_ring_000_016_mean_to_map_abs_mean_episode_median,posterior_ring_000_016_mean_to_map_abs_mean_pooled,posterior_ring_000_016_mean_to_viterbi_abs_mean_episode_mean,posterior_ring_000_016_mean_to_viterbi_abs_mean_episode_median,posterior_ring_000_016_mean_to_viterbi_abs_mean_pooled,posterior_episode_posterior_std_mean_episode_mean,posterior_episode_posterior_std_mean_episode_median,posterior_episode_posterior_std_mean_pooled,posterior_episode_marginal_mode_mass_mean_episode_mean,posterior_episode_marginal_mode_mass_mean_episode_median,posterior_episode_marginal_mode_mass_mean_pooled,posterior_episode_marginal_mode_gap_mean_episode_mean,posterior_episode_marginal_mode_gap_mean_episode_median,posterior_episode_marginal_mode_gap_mean_pooled,posterior_episode_mean_to_map_abs_mean_episode_mean,posterior_episode_mean_to_map_abs_mean_episode_median,posterior_episode_mean_to_map_abs_mean_pooled,posterior_episode_mean_to_viterbi_abs_mean_episode_mean,posterior_episode_mean_to_viterbi_abs_mean_episode_median,posterior_episode_mean_to_viterbi_abs_mean_pooled,posterior_near_minus_far_posterior_std_eligible_episodes,posterior_near_minus_far_posterior_std_mean,posterior_near_minus_far_posterior_std_median,posterior_near_minus_far_posterior_std_positive_fraction_eligible,posterior_near_minus_far_posterior_std_positive_sse_fraction_eligible,posterior_near_minus_far_posterior_std_vs_rmse_spearman,posterior_near_minus_far_posterior_std_vs_transition_crescendo_spearman,posterior_near_minus_far_posterior_std_vs_gr_crescendo_spearman,posterior_near_minus_far_marginal_mode_mass_eligible_episodes,posterior_near_minus_far_marginal_mode_mass_mean,posterior_near_minus_far_marginal_mode_mass_median,posterior_near_minus_far_marginal_mode_mass_positive_fraction_eligible,posterior_near_minus_far_marginal_mode_mass_positive_sse_fraction_eligible,posterior_near_minus_far_marginal_mode_mass_vs_rmse_spearman,posterior_near_minus_far_marginal_mode_mass_vs_transition_crescendo_spearman,posterior_near_minus_far_marginal_mode_mass_vs_gr_crescendo_spearman,posterior_near_minus_far_marginal_mode_gap_eligible_episodes,posterior_near_minus_far_marginal_mode_gap_mean,posterior_near_minus_far_marginal_mode_gap_median,posterior_near_minus_far_marginal_mode_gap_positive_fraction_eligible,posterior_near_minus_far_marginal_mode_gap_positive_sse_fraction_eligible,posterior_near_minus_far_marginal_mode_gap_vs_rmse_spearman,posterior_near_minus_far_marginal_mode_gap_vs_transition_crescendo_spearman,posterior_near_minus_far_marginal_mode_gap_vs_gr_crescendo_spearman,posterior_near_minus_far_mean_to_map_abs_eligible_episodes,posterior_near_minus_far_mean_to_map_abs_mean,posterior_near_minus_far_mean_to_map_abs_median,posterior_near_minus_far_mean_to_map_abs_positive_fraction_eligible,posterior_near_minus_far_mean_to_map_abs_positive_sse_fraction_eligible,posterior_near_minus_far_mean_to_map_abs_vs_rmse_spearman,posterior_near_minus_far_mean_to_map_abs_vs_transition_crescendo_spearman,posterior_near_minus_far_mean_to_map_abs_vs_gr_crescendo_spearman,posterior_near_minus_far_mean_to_viterbi_abs_eligible_episodes,posterior_near_minus_far_mean_to_viterbi_abs_mean,posterior_near_minus_far_mean_to_viterbi_abs_median,posterior_near_minus_far_mean_to_viterbi_abs_positive_fraction_eligible,posterior_near_minus_far_mean_to_viterbi_abs_positive_sse_fraction_eligible,posterior_near_minus_far_mean_to_viterbi_abs_vs_rmse_spearman,posterior_near_minus_far_mean_to_viterbi_abs_vs_transition_crescendo_spearman,posterior_near_minus_far_mean_to_viterbi_abs_vs_gr_crescendo_spearman,posterior_std_broadens_near_fraction_eligible,posterior_std_broadens_near_sse_fraction_eligible,posterior_std_broadens_and_near_gr_truth_fraction_eligible,posterior_std_broadens_and_near_gr_truth_sse_fraction_eligible,posterior_std_broadens_and_transition_up_fraction_eligible,posterior_std_broadens_and_transition_up_sse_fraction_eligible,posterior_std_change_vs_pre128_error_slope_spearman
candidate_gr_with_opposed_prior,44,34,0.04529172193512498,1.1914492445396259,0.8267675986523437,1.2228104981182681,0.3786554963182226,0.36444184078125,0.37996640759686173,0.13917253793882509,0.09526240070509764,0.1424956455524432,0.4960126761775203,0.2178876953289901,0.5124985470888668,7.486284045652569,4.04032910166951,7.653721910119848,1.1579060174715907,0.8307680653125,1.1579060174715907,0.3740450404346591,0.33971595,0.3740450404346591,0.13264434952203127,0.07428705546875,0.13264434952203127,0.31150071024266235,0.13550000006176788,0.31150071024266235,9.816689630681127,7.000093750106544,9.816689630681127,1.46087836816298,0.9475741016839676,2.0632278672186097,0.36766356418733465,0.3666362405204615,0.3510160596491633,0.12348956125177062,0.10415347496442409,0.12723555359185454,0.44920372452794943,0.24008242099544747,0.6252668837886586,11.012864753020052,10.061061581426223,12.06966127729119,42,-0.025080939971173607,0.0007759716601562078,0.5,0.5125541314562874,0.10266591038003405,0.04821327283040273,-0.28498500931853177,42,0.004751451881182168,-0.011938928906250063,0.40476190476190477,0.5233056280121878,0.1908273235556276,-0.0611781865326959,0.08094967992869298,42,-0.0010283753931256987,-0.012469550712294924,0.42857142857142855,0.5163221401646225,0.14139859006563488,-0.09310428652459284,0.027469410906733657,42,-0.17716371782974646,-0.030730066556605602,0.3333333333333333,0.35862581548058725,-0.004780811927720606,0.09034924236285553,-0.18807227939389026,42,2.5528878293518344,0.8248701171871033,0.6428571428571429,0.8326029554918203,0.07479134592010372,-0.09018718094157688,0.04270318450692813,0.5,0.5125541314562874,0.09523809523809523,0.08553477031061303,0.3333333333333333,0.20155771765591218,-0.10428652459282067
neither_prior_nor_observed_gr,62,56,0.09162580864989919,3.1693250748316655,2.10772972890625,3.2903839072524383,0.3067375385175927,0.2673965671875,0.3009711294623627,0.1125136624741205,0.053741187824515625,0.10928631409013763,1.355943523691445,0.8113222657140966,1.410827618521013,9.161055578918344,6.882185546771034,9.494820787555428,4.3797713883870975,3.406221628125,4.3797713883870975,0.292627930342742,0.22757044312500002,0.292627930342742,0.0993026690536734,0.03711845054375,0.0993026690536734,2.141858366928822,1.1200937499993984,2.141858366928822,10.158577116923412,8.485156249898523,10.158577116923412,6.025161616045336,4.801726689508776,6.626916509493296,0.27414981540078254,0.23625553796549525,0.2582701175846432,0.0921622931434952,0.047461250229237556,0.08030948819126026,2.8076476274269133,1.7817449969719679,2.9717274585932456,12.409734501185174,9.317655384734344,14.20851967200373,61,1.2488388303732527,0.9951397052370691,0.8360655737704918,0.8867693893708103,-0.024590163934426226,0.020835536753040715,-0.22543627710206235,61,-0.012207056796281306,-0.00234500105468749,0.4918032786885246,0.568560010563037,0.013008989952406132,0.10327868852459014,0.02696985721840296,61,-0.012028194051124602,-0.002155524906640626,0.4426229508196721,0.5871237053715679,0.04452670544685351,0.040031729243786354,-0.011581173982020094,61,0.7955221525295183,0.39726562511577157,0.7213114754098361,0.7712716050442069,-0.12226335272342673,0.011422527763088311,-0.2741406663141195,61,1.135769728448125,0.13124804687724634,0.5409836065573771,0.46196940718780377,0.20042305658381807,0.014912744579587519,0.0967741935483871,0.8360655737704918,0.8867693893708103,0.6721311475409836,0.8058221822680139,0.5737704918032787,0.42932771472830755,0.22718138551031195
opposed_prior_gr_ambiguous,51,44,0.009874138617949233,2.675043704331342,1.809640950390625,2.675043704331342,0.24626776242915133,0.23683975441406246,0.24626776242915133,0.06133493448775002,0.036373453780429686,0.06133493448775002,1.1552830116442603,0.5361621092551658,1.1552830116442603,10.102133961383151,6.946384765724389,10.102133961383151,3.256876915330882,2.32254794375,3.256876915330882,0.22858791732107844,0.18604627,0.22858791732107844,0.04827463108465674,0.0201455142875,0.04827463108465674,1.5178811274589634,0.5199375000960345,1.5178811274589634,9.531403186264765,7.1271875000992395,9.531403186264765,3.5785191568336248,2.79938466614786,3.667036418869464,0.20929044224068682,0.17137880340751444,0.20439423053954747,0.04360342863539041,0.020877347890234637,0.03823586857216574,1.5856250514850814,0.6624559748650072,1.5538018371768592,9.468709520721529,7.204968879771955,9.668670876041173,51,0.5818332109995403,0.28081721874999843,0.6470588235294118,0.658936925342566,0.19882352941176468,0.03619909502262443,-0.26660633484162893,51,-0.01767984510807292,-0.003079214101562533,0.49019607843137253,0.633412683256503,-0.14733031674208144,-0.19891402714932127,-0.08352941176470588,51,-0.013060303403093283,-0.004711622180078125,0.4117647058823529,0.721956678477773,0.18760180995475112,-0.0967420814479638,-0.13773755656108597,51,0.3625981158147031,-0.012667968780981198,0.45098039215686275,0.5573779859118816,0.20398190045248865,0.21900452488687783,-0.4089592760180995,51,-0.5707307751183888,0.18518359374975546,0.5294117647058824,0.34865975532250504,-0.3277828054298642,-0.10416289592760179,-0.23999999999999996,0.6470588235294118,0.658936925342566,0.43137254901960786,0.3114204188386989,0.35294117647058826,0.520293280810792,0.24769230769230768
prior_aligned_gr_ambiguous,129,110,0.08243173648122946,3.5198116773652584,2.33654653359375,3.5758336316513732,0.2115016132057529,0.19231998562500002,0.20814963126116745,0.045084703811168025,0.023970502115234375,0.04322492012853995,1.9053693604591306,0.9150605469870996,1.9392532817067796,9.225288392875008,6.2074980467645275,9.383742640018992,4.145894951128875,3.1190825,4.145894951128875,0.19764892419912788,0.17060289125,0.19764892419912788,0.036930254293640705,0.01622913796875,0.036930254293640705,2.1725360949506745,1.1496250000999453,2.1725360949506745,10.167573885649656,7.716125000103602,10.167573885649656,4.568843887623425,3.633891492647059,3.796215864310142,0.18984152851174402,0.1632993778930041,0.19799696331417396,0.03481973086797074,0.021856832715494504,0.03494985410891221,2.358435794993928,1.1288312653931267,1.7530827087069032,11.268937087132208,8.616534648809452,12.886459951732467,125,0.7302077385797415,0.5616292027343746,0.72,0.7430492269340079,0.05704454685099846,0.1385622119815668,-0.09747465437788018,125,-0.01776613869825289,-0.014276080472656272,0.424,0.4510683178595346,-0.04611367127496159,-0.030973886328725032,-0.002279569892473118,125,-0.011787201288740824,-0.003633601447355469,0.4,0.41369407741735736,-0.08730568356374806,0.031821812596006145,-0.011244239631336405,125,0.32228488953007145,0.08675585945243824,0.568,0.4460874211601456,-0.012430107526881716,0.11389247311827956,-0.15656528417818738,125,1.2280868571153856,0.3570156249998817,0.584,0.7180248100304806,-0.040030721966205836,-0.24718894009216588,0.074863287250384,0.72,0.7430492269340079,0.4,0.3486579718677802,0.528,0.40018377059570104,0.17346236559139783
prior_and_wrong_gr_reinforce,136,124,0.28886636243143893,2.1516677809148748,1.3470200024342607,2.1820872474890303,0.3128240058503058,0.27617335870045734,0.31159647983937194,0.10837911702802269,0.0521570242945332,0.10885391275485522,0.9288659802054376,0.4211181640569954,0.9413142199025635,9.519358581956965,6.360571289062488,9.716743355459354,2.4837095664944853,1.52927545,2.4837095664944853,0.3011309530418198,0.289078595625,0.3011309530418198,0.09591645226693372,0.052979568846875,0.09591645226693372,1.0729211856674714,0.45020312499616466,1.0729211856674714,11.547388097403836,9.246937499998523,11.547388097403836,2.59586908089867,1.7385308037710816,2.4093327226951975,0.3217223680726036,0.2947424910530344,0.3190319623293814,0.11854438276072908,0.06783447448451707,0.1166996656436864,1.0016147944447136,0.4571906933383837,0.9609234422663706,15.064327672205563,10.648230215458792,17.924872328323172,128,0.41026109821696133,0.17489674074218747,0.609375,0.738391433656157,0.08873145943966305,0.10517762314594396,-0.2626722440944882,128,-0.014671931045129991,-0.0006359283691406148,0.4921875,0.39868134744390965,0.014529161325764511,0.19223242080205089,0.13318452380952378,128,-0.01464743896209603,-0.005285786509968743,0.4609375,0.35655147496508677,-0.0005607947262406153,0.1501041475920161,0.07439304461942257,128,0.1831081408968755,0.013194335977832594,0.5234375,0.6164641488306777,0.02560771836659952,0.05444859000183117,-0.2678864360704912,128,2.5736682734905383,1.3741054686649932,0.671875,0.7424307499931124,0.12915445889031313,-0.1943497070133675,-0.0432074896887889,0.609375,0.738391433656157,0.265625,0.36700203012646077,0.4453125,0.40649034956368985,0.18142281633400473
prior_persists_against_truth_gr,216,184,0.4819102318843581,4.065350701020913,3.4545664410156247,4.207095195010376,0.24250170476155763,0.21535015583984374,0.23865577812163022,0.06597259838599287,0.038986973061619135,0.0639975906159547,2.2918390805442246,1.1769394531132242,2.3734708990792304,9.981609571270761,7.395228515722142,10.297819015041874,5.38739740743345,4.68708520625,5.38739740743345,0.2214804199603588,0.1946466759375,0.2214804199603588,0.06546648412424722,0.0302974166125,0.06546648412424722,3.1183618344964747,1.80246875001734,3.1183618344964747,11.307908709491096,9.267718749898904,11.307908709491096,7.047064930330862,5.976780830304335,7.842928659033096,0.23342514151781196,0.2135669050139695,0.23037261611549692,0.0678779246156702,0.04207812539512233,0.06227648412210837,4.1287549640547905,2.3285321346307266,4.433865399853723,14.823728231075082,10.841723101724238,18.331919809275412,212,1.3718458609749598,0.8991429644335938,0.7924528301886793,0.8179816097736318,0.0419902946247637,-0.0669791799172033,-0.05680150832564015,212,-0.021241040356192058,-0.02156767621889466,0.39622641509433965,0.36590562619038475,-0.0684943066248695,0.0019672717517660735,0.007360266400333504,212,-0.00029369958259416315,-0.001945443849675781,0.4528301886792453,0.4239032724013634,-0.05608739623649075,0.062069816736419585,-0.04779387223816835,212,0.8631607720568631,0.4476806640410729,0.6839622641509434,0.6717825632393346,-0.06344262480903483,-0.03111236497047203,-0.01298248221331926,212,1.4527269558532325,0.7181025390622118,0.6367924528301887,0.8321853031380154,0.24008020221840748,-0.11297076926370887,0.01764373237547434,0.7924528301886793,0.8179816097736318,0.5094339622641509,0.6037129299969733,0.5471698113207547,0.5549061356814775,0.12189528119265534
