feature,feature_index,family,mean_importance,std_importance,fold_model_records,max_abs_corr,max_corr,max_corr_partner,target_corr,abs_target_corr,std,nunique,importance_rank,component_abs_ge_098,keeper_if_pruned_abs_ge_098,prune_candidate_abs_ge_098
ll_candidate_tvt_likpf_mean_minus_likpf_mean_tvt,289,learned_likelihood,0.0,0.0,15,,,,,,0.0,1,290,,,False
sc_trust,25,base_replay,0.0,0.0,15,,,,,,0.0035848065745085,1,290,,,False
