absolute_nll_threshold,candidate_strong_episodes,candidate_strong_episode_sse_fraction,truth_strong_episodes,truth_strong_episode_sse_fraction,near_tie_episodes,near_tie_episode_sse_fraction,truth_minus_candidate_sse_fraction
0.0,264,0.3901056527680627,374,0.6098943472319373,0,0.0,0.21978869446387456
1.0,237,0.3713122875193974,342,0.6013957609557053,59,0.027291951524897294,0.23008347343630797
2.0,221,0.3656233712793891,322,0.5856101533413157,95,0.04876647537929516,0.21998678206192662
5.0,180,0.33415808436656397,278,0.5735360405342573,180,0.09230587509917873,0.23937795616769336
10.0,153,0.303971415696396,231,0.559195284787947,254,0.13683329951565706,0.255223869091551
20.0,110,0.26147696475911664,168,0.4939211340793296,360,0.24460190116155378,0.23244416932021295
50.0,68,0.21376570763104508,104,0.36312760903450675,466,0.42310668333444823,0.14936190140346167
100.0,38,0.1487228260582231,56,0.24537865911414414,544,0.6058985148276328,0.09665583305592104
