candidate,anchor,segment_type,segment,rows,weight_sum,sse,anchor_sse,weighted_sse_share,rmse,anchor_rmse,delta_sse_vs_anchor,delta_rmse_vs_anchor,mae,anchor_mae,bias,anchor_bias,mean_abs_step_error,mean_abs_pred_step,mean_abs_true_step,worse_than_anchor
exp026,exp027,distance_bucket,000-100,300,300.0,267.2889058512064,0.007829852013238641,0.0002880535191039693,0.943908374527963,0.005108767631317309,267.28107599919315,0.9387996068966457,0.732023528604453,0.003977593525432894,-0.6489596147440655,-0.0005721818296478886,0.06224603696612174,0.05262115471598516,0.025521885521897526,True
exp026,exp027,distance_bucket,100-250,450,450.0,4610.7709166275745,0.011038216169350155,0.0049689633922036305,3.2009619792346364,0.004952713323545243,4610.759878411405,3.196009265911091,2.9268333216541538,0.003850486210916036,-2.9268333216541538,-0.0005944040520423894,0.13644964959742842,0.12916271444653427,0.02128888888888873,True
exp026,exp027,distance_bucket,1000+,11151,11151.0,894123.7680363527,0.3078477352232115,0.9635846915425207,8.95451177585718,0.0052542541212827806,894123.4601886175,8.949257521735897,6.619730987538689,0.004199734529312881,5.069954669593993,-0.0012475380872022375,0.24202964366969795,0.23373127228120463,0.019092458075507586,True
exp026,exp027,distance_bucket,250-500,750,750.0,6496.712809250287,0.021757668915732803,0.007001416618294461,2.9431757925185256,0.005386114111395809,6496.6910515813715,2.9377896784071296,2.373919879089869,0.004143154657778117,-2.3643456063655344,-0.0016521818297502856,0.22348508341005316,0.22141528893063028,0.008106666666673845,True
exp026,exp027,distance_bucket,500-1000,1500,1500.0,22415.503509006958,0.041763395180731425,0.024156874927877537,3.8657042057049114,0.005276576868938891,22415.461745611778,3.8604276288359727,3.0793021786461456,0.004125513201826834,-0.8644561721477184,-0.0007321818298150902,0.2992243508463883,0.2964575457186608,0.007773333333332024,True
exp026,exp027,tail_length_bucket,2500-5000,8137,8137.0,253367.99224500998,0.23003096774940923,0.2730511450224971,5.580122293309025,0.005316930644147278,253367.76221404225,5.574805362664878,4.791780819576392,0.0036706869519804227,2.3562079717494346,-0.0012715330236672576,0.2572390058301819,0.2511821177503632,0.016100799016595578,True
exp026,exp027,tail_length_bucket,5000+,6014,6014.0,674546.0519320786,0.16020589975285532,0.726948854977503,10.590685963961109,0.005161281433074795,674545.8917261788,10.585524682528034,7.110404879242291,0.004852759005107941,5.4507638696964,-0.001054436063545139,0.21662614306621913,0.2074622283445967,0.019427906203224175,True
exp027,exp027,distance_bucket,000-100,300,300.0,0.007829852013238641,0.007829852013238641,0.02006435748460697,0.005108767631317309,0.005108767631317309,0.0,0.0,0.003977593525432894,0.003977593525432894,-0.0005721818296478886,-0.0005721818296478886,0.003670033670879347,0.025690235690343236,0.025521885521897526,False
exp027,exp027,distance_bucket,100-250,450,450.0,0.011038216169350155,0.011038216169350155,0.02828593884529913,0.004952713323545243,0.004952713323545243,0.0,0.0,0.003850486210916036,0.003850486210916036,-0.0005944040520423894,-0.0005944040520423894,0.003955555556365451,0.021333333333394773,0.02128888888888873,False
exp027,exp027,distance_bucket,1000+,11151,11151.0,0.3078477352232115,0.3078477352232115,0.7888740425619192,0.0052542541212827806,0.0052542541212827806,0.0,0.0,0.004199734529312881,0.004199734529312881,-0.0012475380872022375,-0.0012475380872022375,0.004537709623265815,0.019431441126560964,0.019092458075507586,False
exp027,exp027,distance_bucket,250-500,750,750.0,0.021757668915732803,0.021757668915732803,0.05575503169394045,0.005386114111395809,0.005386114111395809,0.0,0.0,0.004143154657778117,0.004143154657778117,-0.0016521818297502856,-0.0016521818297502856,0.004440000000734775,0.008546666667035121,0.008106666666673845,False
exp027,exp027,distance_bucket,500-1000,1500,1500.0,0.041763395180731425,0.041763395180731425,0.10702062941423407,0.005276576868938891,0.005276576868938891,0.0,0.0,0.004125513201826834,0.004125513201826834,-0.0007321818298150902,-0.0007321818298150902,0.004633333334011695,0.008580000000329165,0.007773333333332024,False
exp027,exp027,tail_length_bucket,2500-5000,8137,8137.0,0.23003096774940923,0.23003096774940923,0.5894649811580766,0.005316930644147278,0.005316930644147278,0.0,0.0,0.0036706869519804227,0.0036706869519804227,-0.0012715330236672576,-0.0012715330236672576,0.0045433312851203235,0.016508912108304154,0.016100799016595578,False
exp027,exp027,tail_length_bucket,5000+,6014,6014.0,0.16020589975285532,0.16020589975285532,0.4105350188419233,0.005161281433074795,0.005161281433074795,0.0,0.0,0.004852759005107941,0.004852759005107941,-0.001054436063545139,-0.001054436063545139,0.004455346749836607,0.019772160319650206,0.019427906203224175,False
exp039,exp027,distance_bucket,000-100,300,300.0,0.007829852013238641,0.007829852013238641,0.02006435748460697,0.005108767631317309,0.005108767631317309,0.0,0.0,0.003977593525432894,0.003977593525432894,-0.0005721818296478886,-0.0005721818296478886,0.003670033670879347,0.025690235690343236,0.025521885521897526,False
exp039,exp027,distance_bucket,100-250,450,450.0,0.011038216169350155,0.011038216169350155,0.02828593884529913,0.004952713323545243,0.004952713323545243,0.0,0.0,0.003850486210916036,0.003850486210916036,-0.0005944040520423894,-0.0005944040520423894,0.003955555556365451,0.021333333333394773,0.02128888888888873,False
exp039,exp027,distance_bucket,1000+,11151,11151.0,0.3078477352232115,0.3078477352232115,0.7888740425619192,0.0052542541212827806,0.0052542541212827806,0.0,0.0,0.004199734529312881,0.004199734529312881,-0.0012475380872022375,-0.0012475380872022375,0.004537709623265815,0.019431441126560964,0.019092458075507586,False
exp039,exp027,distance_bucket,250-500,750,750.0,0.021757668915732803,0.021757668915732803,0.05575503169394045,0.005386114111395809,0.005386114111395809,0.0,0.0,0.004143154657778117,0.004143154657778117,-0.0016521818297502856,-0.0016521818297502856,0.004440000000734775,0.008546666667035121,0.008106666666673845,False
exp039,exp027,distance_bucket,500-1000,1500,1500.0,0.041763395180731425,0.041763395180731425,0.10702062941423407,0.005276576868938891,0.005276576868938891,0.0,0.0,0.004125513201826834,0.004125513201826834,-0.0007321818298150902,-0.0007321818298150902,0.004633333334011695,0.008580000000329165,0.007773333333332024,False
exp039,exp027,tail_length_bucket,2500-5000,8137,8137.0,0.23003096774940923,0.23003096774940923,0.5894649811580766,0.005316930644147278,0.005316930644147278,0.0,0.0,0.0036706869519804227,0.0036706869519804227,-0.0012715330236672576,-0.0012715330236672576,0.0045433312851203235,0.016508912108304154,0.016100799016595578,False
exp039,exp027,tail_length_bucket,5000+,6014,6014.0,0.16020589975285532,0.16020589975285532,0.4105350188419233,0.005161281433074795,0.005161281433074795,0.0,0.0,0.004852759005107941,0.004852759005107941,-0.001054436063545139,-0.001054436063545139,0.004455346749836607,0.019772160319650206,0.019427906203224175,False
exp054,exp027,distance_bucket,000-100,300,300.0,249.288352018639,0.007829852013238641,0.00047382288245912134,0.9115707177150126,0.005108767631317309,249.28052216662576,0.9064619500836953,0.7045586393675876,0.003977593525432894,-0.6661734688807398,-0.0005721818296478886,0.045863738469578606,0.03592885473303167,0.025521885521897526,True
exp054,exp027,distance_bucket,100-250,450,450.0,4595.5715610906245,0.011038216169350155,0.008734812300657818,3.1956816560583836,0.004952713323545243,4595.560522874455,3.190728942734838,2.9863605729648164,0.003850486210916036,-2.9863605729648164,-0.0005944040520423894,0.060959534902738394,0.055745747760928575,0.02128888888888873,True
exp054,exp027,distance_bucket,1000+,11151,11151.0,511114.76088076207,0.3078477352232115,0.9714768753006956,6.770212554722261,0.0052542541212827806,511114.45303302683,6.764958300600978,5.074397963035713,0.004199734529312881,3.6587808869094327,-0.0012475380872022375,0.21029303321893889,0.20338334785549242,0.019092458075507586,True
exp054,exp027,distance_bucket,250-500,750,750.0,3820.496436245451,0.021757668915732803,0.007261625419671718,2.25698809219882,0.005386114111395809,3820.4746785765356,2.251601978087424,2.1028516591806743,0.004143154657778117,-2.1028516591806743,-0.0016521818297502856,0.20033608303914663,0.1994425032176902,0.008106666666673845,True
exp054,exp027,distance_bucket,500-1000,1500,1500.0,6341.269573413403,0.041763395180731425,0.012052864096515863,2.0560916927370405,0.005276576868938891,6341.227810018222,2.050815115868102,1.623888248045417,0.004125513201826834,-0.5518375118595334,-0.0007321818298150902,0.2430728005072706,0.24118208091303434,0.007773333333332024,True
exp054,exp027,tail_length_bucket,2500-5000,8137,8137.0,158413.50338607386,0.23003096774940923,0.30109687110140293,4.412288906996538,0.005316930644147278,158413.27335510612,4.4069719763523905,3.6369615155141277,0.0036706869519804227,2.2683860029836436,-0.0012715330236672576,0.24287633488697058,0.2381325686520665,0.016100799016595578,True
exp054,exp027,tail_length_bucket,5000+,6014,6014.0,367707.8834174563,0.16020589975285532,0.6989031288985971,7.819333898111294,0.005161281433074795,367707.72321155656,7.81417261667822,5.413843831089268,0.004852759005107941,3.0582972153269012,-0.001054436063545139,0.1538488629953176,0.14598881108980252,0.019427906203224175,True
exp063,exp027,distance_bucket,000-100,300,300.0,156.5543013291022,0.007829852013238641,0.0005383653697037838,0.7223902484786234,0.005108767631317309,156.54647147708897,0.7172814808473061,0.6042998697918119,0.003977593525432894,-0.3950990885418105,-0.0005721818296478886,0.03269610164144721,0.031180950126262628,0.025521885521897526,True
exp063,exp027,distance_bucket,100-250,450,450.0,715.6904224076877,0.011038216169350155,0.0024611456573333207,1.261119804342939,0.004952713323545243,715.6793841915184,1.2561670910193938,1.1615526909723768,0.003850486210916036,-1.1572261284723855,-0.0005944040520423894,0.03723385416664516,0.036484375,0.02128888888888873,True
exp063,exp027,distance_bucket,1000+,11151,11151.0,279133.15481613576,0.3078477352232115,0.959894572128485,5.003210831813827,0.0052542541212827806,279132.8469684005,4.997956577692544,3.438676379921033,0.004199734529312881,2.7582741668346786,-0.0012475380872022375,0.049913972121326325,0.04889888659088871,0.019092458075507586,True
exp063,exp027,distance_bucket,250-500,750,750.0,4138.018715549058,0.021757668915732803,0.014229988934987002,2.348905763839568,0.005386114111395809,4137.996957880142,2.343519649728172,1.8844716666667518,0.004143154657778117,-1.880036250000092,-0.0016521818297502856,0.0353676041666428,0.033731770833333334,0.008106666666673845,True
exp063,exp027,distance_bucket,500-1000,1500,1500.0,6652.220058462843,0.041763395180731425,0.02287592790949101,2.1058996586515137,0.005276576868938891,6652.178295067662,2.100623081782575,1.6640148958333534,0.004125513201826834,-1.2330455208334692,-0.0007321818298150902,0.05013648437501373,0.049811848958333335,0.007773333333332024,True
exp063,exp027,tail_length_bucket,2500-5000,8137,8137.0,52353.72578567375,0.23003096774940923,0.1800361452779536,2.53653955412325,0.005316930644147278,52353.495754706,2.5312226234791027,1.993392796792404,0.0036706869519804227,0.7520144190886056,-0.0012715330236672576,0.038912305047626286,0.03797981810848187,0.016100799016595578,True
exp063,exp027,tail_length_bucket,5000+,6014,6014.0,238441.91252821064,0.16020589975285532,0.8199638547220462,6.296650475019065,0.005161281433074795,238441.75232231087,6.29148919358599,4.445927484307425,0.004852759005107941,3.4485362409584512,-0.001054436063545139,0.06123989818933525,0.060203056138782636,0.019427906203224175,True
exp069,exp027,distance_bucket,000-100,300,300.0,261.95647841491245,0.007829852013238641,0.00011208365432473516,0.9344454298582885,0.005108767631317309,261.9486485628992,0.9293366622269712,0.7277945312499348,0.003977593525432894,0.2570786458331895,-0.0005721818296478886,0.045104561237338706,0.052251025883838384,0.025521885521897526,True
exp069,exp027,distance_bucket,100-250,450,450.0,1517.2246924271735,0.011038216169350155,0.0006491768746776645,1.8361945505898718,0.004952713323545243,1517.2136542110043,1.8312418372663266,1.5975481770834288,0.003850486210916036,-0.3238667534723855,-0.0005944040520423894,0.05265729166672019,0.04707899305555555,0.02128888888888873,True
exp069,exp027,distance_bucket,1000+,11151,11151.0,2274462.7977253175,0.3078477352232115,0.9731773137938247,14.281785660181953,0.0052542541212827806,2274462.4898775825,14.27653140606067,9.831137954975915,0.004199734529312881,9.366199517559949,-0.0012475380872022375,0.029561575895660684,0.022021479996188684,0.019092458075507586,True
exp069,exp027,distance_bucket,250-500,750,750.0,29274.193631168426,0.021757668915732803,0.012525586767104966,6.247580185551142,0.005386114111395809,29274.17187349951,6.242194071439746,3.8651360416667497,0.004143154657778117,-3.844247187500092,-0.0016521818297502856,0.02688390625000951,0.021772135416666668,0.008106666666673845,True
exp069,exp027,distance_bucket,500-1000,1500,1500.0,31635.30592069911,0.041763395180731425,0.013535838910067719,4.592407206153734,0.005276576868938891,31635.26415730393,4.587130629284795,2.937219140624995,0.004125513201826834,-2.016512317708469,-0.0007321818298150902,0.039521692708332314,0.037830078125,0.007773333333332024,True
exp069,exp027,tail_length_bucket,2500-5000,8137,8137.0,533093.7935679152,0.23003096774940923,0.2280955250371333,8.094120306004303,0.005316930644147278,533093.5635369475,8.088803375360156,6.082974784356867,0.0036706869519804227,4.452555614976217,-0.0012715330236672576,0.02984418216042658,0.023251430931161648,0.016100799016595578,True
exp069,exp027,tail_length_bucket,5000+,6014,6014.0,1804057.6848801123,0.16020589975285532,0.7719044749628666,17.319824942223974,0.005161281433074795,1804057.5246742126,17.3146636607909,11.368767758043676,0.004852759005107941,10.348432901355025,-0.001054436063545139,0.03382604617079018,0.027638359076168302,0.019427906203224175,True
