model,feature,importance
lgb0,uproj_beam_med_corr,562.8
lgb0,uproj_absdiff_beam_med_likpf_mean,557.0
lgb0,uproj_corr_std,552.6
lgb0,uproj_pf_ancc_abs_resid,552.0
lgb0,uproj_beam_med_resid,546.0
lgb0,pf_z,538.0
lgb0,uproj_corr_range,537.6
lgb0,nsel_error_top2,534.4
lgb0,ll_learned_error_weighted_tvt_minus_last_known_tvt,529.4
lgb0,uproj_pf_z_abs_resid,525.8
lgb0,nsel_top2_code,524.6
lgb0,uproj_beam_med_abs_resid,514.4
lgb0,frm_rmse_EGFDU,511.8
lgb0,ll_learned_prob_pf_ancc,511.0
lgb0,frm_rmse_ASTNL,507.2
lgb0,pf_ancc,475.6
lgb0,ll_learned_pred_abs_error_pf_ancc,451.8
lgb0,ll_learned_prob_top2_value,434.2
lgb0,ll_candidate_tvt_beam_mean_minus_last_known_tvt,429.6
lgb0,ll_learned_error_top2_value,428.4
lgb0,grwr_raw_minus_savgol_absmean_w129,416.2
lgb0,frm_rmse_EGFDL,408.2
lgb0,tda80,408.0
lgb0,tvtF_ASTNU,405.0
lgb0,grwr_raw_minus_rolling_absmean_w129,404.2
lgb0,grwr_dwt_detail_energy_w129,399.6
lgb0,frm_rmse_BUDA,369.2
lgb0,grwr_raw_rolling_corr_w129,350.6
lgb0,tvtF_ANCC,333.6
lgb0,grwr_dwt_detail_energy_ratio_w065,306.0
lgb0,last_known_tvt,294.6
lgb0,grwr_raw_savgol_corr_w129,292.2
lgb0,tdbc40,284.2
lgb0,ll_candidate_tvt_likpf_mean_minus_last_known_tvt,282.2
lgb0,ll_learned_error_weighted_tvt_minus_likpf_mean_tvt,277.6
lgb0,grwr_dwt_detail_absmean_w129,274.0
lgb0,tvtFw_ASTNU,272.4
lgb0,ll_learned_prob_weighted_tvt_minus_likpf_mean_tvt,269.8
lgb0,grs101,268.6
lgb0,nsel_error_margin,262.0
lgb0,tvtF_ASTNL,255.2
lgb0,tvtF_EGFDL,251.2
lgb0,tvtF_EGFDU,248.2
lgb0,dense_rmse,248.0
lgb0,tda40,244.6
lgb0,tvtF50_ASTNU,242.0
lgb0,sqrt_frac,231.6
lgb0,grwr_raw_dwt_corr_w129,231.4
lgb0,ll_candidate_tvt_pf_ancc_minus_last_known_tvt,227.0
lgb0,tvtFw_ANCC,226.0
lgb0,grwr_known_prefix_rows_log1p,223.2
lgb0,ll_candidate_tvt_pf_ancc_minus_likpf_mean_tvt,212.6
lgb0,tvtF50_ANCC,202.2
lgb0,tvtF_BUDA,195.4
lgb0,ll_learned_prob_margin_top1_top2,190.0
lgb0,uproj_diff_pf_ancc_minus_pf_z,189.8
lgb0,nsel_error_ratio,188.4
lgb0,bw_early_ANCC,187.4
lgb0,grm51,184.4
lgb0,tvtFw_EGFDL,180.4
lgb0,bw_ANCC,179.2
lgb0,bw_early_ASTNU,178.6
lgb0,tvtFw_ASTNL,175.0
lgb0,tda-80,170.2
lgb0,ll_learned_error_margin_top2_top1,168.8
lgb0,tvtF50_ASTNL,168.2
lgb0,tvtF50_EGFDL,163.4
lgb0,tdpf30,158.6
lgb0,tvtFw_EGFDU,154.8
lgb0,tvtF50_EGFDU,152.4
lgb0,tdbc-20,149.2
lgb0,ll_learned_prob_entropy,145.0
lgb0,tvtF50_BUDA,144.8
lgb0,tvtFw_BUDA,142.6
lgb0,bw_ASTNU,135.6
lgb0,ll_candidate_tvt_beam_mean_minus_likpf_mean_tvt,134.8
lgb0,tdbc-40,132.8
lgb0,bw_early_EGFDU,129.8
lgb0,bww_ANCC,129.2
lgb0,nsel_top1_is_blend_likpf_hmm_w500,127.6
lgb0,tda-40,127.6
lgb0,grwr_raw_std_w065_x_log1p_md_since,127.0
lgb0,nsel_top1_is_hyb,125.8
lgb0,ll_multiobs_mae_beam_mean,122.2
lgb0,gr_env,120.8
lgb0,grwr_raw_minus_savgol_absmean_w065,118.0
lgb0,bww_ASTNU,116.0
lgb0,grwr_ll_entropy_x_dwt_energy_ratio_w065,113.4
lgb0,nsel_top1_is_likpf_mean,113.0
lgb0,bw_early_ASTNL,107.8
lgb0,ll_candidate_tvt_sc_ens_minus_likpf_mean_tvt,106.6
lgb0,tdbc20,106.0
lgb0,grwr_raw_std_w065,102.8
lgb0,tdpf-30,102.4
lgb0,grwr_dwt_detail_energy_w065,102.2
lgb0,tda-20,97.8
lgb0,tda20,97.8
lgb0,nsel_score_std,95.6
lgb0,ll_multiobs_mae_pf_ancc,95.4
lgb0,bw_mid_ASTNU,95.2
lgb0,tdbc10,95.2
lgb0,grwr_raw_minus_rolling_absmean_w065,94.8
