surface,beam_rows,beam_rate,beam_rmse_on_rows,likpf_rmse_on_rows,beam_beats_likpf_rate,full_rmse,forced_likpf_full_rmse,forced_likpf_delta,oracle_precision,oracle_recall
oracle,316191,0.0835602323,2.7123,11.4776,1.0,2.883510,4.3253,1.4418,,
rowwise,79508,0.0210116890,11.4543,15.8032,0.66281,8.545228,8.68974,0.14452,0.1762,0.0443
viterbi,66111,0.0174712453,12.5730,17.6732,0.68681,8.545093,8.70137,0.15628,0.1887,0.0395
