observed_emission_evidence_class,viterbi_recovery_class,episodes,wells,rows,episode_sse,rmse_ft_mean,rmse_ft_median,raw_gr_missing_fraction_mean,posterior_std_mean,reference_candidate_truth_gr_corr_median,episode_sse_fraction
truth_strong,large_recovery,89,83,160668,131915466.26666817,21.334414961321468,18.210132749609688,0.3110026538551782,8.115027950435783,0.0850513295561315,0.2659073917113884
truth_strong,partial_recovery,83,75,148838,108874592.00717506,20.409066212264392,17.517168267859567,0.3337412530778183,5.805238064790329,0.11908694572613428,0.21946296066410972
candidate_strong,large_recovery,63,60,122360,92405101.5606912,20.60526993303282,17.490340864841077,0.258237503752968,2.6780338899760654,0.4153648465942835,0.18626473629072773
truth_strong,not_better,106,90,109974,43738603.08030795,15.184782694425454,13.197691868849072,0.2907770709114687,6.525035831885802,0.07023356028912998,0.0881656881587592
candidate_strong,partial_recovery,49,45,71092,41836148.92459691,18.43046974879928,16.409453311397268,0.19036116734249167,2.1464160212268664,0.501291754941041,0.08433083363629569
candidate_strong,not_better,68,57,70729,31533078.773810945,15.319823616949868,12.659535649080432,0.17988106233318257,2.109210633717378,0.3951088249042645,0.0635625144395405
near_tie,large_recovery,53,46,42695,20952796.707968798,15.427528684578856,12.691752627874127,0.40242976084372184,4.571518499214249,0.30079970952640384,0.042235407866520434
near_tie,partial_recovery,49,42,38789,14934777.309216319,13.817366062056282,12.34373852605892,0.43293861970137637,3.249843733142023,0.34474873633585645,0.030104640437355456
near_tie,not_better,78,68,42565,9904957.264071075,12.868021708213915,11.90352996806049,0.4100486504227575,4.748109168200285,0.12524473331776884,0.019965826795302823
