observed_emission_evidence_class,episodes,wells,rows,episode_sse,candidate_run_median,candidate_run_p90,truth_run_median,truth_run_p90,adjacent_sign_persistence_median,lag1_correlation_median,positive_sequence_iat_lag20_median,episode_sse_fraction
candidate_strong,180,154,264181,165774329.25909907,29.5,66.1,16.5,49.099999999999994,0.8668619334674817,0.9119446001913905,24.865390102037107,0.33415808436656397
near_tie,180,148,124049,45792531.28125619,9.0,24.19999999999999,9.0,24.0,0.8152340711778184,0.7882874871536695,18.727928632287338,0.09230587509917872
truth_strong,278,234,419480,284528661.3541512,12.0,45.0,19.0,60.900000000000034,0.875215247052396,0.8998207247926037,25.621810687592845,0.5735360405342573
