affine_observed_emission_evidence_class,viterbi_recovery_class,episodes,wells,rows,episode_sse,rmse_ft_mean,raw_gr_missing_fraction_mean,posterior_std_mean,episode_sse_fraction
truth_strong,large_recovery,92,83,161535,129800903.96022786,20.896218653870406,0.3099153698503184,7.9877141687129605,0.26164498212872345
truth_strong,partial_recovery,83,75,153590,100804232.31714699,20.05375230479987,0.3291591886732627,5.750958471557711,0.20319520710888975
candidate_strong,large_recovery,59,56,117699,98540377.53209284,21.81055774690607,0.2424396430770089,2.954330746607425,0.19863186258118898
candidate_strong,partial_recovery,50,47,74918,53645642.09925369,18.688763991561483,0.19586032166411335,2.5128843898244466,0.10813571123236486
truth_strong,not_better,102,86,114196,45199609.00334823,15.501432128206163,0.29836443973687277,6.084432036684265,0.09111069745346305
candidate_strong,not_better,67,55,69889,31233419.054310683,15.209699821986586,0.182160128604401,2.370135154146206,0.06295847810727144
near_tie,large_recovery,54,47,46489,16932083.04300746,14.912572859218933,0.4159411719720793,4.149423806374104,0.03413069115872412
near_tie,partial_recovery,48,40,30211,11195643.824587613,14.06660019736258,0.4401871839067079,2.984952389815845,0.02256751639650628
near_tie,not_better,83,71,39183,8743611.060531063,12.708972284966801,0.3903635544408589,5.132789317141063,0.01762485383286804
