episode_id,well,start_row_idx,end_row_idx_exclusive,start_suffix_offset,rows,suffix_rows,start_suffix_fraction,episode_suffix_fraction,rows_from_last_within5_to_episode_start,rows_from_episode_end_to_next_within5,pre128_error_slope_ft_per_row,pre128_error_start_ft,pre128_error_end_ft,prefix_init_rate,episode_true_rate_median,episode_candidate_rate_median,episode_true_minus_init_rate_median,pre128_true_minus_init_rate_median,mean_error_ft,rmse_ft,error_std_ft,error_slope_ft_per_row,error_sign_consistency,map_rmse_ft,viterbi_rmse_ft,rowwise_oracle_decoder_rmse_ft,posterior_mean_to_map_rmse_ft,posterior_mean_to_viterbi_rmse_ft,fraction_map_improves_mean,fraction_viterbi_improves_mean,mean_truth_minus_candidate_nll,total_truth_minus_candidate_nll,observed_total_truth_minus_candidate_nll,imputed_total_truth_minus_candidate_nll,observed_mean_truth_minus_candidate_nll,observed_longest_candidate_favoring_run,observed_longest_truth_favoring_run,observed_adjacent_sign_persistence,observed_advantage_lag1_correlation,observed_advantage_positive_sequence_iat_lag20,affine_observed_total_truth_minus_candidate_nll,affine_observed_mean_truth_minus_candidate_nll,observed_truth_emission_cap_fraction,observed_candidate_emission_cap_fraction,imputed_mean_truth_minus_candidate_nll,reference_candidate_truth_gr_corr_observed,raw_candidate_gr_corr_observed,raw_truth_gr_corr_observed,raw_candidate_gr_rmse_observed,raw_truth_gr_rmse_observed,reference_candidate_truth_gr_rmse_observed,median_truth_minus_candidate_nll,fraction_gr_favors_candidate,fraction_gr_favors_truth,mean_map_nll_advantage,mean_viterbi_nll_advantage,posterior_std_mean,marginal_mode_mass_mean,marginal_mode_gap_mean,true_rate_outside_fraction,raw_gr_missing_fraction,prefix_sigma_gr,prefix_cal_a,prefix_cal_b,rate_span,emission_evidence_class,observed_emission_evidence_class,affine_observed_emission_evidence_class,viterbi_recovery_class,episode_sse,viterbi_rmse_gain_ft
b19b0395:000,b19b0395,2634,7196,1251,4562,5813,0.21520729399621538,0.7847927060037846,56,,0.06147580142144174,2.6010000000005675,9.947000000000116,0.0,-0.020000000000436557,-0.011000000000422006,-0.020000000000436557,-0.020000000000436557,61.29535423060045,63.170549710950176,15.277365627909768,0.010545237125566608,1.0,62.32221532375308,7.822318663086551,7.822318663086551,1.241398494526021,67.85287383953407,0.8246383165278387,1.0,0.014223049457098357,64.88555162328271,69.39977246857973,-4.514220845296933,0.015808604206965768,62,113,0.9040966137816718,0.9774127969650371,34.52490697513496,160.1687562634115,0.03648491031057209,0.0,0.0,-0.026245470030796123,0.4167101432859213,0.7484524556937945,0.647592366698925,10.720801690712095,11.35488236851848,12.43835174450931,-0.001991001616107793,0.48268303375712407,0.5173169662428759,0.11081073377241087,0.07029987937101992,1.6654131517341078,0.4256019177750986,0.23266151287591846,0.0,0.03770276194651469,21.041058488049448,0.8391527266354106,12.217606735537247,0.1,candidate_strong,candidate_strong,candidate_strong,large_recovery,18204744.716274906,55.34823104786363
8a3da6d1:000,8a3da6d1,3529,6334,1788,2805,4593,0.3892880470280862,0.6107119529719138,553,,-0.01453688512863993,-8.139000000001033,-9.993000000000393,0.020000000000436557,0.050000000001091394,0.023999999999432475,0.030000000000654836,0.029999999998835847,-54.334477540107095,60.33264490265775,26.225800109697165,-0.03165980922954429,1.0,60.36772194943431,67.65917934223457,58.28036428184396,5.417168843604692,17.595129463761857,0.5122994652406417,0.42566844919786095,0.21835149301831427,612.4759379163715,367.69280574677555,244.78313216959612,0.23876156217323088,34,14,0.8502066115702479,0.9119601202503069,32.938817375312595,361.12795132289904,0.23449866969019417,0.0,0.0,0.1935044523079811,0.6569353412831958,0.9408458731669945,0.6627705696508435,14.058279585108643,30.37518860182336,30.948572767182174,0.021417706003279007,0.6303030303030303,0.3696969696969697,0.24280563199672778,0.23521389212987956,2.796909265792513,0.37945382966559715,0.17587125789625402,0.0,0.45098039215686275,38.965194519240846,0.7885301306132086,10.23003847407998,0.1,candidate_strong,candidate_strong,candidate_strong,not_better,10210278.654865293,-7.326534439576818
8d5d46d7:000,8d5d46d7,1934,7282,407,5348,5755,0.07072111207645526,0.9292788879235447,137,,-0.036318879040015926,-5.308000000000902,-9.977000000000771,0.029999999998835847,0.039999999999054126,0.03299999999944703,0.010000000000218279,0.020000000000436557,-57.31977206432325,58.51472722465102,11.765076823775658,-0.0033259319653787447,1.0,59.93155599074242,14.636068248995672,14.636068248995672,2.272188599717728,45.2114725246619,0.08807030665669409,1.0,-0.02718546019808329,-145.38784113934943,-100.08742599716109,-45.300415142188335,-0.026394363395875815,31,21,0.8536668951336532,0.9368751697934035,22.826063920227277,-93.70134043534463,-0.024710269102147846,0.0,0.0,-0.029113377340738003,0.37166289079327813,0.2597969651724515,0.6618229367949507,8.745669181051401,6.901720040871122,9.017572695266653,-0.00048002149413448877,0.4835452505609574,0.5164547494390427,0.022231230989978607,0.008279136550412682,8.578042461237846,0.2449783108737846,0.04833170044813725,0.0007479431563201197,0.29094988780852654,23.378940096475056,0.7882521734226802,15.548360215697887,0.1,truth_strong,truth_strong,truth_strong,large_recovery,18311409.220033586,43.87865897565535
91db7070:002,91db7070,2446,5646,873,3200,4073,0.21433832555855634,0.7856616744414436,733,,0.005652274365958158,-10.361000000000786,-9.999000000001615,-0.029999999998835847,-0.029999999998835847,-0.05099999999947613,0.0,-1.8189894035458565e-12,-50.76945953125014,53.564093012427634,17.07553920521263,-0.014212188156433169,1.0,54.01407387191107,45.96812553271184,45.700911520041196,0.8566211094370287,9.795134445482748,0.2521875,0.888125,0.10225190341090239,327.2060909148876,261.4740427585011,65.73204815638653,0.11826053494278659,28,23,0.8846846846846846,0.9654608948172144,36.563300835185615,143.95091466748949,0.06510670043758005,0.0,0.0,0.06646314272637667,0.17200158596471765,0.47884066715699375,0.35761171195309355,15.624258786272197,24.618537942492672,26.545122312154934,0.01251043555447702,0.6084375,0.3915625,0.153652055957009,0.13305026668376152,2.03468232890625,0.35661868281875003,0.13313364858954688,0.0,0.3090625,39.11941407998973,0.7663593383871211,21.873892298317376,0.1,candidate_strong,candidate_strong,candidate_strong,partial_recovery,9181158.592780795,7.595967479715796
f6d009f4:001,f6d009f4,6300,8003,5012,1703,6715,0.7463886820551006,0.2536113179448995,80,,-0.062062695992034594,-1.9369999999998981,-9.945999999999913,0.050000000001091394,0.09000000000196451,0.06099999999787542,0.040000000000873115,0.039999999997235136,-48.64156694069299,51.462552635743855,16.804531809627722,-0.03190179194234317,1.0,53.019339140438994,48.12704751198114,47.51008229604813,1.8895148380133135,6.136367831134976,0.2601291837933059,0.7874339401056958,-0.6795537932071543,-1157.2801098317836,-733.478272110368,-423.8018377214153,-0.6168866880659108,13,25,0.9148471615720524,0.9895129024802438,36.52951526048974,-539.8297206596492,-0.4540199500922197,0.0,0.0,-0.8245171940105357,-0.05794566951539174,-0.2697948762899586,0.8788944814594328,56.87933406298215,23.116320188533265,55.28368193778322,-0.2754617165402238,0.2190252495596007,0.7809747504403993,0.0732597780433254,0.04901209830291513,10.83157341867293,0.40345954792660016,0.20978990260513447,0.3763945977686436,0.3018203170874927,46.78817480580189,0.7106141647340966,29.783059369598178,0.1,truth_strong,truth_strong,truth_strong,partial_recovery,4510215.533408761,3.335505123762715
fc0d20b2:000,fc0d20b2,2703,5308,1349,2605,3954,0.3411734951947395,0.6588265048052605,119,,-0.04346682298343012,-4.617000000000189,-9.970999999999549,0.049999999999272404,0.049999999999272404,0.03499999999985448,0.0,0.0,-46.77496468330148,48.80904680080409,13.943662663697191,-0.012025944872611,1.0,50.99943068211977,15.757564663041823,15.757564663041823,3.5329254680856015,61.80160889810921,0.2583493282149712,1.0,0.0030300469721477583,7.893272362444911,2.9151224287561632,4.978149933688755,0.002135620826927592,10,18,0.8861330326944757,0.9228198195228112,27.79003281557862,32.235229244988695,0.02361555256043128,0.0,0.0,0.004014637043297383,0.24115944891781643,0.5414620381141109,0.6877409755081423,12.635683813400886,12.895026412128656,12.909227380668908,0.0012763192234632893,0.5186180422264876,0.4813819577735125,0.039376209802585854,0.032858584890321146,10.197865263838771,0.13466010700076775,0.013901351859432169,0.0,0.4760076775431862,39.37234715986506,0.8908096406544613,14.312210399127451,0.1,candidate_strong,near_tie,candidate_strong,large_recovery,6205951.544216034,33.051482137762264
97cd5bf9:000,97cd5bf9,2731,5099,1081,2368,3449,0.31342418092200636,0.6865758190779936,200,,-0.027761497722487226,-6.518000000000029,-9.972999999999956,0.030000000000654836,0.040000000000873115,0.014000000001033186,0.010000000000218279,0.00999999999839929,-44.46002132601367,48.79600098354344,20.108610485968008,-0.029298862873418586,1.0,52.371551657462035,12.073404925773163,11.907803326638291,9.328279171335126,37.863428688430275,0.3614864864864865,1.0,-0.01947122935605896,-46.10787111514762,-17.331111746371747,-28.77675936877587,-0.019605330029832294,8,9,0.8648648648648649,0.8979449736319943,25.370777291852495,-16.278412429633395,-0.018414493698680312,0.0,0.0,-0.019391347283541693,0.4540124685353284,0.6269352829511047,0.8197018149137979,13.740488788444658,9.674114543973102,14.348919850365412,-0.007173439494913801,0.36528716216216217,0.6347128378378378,0.004326356358050559,-0.002116191251972992,14.647198285768582,0.0849044676545608,0.007564801305555574,0.0,0.6266891891891891,49.27708383240593,0.6959371608165474,29.726765668418263,0.1,truth_strong,truth_strong,truth_strong,large_recovery,5638325.717982784,36.72259605777028
91b301ce:000,91b301ce,3487,8512,1545,5025,6570,0.23515981735159816,0.7648401826484018,150,,0.02998974832906012,6.070999999999913,9.988000000001193,0.050000000001091394,0.020000000000436557,0.03600000000005821,-0.030000000000654836,-0.020000000000436557,42.538698507462534,48.40517559363702,23.098055189604988,0.015058544739377292,1.0,49.93987775634861,33.22528490736754,33.14688657220179,11.17519528990271,35.17322654494461,0.665273631840796,0.9621890547263682,-0.16204270836755283,-814.264609546953,-699.4904035488418,-114.77420599811146,-0.16117290404351192,22,70,0.9232370543845954,0.9701959147708337,25.420687654933236,-588.4582694841646,-0.13558946301478447,0.0,0.0,-0.16755358539870285,-0.3320623191772837,-0.19592779597609694,0.5904392142671808,19.33220801897366,11.390312505491341,19.06214756728156,-0.08213902085349731,0.2608955223880597,0.7391044776119403,0.05079716053908006,0.03347852426221245,13.660553515562189,0.2345088656602985,0.06289766071601494,0.0001990049751243781,0.136318407960199,27.512464336871393,0.7282250120788707,17.484898135562148,0.1,truth_strong,truth_strong,truth_strong,partial_recovery,11773881.646860436,15.17989068626948
708caea9:000,708caea9,2240,8482,306,6242,6548,0.04673182651191203,0.953268173488088,87,,-0.0512365709691418,-3.3170000000009168,-9.992999999998574,0.05999999999949068,0.06000000000130967,0.062000000001717126,1.8189894035458565e-12,0.0,-47.472975969240764,48.278137460496666,8.780382069050287,-0.0028756008715215323,1.0,48.211903701578876,29.923020519502636,29.923020519502636,0.8864341294739233,19.01444188006164,0.5512656199935918,1.0,-0.008754987999257637,-54.64863509136617,-27.405613020670515,-27.243022070695652,-0.0055589478743753576,54,33,0.8412177985948478,0.8738228297431653,24.129874138225535,30.41080643512742,0.006168520575076556,0.0,0.0,-0.020764498529493636,0.3414856428527509,0.4829414331098974,0.5199046238133208,17.483629031003332,16.75546892890529,16.342762438374105,-0.0010835616050752545,0.48526113425184236,0.5147388657481576,0.029291225234572494,0.018491742766352855,1.51247463315604,0.2965517251135854,0.08620153713593096,0.1706183915411727,0.21018904197372637,47.35472273101508,0.8542877417791035,11.47936093707305,0.1,truth_strong,truth_strong,candidate_strong,partial_recovery,14548719.750638084,18.35511694099403
c9578d27:000,c9578d27,3190,6202,1475,3012,4487,0.32872743481167815,0.6712725651883218,226,,-0.021110343515381116,-7.216999999998734,-9.983000000000175,0.020000000002255547,0.030000000000654836,0.030000000000654836,0.00999999999839929,0.039999999997235136,-46.339353253652206,48.20210006621778,13.270523381800174,-0.010445013471524595,1.0,46.782037002288924,10.299420797170454,10.299420797170454,2.313080664779782,44.1625576871013,0.8871181938911022,1.0,-0.05534559851457545,-166.70094272590126,-78.86946352386349,-87.83147920203777,-0.05786461006886536,10,22,0.7721774193548387,0.8153943412726999,31.413274052948097,-67.08710813781573,-0.04922018205268946,0.0,0.0,-0.053263480413606894,0.0850513295561315,0.062153046951372776,0.7394651875260607,16.130763855073234,8.358246732213876,17.17003569283766,-0.016250662762243732,0.3137450199203187,0.6862549800796812,0.006076535010770957,-0.0032949332487945144,5.292018615106241,0.17794110558266932,0.023702135554741655,0.0,0.547476759628154,40.55505081858644,0.8476622886104234,11.434789052934198,0.1,truth_strong,truth_strong,truth_strong,large_recovery,6998208.661790541,37.902679269047326
