scope,rows,wells,mean_rmse_ft,map_rmse_ft,viterbi_rmse_ft,rowwise_oracle_decoder_rmse_ft,posterior_mean_to_map_rmse_ft,posterior_mean_to_viterbi_rmse_ft,mean_bias_ft,posterior_std_mean,mean_truth_minus_candidate_nll,median_truth_minus_candidate_nll,fraction_gr_favors_candidate,fraction_gr_favors_truth,fraction_map_improves_mean,fraction_viterbi_improves_mean
all,3783989,773,11.938287234887442,12.592479232308479,15.551664697008379,7.517189326342322,2.9617312965391647,15.940767633218702,-1.0836968257573047,2.940913776478229,-0.006603403258530285,1.87703118974369e-05,0.5020041020203811,0.4972384962007025,0.4497943836517495,0.3068529004709052
abs_error_000_005,2364427,773,2.067501982265162,2.543381042056274,13.84172859142377,1.6370942764820697,1.6318036006894447,13.736008760019741,-0.011941492801573075,1.966891284936226,-0.00093437742226917,0.00018130206744043425,0.5168461534232184,0.48194171357373267,0.4808145905963686,0.14343728945744572
abs_error_005_010,603605,688,7.3029549111074905,8.089934724109318,15.318199440974412,5.686190285301058,3.2895251345125773,14.688591745317343,-0.05507468543184271,3.6126931071652053,-0.010213282154422595,-0.00014238508633384535,0.49579277838984104,0.504207221610159,0.4425642597393991,0.41767712328426704
abs_error_010_025,591574,490,16.36301184543355,17.544323848017473,17.53094704200729,11.121779934563632,4.682238274335565,17.413203181269296,-2.62790977544667,4.825878097181006,-0.021582100789980813,-0.0016910014117788202,0.46597044494856094,0.534029555051439,0.37069749515698797,0.6372660056053849
abs_error_025_plus,224383,164,38.846909842353156,40.2293502471078,24.86421137846583,22.619030447542794,5.741115313238205,30.28644056025682,-11.07310102369622,6.427897334298743,-0.017139178190356427,-0.002558917297730237,0.45731628510181255,0.5426837148981875,0.3509044802859397,0.8595972065619945
persistent_offset_rows,807710,450,24.78305972619436,25.95895006916055,19.84220096160343,15.232902199545299,5.00601869453306,21.78977042222629,-5.003262271731334,5.278633903959203,-0.020915360543800426,-0.0018999850439404588,0.4636998427653489,0.5363001572346511,0.36412202399376015,0.7008951232496812
