well,rows,initial_rate,rate_span,actual_hmm_rmse_ft,current_rmse_ft,current_error_vs_actual_hmm_error_corr,exact_mean_position_rmse_ft,exact_mean_position_error_vs_actual_hmm_error_corr,boundary_normalized_rmse_ft,boundary_normalized_error_vs_actual_hmm_error_corr,exact_mean_plus_boundary_rmse_ft,exact_mean_plus_boundary_error_vs_actual_hmm_error_corr,momentum_one_rmse_ft,momentum_one_error_vs_actual_hmm_error_corr,exact_mean_plus_momentum_one_rmse_ft,exact_mean_plus_momentum_one_error_vs_actual_hmm_error_corr,boundary_plus_momentum_one_rmse_ft,boundary_plus_momentum_one_error_vs_actual_hmm_error_corr,all_three_corrections_rmse_ft,all_three_corrections_error_vs_actual_hmm_error_corr
000d7d20,3836,0.020000000000436557,0.1,6.701227791836168,12.08084201143119,-0.7583569806062262,45.80315977574265,-0.8501203242367266,12.0972293656696,-0.7579435479882967,45.560822122005035,-0.8495017189372527,12.993243681572313,-0.7542843447404431,37.64467835735557,-0.8262385477037738,11.120982614432087,-0.715430584628576,24.877598017891536,-0.7914999916242168
00bbac68,6014,0.030000000000654836,0.1,4.224995442776048,28.95505604686204,0.2744995845076297,84.72289463867331,-0.1943904094581247,28.985131246253307,0.2697420217231663,84.29000937192549,-0.1947928673101615,31.04168053891425,0.12536996839489845,71.7351628477884,-0.20428032328076992,26.40656703888061,0.11463118364501691,45.14664732845578,-0.1812676029851729
00e12e8b,4301,0.040000000000873115,0.1,7.555206391396678,26.961293270216856,-0.4256173205346528,71.03664884710848,-0.6667041984451414,26.84687085495507,-0.4241298976285936,70.41903919756541,-0.6656590443366383,25.797393122331247,-0.43276127640554685,55.16968136795539,-0.6432589440060842,17.342633362408037,-0.24484196144371453,27.53194748682154,-0.5792411231851468
015fe0d2,4296,-0.039999999999054126,0.1,7.181338219795383,14.006380432048848,0.8817055464317195,63.93552700249492,0.8609536804366061,13.990309838067356,0.8812062387943156,63.35846224390566,0.8615846393338703,15.181432467528849,0.8799994723887476,49.4949255306893,0.8729750420947343,12.010044121364347,0.8084558483205836,24.71980855678395,0.8822865138361551
01869cd4,5557,-0.039999999999054126,0.1,7.35219209942589,38.03442097008398,0.7871276446526276,100.13173111883219,0.7040274314835256,37.97460310949425,0.7874201374214717,99.50054664536763,0.704688208071992,39.12076711038407,0.7831651918122299,83.96357461251517,0.7188251627915645,30.247511191574777,0.802664359582706,51.17794862769884,0.7530074158314906
01982c1d,3941,0.039999999997235136,0.1,2.7265740763566746,23.03762690914535,-0.4915450480409384,61.13782574785577,-0.4842746795767777,22.949997077699617,-0.49214126120453616,60.56510681309552,-0.4852122275134784,22.297886945955547,-0.5022041968311838,46.76521822392546,-0.5058291112654442,15.725739611949171,-0.4995719290964768,23.054476033102482,-0.5210008892052689
028d7b28,6234,-0.030000000000654836,0.1,28.19060949233911,70.67152407941806,0.49613894224182087,160.15537125235167,0.41363838845141426,70.80012965179363,0.4947700541752932,159.71279048047654,0.41305283209286,76.56245128187429,0.4595440439698268,146.797877455539,0.3983599368914335,72.25506290646894,0.44671701067313224,119.2129782808655,0.40518326195650817
02e7fe5a,5108,0.030000000000654836,0.1,6.830467428356592,21.728649644120605,0.7465648073100721,47.938997576421,0.5692311646908551,21.66290401921028,0.7473762086922335,47.51046400118291,0.5707570145689174,20.31198904008329,0.7536408983666512,35.08942549183714,0.6101855874114767,13.171400616310429,0.8461257726141236,11.282502410881078,0.7783616760221365
0390d174,4411,-0.039999999999054126,0.1,3.8650828831850546,35.827249140875466,0.834174487866783,84.72260239373428,0.6857908952866087,35.721651118259196,0.8344373601289329,84.10910986349549,0.6865375366361047,35.14053992927861,0.8254474824883095,68.99339244103754,0.7034429567641187,26.877228340344292,0.86575451198531,41.135736884743004,0.7637338957801173
03a935ae,2786,0.020000000000436557,0.1,1.1780829861111344,8.36090920421001,-0.15225295155511884,39.57740310267887,0.0373313947809526,8.366177128019665,-0.15291025809855474,39.37282641664462,0.0360855750827813,8.483327309710976,-0.1569185017524491,32.27427302439766,0.0041938088170713084,10.01848907591094,-0.21161794052772762,25.30487160269856,-0.11352384583569919
