term,folds,mean,std,min,max,range,relative_std_abs_mean,signs
smooth_bin_4,5,0.35738730173343275,0.25273607176998675,-0.0012300777577448,0.7540849666269519,0.7553150443846967,0.7071769773132481,"1,-1,1,1,1"
smooth_bin_3,5,0.6256932423902423,0.15001258266373377,0.3996654971957487,0.8385738604537091,0.4389083632579604,0.23975419982268492,"1,1,1,1,1"
raw_bin_4,5,0.16240907868317794,0.13031509474499453,-0.0849865603757332,0.3031406868145513,0.3881272471902845,0.8023879933412389,"1,1,1,1,-1"
raw_bin_3,5,0.11269582586396328,0.14546061747926045,-0.0392955156713043,0.3311577002718948,0.3704532159431991,1.2907365145435645,"1,1,-1,1,1"
raw_bin_0,5,1.233824897533813,0.11141312379201053,1.0658714318253966,1.3634608457156492,0.2975894138902526,0.090298975174439,"1,1,1,1,1"
smooth_bin_0,5,-0.07574956027476512,0.08506038948007263,-0.1757159196949036,0.0544745658469705,0.2301904855418741,1.1229159505551518,"1,-1,-1,-1,-1"
sqrt_position,5,-0.6300459895669741,0.08535583632563551,-0.798721236893871,-0.5697752398227764,0.22894599707109453,0.13547556486201895,"-1,-1,-1,-1,-1"
smooth_bin_1,5,0.345662211085163,0.05079877480305112,0.2814334915733838,0.4166471531682104,0.13521366159482656,0.1469607413653195,"1,1,1,1,1"
smooth_bin_2,5,0.6968942009557981,0.037269961335836335,0.6523193434394208,0.7481777672486642,0.09585842380924348,0.05348008533392898,"1,1,1,1,1"
raw_bin_1,5,0.7082394957328051,0.024893870743888324,0.6691333076762493,0.7345591299059239,0.06542582222967452,0.03514894452212242,"1,1,1,1,1"
near_strike_committee,5,0.45548890390098096,0.019361208726770312,0.4304166078422494,0.4834213595583863,0.05300475171613689,0.04250643333120417,"1,1,1,1,1"
raw_bin_2,5,0.26118768228617545,0.019254500673447507,0.2405514755577971,0.2933003132902571,0.052748837732459974,0.07371902267715263,"1,1,1,1,1"
