name,rows,rmse,mae,bias_pred_minus_true,error_std,within_5,within_10,within_25,stage,well_id,fold
geometry_tvt_geop,2786,17.530946943179018,13.052562836198438,11.401760640515377,13.316679579420393,0.3636037329504666,0.5958363244795406,0.7257717157214645,geometry_tvt_geop,03a935ae,0
geometry_plus_gr_pre_u,2786,17.07846359000048,13.336724555773962,9.837410883042196,13.960632711778327,0.21572146446518306,0.5983488872936109,0.7458722182340273,geometry_plus_gr_pre_u,03a935ae,0
final_post_u,2786,16.877527100552683,13.161308694496077,9.687823003408393,13.820166659071862,0.22577171572146446,0.589375448671931,0.7634601579325198,final_post_u,03a935ae,0
geometry_tvt_geop,4519,5.899719469755534,5.149853615641943,-4.937026998589848,3.2299309957036937,0.5651692852400974,0.9701261341004647,1.0,geometry_tvt_geop,044af7d1,0
geometry_plus_gr_pre_u,4519,6.196922389982383,5.368063115924138,-5.300834052493409,3.20982950565778,0.43173268422217304,0.9736667404292986,1.0,geometry_plus_gr_pre_u,044af7d1,0
final_post_u,4519,6.056815817945325,5.32258819868003,-5.2861188836578545,2.956681416782762,0.4262004868333702,0.9816331046691746,1.0,final_post_u,044af7d1,0
geometry_tvt_geop,4348,5.790670482991822,4.91376325009951,-2.760020504567477,5.090594410966153,0.4956301747930083,0.9781508739650414,1.0,geometry_tvt_geop,05a0ee4d,0
geometry_plus_gr_pre_u,4348,6.96959210474931,5.932631212193201,-2.222420634670618,6.6057596557227365,0.4696412143514259,0.8143974241030358,1.0,geometry_plus_gr_pre_u,05a0ee4d,0
final_post_u,4348,6.912356232322433,5.967633951949141,-2.184174958733837,6.5582046653155635,0.4652713891444342,0.829116835326587,1.0,final_post_u,05a0ee4d,0
geometry_tvt_geop,5537,7.664021905249737,5.223988312091273,3.8771302629727775,6.610982732399809,0.6720245620372043,0.8576846667870688,1.0,geometry_tvt_geop,0849b4e2,0
geometry_plus_gr_pre_u,5537,8.160162226970476,5.03236835071938,4.380977607442589,6.884423198319694,0.6673288784540364,0.787971825898501,1.0,geometry_plus_gr_pre_u,0849b4e2,0
final_post_u,5537,8.580333136833556,5.417031052645282,4.382209109404373,7.3768801034378555,0.6649810366624526,0.8212028174101499,0.9669496117030884,final_post_u,0849b4e2,0
geometry_tvt_geop,5821,8.477853616573093,6.100512100010405,5.804770905927273,6.178886361937865,0.6029891771173338,0.676516062532211,1.0,geometry_tvt_geop,0a57a29c,0
geometry_plus_gr_pre_u,5821,9.449711507757828,6.428835209891933,5.863238642398904,7.4107678550964575,0.610376224016492,0.6629445112523621,1.0,geometry_plus_gr_pre_u,0a57a29c,0
final_post_u,5821,9.511312647411202,6.376468381577724,5.900616657699961,7.459744723224652,0.610719807593197,0.6660367634427075,1.0,final_post_u,0a57a29c,0
geometry_tvt_geop,5054,5.765437308606593,4.570364937135476,0.6087258408592829,5.7332120325471125,0.5979422239810052,0.9174910961614563,1.0,geometry_tvt_geop,0c1b160c,0
