well_id,fold,start_suffix_offset,end_suffix_offset_exclusive,rows,signed_error_median,abs_error_mean,abs_error_max,episode_sse,geometry_episode_rmse,pre_u_episode_rmse,final_episode_rmse,crossing_component,onset_error,onset_geometry_error,onset_gr_delta,onset_u_adjust,onset_one_row_error_change,pre_onset_64row_error_rate,distance_to_k16_boundary_rows,gr_cap_fraction,u_worsens_episode_sse,gr_worsens_episode_sse
03a935ae,0,1732,2786,1054,27.7275487205834,25.42140846754174,32.09625824084105,722943.9965164617,27.72518027300994,26.51983934873821,26.189790377828412,geometry_already_over_threshold,10.026266074764862,14.049560093626496,-4.0,-0.02329401886163396,0.05404946336057037,0.05344793613295451,9,0.1442125237191651,False,False
05a0ee4d,0,1860,2164,304,-11.376132398544542,11.283515035588021,12.195723940822065,38830.82913909408,9.40147752804229,12.150970916606466,11.301902078372704,gr_crossed_threshold,-10.002977935917444,-7.3113753590296255,-3.547540150705032,0.8559375738168455,-0.007755327347696905,-0.014862625662260626,42,0.0,False,True
05a0ee4d,0,3119,3558,439,10.92284774368818,11.227060778436822,12.9069501638387,55669.8004914637,7.892316636592418,11.872632386962218,11.2610159168441,u_projection_crossed_threshold,10.033723697808457,5.846960749375285,4.0,0.1867629484331701,0.039966827733225685,0.0371669040376901,130,1.0,False,True
0849b4e2,0,4218,4395,177,10.3665374659995,10.365936977605838,10.691817543474826,19026.547666966515,9.626451220100655,10.245112895664175,10.36796120688062,u_projection_crossed_threshold,10.020467680255024,9.188033491531314,0.3177120996664339,0.5147220890576136,0.0226513139496074,0.025588702839485222,66,0.0,True,True
0849b4e2,0,4724,5537,813,19.063392582338565,18.911515331659245,28.684304839058317,319786.99321061536,17.184210564582717,18.75019697057648,19.832849897793498,gr_crossed_threshold,10.005943166004728,9.344014554837486,1.3780174940916632,-0.7160888829239411,0.029518777968409182,0.008203781312829533,120,0.0,True,True
0a57a29c,0,529,2473,1944,14.981434366475696,15.769488428945522,24.08705906133946,498361.64828797744,14.025177706980793,15.863333548825572,16.011210840411792,u_projection_crossed_threshold,10.000237059271967,9.058383375886478,-0.0076152082570908,0.9494688916420273,0.06374003761084346,0.05834897950546747,166,0.0,True,True
14fee784,0,924,4282,3358,33.19727461194725,29.282956081095595,39.66967135971208,3152363.939837386,30.68317747709977,30.9556767012438,30.63922878648465,geometry_already_over_threshold,13.39287286301078,11.672807743909289,4.0,-2.2799348808985087,3.5078837429573486,0.06750141934367093,4,0.2969029184038118,False,True
14fee784,0,4732,4910,178,10.899155301640349,10.86170357791858,11.417396136321258,21018.261489734505,17.082281142519353,13.08649841576811,10.866467720876251,geometry_already_over_threshold,10.004777374924744,15.48641100578061,-4.0,-1.4816336308558675,0.022730614793546877,0.020389614216554747,129,1.0,False,False
1590af81,0,2677,3799,1122,-14.433521890768134,14.566539817933197,19.54337533232137,243062.47930139018,15.767097364695095,14.958678756227412,14.718465468886857,geometry_already_over_threshold,-10.021432101075334,-10.973660713216304,0.528934645432446,0.42329396670902497,-0.02167960050792317,-0.02213253681455285,66,0.0,False,False
18d24f7b,0,3377,4389,1012,11.138237508424027,11.005071605648503,11.47268912479376,122750.25435230133,10.305980454607807,10.818972787031381,11.013388113538367,gr_crossed_threshold,10.00050050263053,9.610804388039469,0.5133028258664402,-0.1236067112749879,0.017612180143260048,0.009900633085891286,41,0.0,True,True
