outcome,driver,spearman,abs_spearman,wells
final_abs_bias,donor_dist_max,0.26659424495927425,0.26659424495927425,773
final_abs_bias,donor_dist_min,0.25548754110710703,0.25548754110710703,773
final_abs_bias,suffix_tvt_range,0.18045476915943978,0.18045476915943978,773
final_abs_bias,gr_cap_fraction_rows,0.1473857160643232,0.1473857160643232,773
final_abs_bias,delta_abs_median,0.14058209187595294,0.14058209187595294,773
final_abs_bias,u_adjust_abs_mean,0.11524406817407251,0.11524406817407251,773
final_abs_bias,delta_abs_max,0.09865015491959964,0.09865015491959964,773
final_abs_bias,suffix_u_true_range,0.08423063038875683,0.08423063038875683,773
final_abs_bias,suffix_z_range,0.07869786304618055,0.07869786304618055,773
final_abs_bias,whole_xy_path_length,0.06826651028628636,0.06826651028628636,773
final_abs_bias,unknown_rows,0.06463854473055547,0.06463854473055547,773
final_abs_bias,suffix_xy_displacement,0.06441904163913409,0.06441904163913409,773
final_abs_bias,gate_segments,0.04833311221904,0.04833311221904,773
final_abs_bias,prefix_gr_missing_fraction,-0.047599905733217825,0.047599905733217825,773
final_abs_bias,suffix_gr_missing_fraction,-0.036226822425599166,0.036226822425599166,773
final_abs_bias,true_tvt_end_minus_anchor,0.02783287939530792,0.02783287939530792,773
final_abs_bias,suffix_u_true_end_minus_start,0.018763684493249666,0.018763684493249666,773
final_abs_bias,end_minus_anchor,-0.01657977049142337,0.01657977049142337,773
final_abs_bias,known_prefix_rows,0.006029907228819634,0.006029907228819634,773
final_error_slope_per_row,true_tvt_end_minus_anchor,-0.46879791532271353,0.46879791532271353,773
final_error_slope_per_row,suffix_u_true_end_minus_start,-0.12755498567854384,0.12755498567854384,773
final_error_slope_per_row,end_minus_anchor,0.09357676525084122,0.09357676525084122,773
final_error_slope_per_row,known_prefix_rows,-0.05874010849667604,0.05874010849667604,773
final_error_slope_per_row,suffix_tvt_range,-0.049545036443209414,0.049545036443209414,773
final_error_slope_per_row,suffix_xy_displacement,0.02641758560144899,0.02641758560144899,773
final_error_slope_per_row,unknown_rows,0.026263666720114074,0.026263666720114074,773
final_error_slope_per_row,suffix_u_true_range,-0.02476655420179707,0.02476655420179707,773
final_error_slope_per_row,whole_xy_path_length,0.024198663565039323,0.024198663565039323,773
final_error_slope_per_row,donor_dist_max,-0.022109552184359876,0.022109552184359876,773
final_error_slope_per_row,donor_dist_min,0.020093536995548285,0.020093536995548285,773
final_error_slope_per_row,suffix_gr_missing_fraction,-0.01847318585171164,0.01847318585171164,773
final_error_slope_per_row,prefix_gr_missing_fraction,-0.016256252572208356,0.016256252572208356,773
final_error_slope_per_row,u_adjust_abs_mean,-0.01384472461210303,0.01384472461210303,773
final_error_slope_per_row,delta_abs_median,-0.008777964895715097,0.008777964895715097,773
final_error_slope_per_row,suffix_z_range,0.005430835973961738,0.005430835973961738,773
final_error_slope_per_row,gr_cap_fraction_rows,0.004435216962020505,0.004435216962020505,773
final_error_slope_per_row,gate_segments,0.0010844723466855105,0.0010844723466855105,773
final_error_slope_per_row,delta_abs_max,0.001067573084333709,0.001067573084333709,773
final_rmse_recomputed,suffix_tvt_range,0.387341903483832,0.387341903483832,773
final_rmse_recomputed,donor_dist_max,0.3371176873182933,0.3371176873182933,773
final_rmse_recomputed,donor_dist_min,0.31728295722509775,0.31728295722509775,773
final_rmse_recomputed,u_adjust_abs_mean,0.23467859638632252,0.23467859638632252,773
final_rmse_recomputed,gr_cap_fraction_rows,0.18758453211382747,0.18758453211382747,773
final_rmse_recomputed,delta_abs_median,0.17752456216205775,0.17752456216205775,773
final_rmse_recomputed,suffix_z_range,0.17393064284643897,0.17393064284643897,773
final_rmse_recomputed,suffix_u_true_range,0.16869122505835688,0.16869122505835688,773
final_rmse_recomputed,delta_abs_max,0.15786305904768272,0.15786305904768272,773
final_rmse_recomputed,whole_xy_path_length,0.13425730568805055,0.13425730568805055,773
final_rmse_recomputed,unknown_rows,0.13174456597405063,0.13174456597405063,773
final_rmse_recomputed,suffix_xy_displacement,0.1313040256256813,0.1313040256256813,773
final_rmse_recomputed,suffix_u_true_end_minus_start,0.08329697558267961,0.08329697558267961,773
final_rmse_recomputed,gate_segments,0.07644376350147013,0.07644376350147013,773
final_rmse_recomputed,suffix_gr_missing_fraction,-0.049006616184943286,0.049006616184943286,773
final_rmse_recomputed,prefix_gr_missing_fraction,-0.04307689801596287,0.04307689801596287,773
final_rmse_recomputed,end_minus_anchor,-0.02700954582296916,0.02700954582296916,773
final_rmse_recomputed,known_prefix_rows,0.017641920671366093,0.017641920671366093,773
final_rmse_recomputed,true_tvt_end_minus_anchor,0.007912510728063753,0.007912510728063753,773
gr_rmse_delta,gr_cap_fraction_rows,-0.44171717340216987,0.44171717340216987,773
gr_rmse_delta,delta_abs_median,-0.4193297819454573,0.4193297819454573,773
gr_rmse_delta,delta_abs_max,-0.3144154473458161,0.3144154473458161,773
gr_rmse_delta,suffix_tvt_range,-0.1296449482460455,0.1296449482460455,773
gr_rmse_delta,true_tvt_end_minus_anchor,-0.08611717616803945,0.08611717616803945,773
gr_rmse_delta,whole_xy_path_length,-0.07162131526520572,0.07162131526520572,773
gr_rmse_delta,unknown_rows,-0.07081678376356018,0.07081678376356018,773
gr_rmse_delta,suffix_xy_displacement,-0.070795662606004,0.070795662606004,773
gr_rmse_delta,prefix_gr_missing_fraction,-0.0631137853114304,0.0631137853114304,773
gr_rmse_delta,suffix_gr_missing_fraction,-0.05480722880986352,0.05480722880986352,773
gr_rmse_delta,suffix_u_true_end_minus_start,0.051871655305336425,0.051871655305336425,773
gr_rmse_delta,suffix_z_range,-0.041966176596009964,0.041966176596009964,773
gr_rmse_delta,donor_dist_min,0.03791933489906851,0.03791933489906851,773
gr_rmse_delta,donor_dist_max,0.03534054528902995,0.03534054528902995,773
gr_rmse_delta,suffix_u_true_range,-0.029627422077224394,0.029627422077224394,773
gr_rmse_delta,u_adjust_abs_mean,-0.02018201146550437,0.02018201146550437,773
gr_rmse_delta,known_prefix_rows,0.018606059431524727,0.018606059431524727,773
gr_rmse_delta,gate_segments,0.014053018253243397,0.014053018253243397,773
gr_rmse_delta,end_minus_anchor,0.01030351126849606,0.01030351126849606,773
persistent_episode_sse,suffix_tvt_range,0.38165555730257533,0.38165555730257533,773
persistent_episode_sse,donor_dist_max,0.3165315281347954,0.3165315281347954,773
persistent_episode_sse,donor_dist_min,0.2861052569941115,0.2861052569941115,773
persistent_episode_sse,u_adjust_abs_mean,0.251154011614291,0.251154011614291,773
persistent_episode_sse,suffix_z_range,0.20852070499078618,0.20852070499078618,773
persistent_episode_sse,suffix_u_true_range,0.2025693886940405,0.2025693886940405,773
persistent_episode_sse,gr_cap_fraction_rows,0.18687593391030408,0.18687593391030408,773
persistent_episode_sse,unknown_rows,0.1786472992443129,0.1786472992443129,773
persistent_episode_sse,suffix_xy_displacement,0.17822492961932973,0.17822492961932973,773
persistent_episode_sse,whole_xy_path_length,0.17803415588065705,0.17803415588065705,773
persistent_episode_sse,delta_abs_median,0.17318397885672757,0.17318397885672757,773
persistent_episode_sse,delta_abs_max,0.16755584291162914,0.16755584291162914,773
persistent_episode_sse,suffix_u_true_end_minus_start,0.08996102167384494,0.08996102167384494,773
persistent_episode_sse,gate_segments,0.060650875832774356,0.060650875832774356,773
persistent_episode_sse,suffix_gr_missing_fraction,-0.045543771617089,0.045543771617089,773
persistent_episode_sse,prefix_gr_missing_fraction,-0.028535029736868688,0.028535029736868688,773
persistent_episode_sse,end_minus_anchor,-0.026309324897277775,0.026309324897277775,773
persistent_episode_sse,true_tvt_end_minus_anchor,0.01195041514118269,0.01195041514118269,773
persistent_episode_sse,known_prefix_rows,-0.00010294614575458055,0.00010294614575458055,773
