name,rows,rmse,mae,bias_pred_minus_true,error_std,within_5,within_10,within_25,bucket_kind,bucket,stage
final_post_u,38650,1.741257473719109,1.2000035191581606,0.054502604008711486,1.7404042794531747,0.9784476067270376,1.0,1.0,absolute_bucket,0000_0050,final_post_u
geometry_plus_gr_pre_u,38650,0.4465648946040937,0.26392617196742074,0.007921624044755202,0.4464946281482666,1.0,1.0,1.0,absolute_bucket,0000_0050,geometry_plus_gr_pre_u
geometry_tvt_geop,38650,0.43966496483567985,0.2625411924159774,0.003097038033351876,0.43965405679850106,1.0,1.0,1.0,absolute_bucket,0000_0050,geometry_tvt_geop
final_post_u,38650,1.6719252268120397,1.168586184939687,0.07856830871707125,1.6700781373683775,0.9867011642949547,1.0,1.0,absolute_bucket,0050_0100,final_post_u
geometry_plus_gr_pre_u,38650,1.050475305675828,0.7198866354513704,0.026533047511846913,1.050140164561121,0.9974126778783958,1.0,1.0,absolute_bucket,0050_0100,geometry_plus_gr_pre_u
geometry_tvt_geop,38650,1.0311197408635493,0.7192795964011274,0.01224848892906719,1.0310469894808225,0.9978525226390685,1.0,1.0,absolute_bucket,0050_0100,geometry_tvt_geop
final_post_u,115950,2.1906119929472667,1.5307659469685924,0.1266256194799187,2.1869492120613416,0.9607158257869771,0.9982751185855973,1.0,absolute_bucket,0100_0250,final_post_u
geometry_plus_gr_pre_u,115950,2.110804997515945,1.4646364750216798,0.06958503606537698,2.1096577116428312,0.9640965933592065,0.9985597240189737,1.0,absolute_bucket,0100_0250,geometry_plus_gr_pre_u
geometry_tvt_geop,115950,2.0905187677650905,1.4827270684127107,0.03640820551342549,2.0902017034127027,0.9658387235877534,0.9990081931867184,1.0,absolute_bucket,0100_0250,geometry_tvt_geop
final_post_u,193157,3.5474684949426147,2.5180218624206048,0.04270349638057284,3.547211458879678,0.8696707859409702,0.9817350652577955,0.9997980917077818,absolute_bucket,0250_0500,final_post_u
geometry_plus_gr_pre_u,193157,3.6138199261535795,2.5413052775324654,0.04777968109092139,3.613504055724791,0.867853611311006,0.9805339697758818,0.9998084459791775,absolute_bucket,0250_0500,geometry_plus_gr_pre_u
geometry_tvt_geop,193157,3.7326632480560007,2.7209964692395303,-0.10030519015289395,3.7313152898430286,0.8576184140362503,0.9808135351035686,0.9999637600501147,absolute_bucket,0250_0500,geometry_tvt_geop
final_post_u,385911,5.472891259079349,3.7907878846278162,-0.04438375464050618,5.472711285645457,0.7479444742440614,0.9324222424341364,0.9965743396793562,absolute_bucket,0500_1000,final_post_u
geometry_plus_gr_pre_u,385911,5.592279660095305,3.8367419013275494,-0.01606935080063171,5.592256572500989,0.7443477900344898,0.9249593818263797,0.9964188634166945,absolute_bucket,0500_1000,geometry_plus_gr_pre_u
geometry_tvt_geop,385911,5.864425608272949,4.2388443111858525,-0.2069685838915334,5.860772280190511,0.6971529705035617,0.9205179432563466,0.9963463078274525,absolute_bucket,0500_1000,geometry_tvt_geop
final_post_u,770087,7.452736152192518,5.1531227206819485,-0.21859648082178237,7.449529631645858,0.624169736666117,0.8671176113867654,0.9907724711623492,absolute_bucket,1000_2000,final_post_u
geometry_plus_gr_pre_u,770087,7.551171873760268,5.190669106323238,-0.2089916476937502,7.548279218355824,0.6260838061154129,0.859441855270898,0.9908023379176638,absolute_bucket,1000_2000,geometry_plus_gr_pre_u
geometry_tvt_geop,770087,7.973395043596648,5.789303386245616,-0.4618229313193246,7.960009302843761,0.5595393767197733,0.838758477938207,0.9903322611601026,absolute_bucket,1000_2000,geometry_tvt_geop
final_post_u,2241584,11.151213595088475,7.619295167654592,-0.4355680816362047,11.142703670543598,0.4808091064176047,0.7343454450067453,0.9645201785879984,absolute_bucket,2000_plus,final_post_u
geometry_plus_gr_pre_u,2241584,11.226069853278137,7.680603589782395,-0.428911636278657,11.217873201233154,0.47853660625700395,0.7262632138701918,0.9647655407961513,absolute_bucket,2000_plus,geometry_plus_gr_pre_u
geometry_tvt_geop,2241584,11.926467000861077,8.631349957097084,-0.6112401211134652,11.910793451192468,0.39239885723666834,0.6834675836372851,0.9588161764181043,absolute_bucket,2000_plus,geometry_tvt_geop
final_post_u,378659,3.056299264738005,2.0303790468702907,0.026339329265802573,3.0561857658479954,0.9126179491310124,0.9890112211778935,0.9993160072783164,normalized_decile,0,final_post_u
geometry_plus_gr_pre_u,378659,3.036885829166388,1.8891105414743234,0.004378498235036841,3.0368826727657465,0.9141734383706712,0.986423140609361,0.9992473439162941,normalized_decile,0,geometry_plus_gr_pre_u
geometry_tvt_geop,378659,3.0836209975613205,1.9857871839559498,-0.09031536311603285,3.0822981023558205,0.9096786290567502,0.9864469086962148,0.9994506931038216,normalized_decile,0,geometry_tvt_geop
final_post_u,378293,5.641290873407993,3.8315359051325233,-0.20132062323557576,5.637697466613153,0.7413830020645372,0.9294145014578646,0.9965925882847423,normalized_decile,1,final_post_u
geometry_plus_gr_pre_u,378293,5.773976957143263,3.885397326461959,-0.1793584836114905,5.77119055620051,0.7438176228478983,0.9218674413748074,0.9965925882847423,normalized_decile,1,geometry_plus_gr_pre_u
geometry_tvt_geop,378293,5.967807797218613,4.257013414698036,-0.3557548483997371,5.957194674709176,0.6929496448520063,0.9226419732852578,0.9965582233876915,normalized_decile,1,geometry_tvt_geop
final_post_u,378358,6.943789009898613,4.748684200637093,-0.15793788920010265,6.941992612870154,0.6544542470358761,0.8881931926905207,0.9944576300752198,normalized_decile,2,final_post_u
geometry_plus_gr_pre_u,378358,6.992700827472719,4.75689830153737,-0.08551324776619268,6.99217794016958,0.6555008748328303,0.883189994661141,0.9947087150265093,normalized_decile,2,geometry_plus_gr_pre_u
geometry_tvt_geop,378358,7.405674849878595,5.347744221960019,-0.3745109858945681,7.396199125467664,0.5882206798851881,0.8665417408909023,0.9938576691916122,normalized_decile,2,geometry_tvt_geop
final_post_u,378289,8.02034578237865,5.5758782663231194,-0.2190001265780461,8.017355263020205,0.5817298414704102,0.8515896576427018,0.9887414119892464,normalized_decile,3,final_post_u
geometry_plus_gr_pre_u,378289,8.153862789922963,5.629523243566512,-0.2581523778391113,8.149775196084018,0.58099231011211,0.8394190684899641,0.9890771341487593,normalized_decile,3,geometry_plus_gr_pre_u
geometry_tvt_geop,378289,8.614884469548002,6.30807547741419,-0.4476380183424087,8.60324674923333,0.5080110709008192,0.806888384277629,0.9875439148375977,normalized_decile,3,geometry_tvt_geop
final_post_u,378192,8.943933931649463,6.141251179886821,-0.44521542689615645,8.932845985315335,0.5592609045141093,0.8057415281127046,0.9835744806870584,normalized_decile,4,final_post_u
geometry_plus_gr_pre_u,378192,9.111545213410535,6.233314000089856,-0.560408062746064,9.094294858824053,0.5535125015864958,0.8018043744976097,0.9830006980581292,normalized_decile,4,geometry_plus_gr_pre_u
geometry_tvt_geop,378192,9.59432539246808,6.936072356610237,-0.7279245779762635,9.566671602252052,0.47471919025257014,0.7693235182129712,0.9822021618648729,normalized_decile,4,geometry_tvt_geop
final_post_u,378442,9.693097543222338,6.4860496430508325,-0.6811527658901929,9.669134960891954,0.5553400521083812,0.7876794858921579,0.9812467960744314,normalized_decile,5,final_post_u
geometry_plus_gr_pre_u,378442,9.784858705267537,6.539990661642483,-0.5973202682535369,9.766609871351646,0.5560640732265446,0.7761585659097034,0.9804382177453876,normalized_decile,5,geometry_plus_gr_pre_u
geometry_tvt_geop,378442,10.309771238194156,7.368323224681283,-0.7652585587135124,10.281330766112486,0.4718345215383071,0.7465767541657639,0.977756168712775,normalized_decile,5,geometry_tvt_geop
final_post_u,378354,10.663929671734508,7.256764548286277,-0.6675045308144913,10.643018075012453,0.5008907002436871,0.7476040956353045,0.9686563377154728,normalized_decile,6,final_post_u
geometry_plus_gr_pre_u,378354,10.689844103169992,7.3726323249738535,-0.629636337938645,10.671285069382483,0.4881935964731442,0.7410573166928326,0.9689920021989988,normalized_decile,6,geometry_plus_gr_pre_u
geometry_tvt_geop,378354,11.434189441023602,8.303763405057236,-0.831694615934328,11.403901623525234,0.40573906976006596,0.6900891757454659,0.962624949121722,normalized_decile,6,geometry_tvt_geop
final_post_u,378293,11.267232732438773,7.833104769403051,-0.43491497498754766,11.258835748489775,0.4529214127673523,0.7254059683895816,0.9604565773091228,normalized_decile,7,final_post_u
geometry_plus_gr_pre_u,378293,11.380309313304668,7.958445032015266,-0.38331174277037994,11.373852125570444,0.4461435976875068,0.7136452432373848,0.9604803683916964,normalized_decile,7,geometry_plus_gr_pre_u
geometry_tvt_geop,378293,12.220088769292145,9.028776187516842,-0.5652997509701498,12.207006419304166,0.3648573988945077,0.6558699209343023,0.9535783109917445,normalized_decile,7,geometry_tvt_geop
final_post_u,378358,11.985241693931934,8.294134968866695,-0.11773789653613213,11.984663376569394,0.45279074315859585,0.6990945083756653,0.9554681016391883,normalized_decile,8,final_post_u
geometry_plus_gr_pre_u,378358,12.038892651862508,8.264669467590213,-0.1995502347474825,12.037238719360904,0.46430100592560486,0.694247247316034,0.9554575296412392,normalized_decile,8,geometry_plus_gr_pre_u
geometry_tvt_geop,378358,12.847415713912113,9.354297143642619,-0.4142033009449495,12.840736978521218,0.36026461710866425,0.6512192156634722,0.9452687666178593,normalized_decile,8,geometry_tvt_geop
final_post_u,378751,13.292486099725778,9.28723195282799,-0.09818840202087613,13.292123447708105,0.4088675673463568,0.6533949745347207,0.9389625373926406,normalized_decile,9,final_post_u
geometry_plus_gr_pre_u,378751,13.311277352728252,9.291887551045107,-0.044960038365066714,13.311201424221867,0.40772169578430156,0.647676177752666,0.9408371199019937,normalized_decile,9,geometry_plus_gr_pre_u
geometry_tvt_geop,378751,14.069733207299935,10.289738898856955,-0.23832288446193517,14.067714623468172,0.3356241963717588,0.6100155511140565,0.9337981945922255,normalized_decile,9,geometry_tvt_geop
