quotient,groups,rows,rmse_after_oracle_removal,mse_fraction_remaining,mse_fraction_explained
global_mean_bias,1,3783989,9.422347042949287,0.9989898599207553,0.0010101400792447146
well_mean_offset,773,3783989,5.777590856311739,0.3756094025798636,0.6243905974201365
well_start_reanchor,773,3783989,9.624963941076224,1.0424160993812426,-0.04241609938124258
well_affine_offset_slope,773,3783989,4.0422302151702105,0.18385903482059285,0.8161409651794072
k16_segment_mean_offset,12368,3783989,1.1306025263265347,0.01438344082480637,0.9856165591751936
k16_segment_start_reanchor,12368,3783989,2.1448459532497273,0.05176486663823778,0.9482351333617622
k16_segment_affine_offset_slope,12368,3783989,0.4036541348823016,0.0018334188789558875,0.9981665811210441
h64_block_mean_offset,59503,3783989,0.27687475387617233,0.0008626002960328357,0.9991373997039672
h64_block_affine_offset_slope,59503,3783989,0.08166111212750132,7.503665543446417e-05,0.9999249633445655
h128_block_mean_offset,29948,3783989,0.5112447843715434,0.002941038222341509,0.9970589617776585
h128_block_affine_offset_slope,29948,3783989,0.14952560876287033,0.0002515788029170752,0.999748421197083
h256_block_mean_offset,15174,3783989,0.9084208782691843,0.009285752458540793,0.9907142475414592
h256_block_affine_offset_slope,15174,3783989,0.30411971875063654,0.0010407155608221088,0.9989592844391779
h512_block_mean_offset,7787,3783989,1.5582667756807993,0.02732288221221105,0.972677117787789
h512_block_affine_offset_slope,7787,3783989,0.6096466167865398,0.004182146325695599,0.9958178536743044
h1024_block_mean_offset,4090,3783989,2.520683113267369,0.0714956126027769,0.9285043873972231
h1024_block_affine_offset_slope,4090,3783989,1.1737074599183468,0.015501103557658574,0.9844988964423415
geometry_tvt_geop__k16_segment_mean_offset,12368,3783989,1.2335588312253571,0.014982190327403916,0.9850178096725961
geometry_plus_gr_pre_u__k16_segment_mean_offset,12368,3783989,1.281052963813058,0.018180771961588828,0.9818192280384112
final_post_u__k16_segment_mean_offset,12368,3783989,1.1306025263265347,0.01438344082480637,0.9856165591751936
