well_id,fold,k16_segment,rows,error_sum,error_sq_sum,x_sum,x_sq_sum,x_error_sum,start_error,end_error,mean_error,mean_corrected_sse,start_corrected_sse,affine_corrected_sse,error_slope_per_row
03a935ae,0,0,174.0,330.0773627537674,932.7474608684226,15051.0,1740899.0,40099.74098380706,-0.182242348735599,4.423659049271009,1.8969963376653298,306.59191257829536,1058.8345441928645,2.807777163296805,0.026306100072567395
03a935ae,0,1,174.0,1191.2811260682392,8377.239305380344,45327.0,12246671.0,319467.8480982954,4.44935647593411,7.755255942718577,6.846443253265742,221.20067706763075,1221.0090302097492,30.93690292576497,0.02081862184576791
03a935ae,0,2,174.0,1327.1330103663713,10131.954032316375,75603.0,33288491.0,574994.8182910678,7.751363266919725,7.075867534322242,7.627201209002134,9.643531143345172,12.325952836326906,3.483225708468944,-0.003746062730990047
03a935ae,0,3,174.0,1062.1495817363575,6573.963206844914,105879.0,64866359.0,640181.5165877454,7.077277391379539,4.352366454339062,6.104307941013549,90.27508050744655,254.99558244156287,4.494323423626668,-0.013978766818709357
03a935ae,0,4,174.0,127.42079253273187,822.8369987313414,136155.0,106980275.0,81811.83830732264,4.304163326169146,-2.789585531114426,0.732303405360528,729.5263184458845,2949.450211580821,0.05546585968920681,-0.040764103418753465
03a935ae,0,5,174.0,-1117.3118634839539,7926.514135000216,166431.0,159630239.0,-1086875.0617713677,-2.8260089293544297,-9.921683696384209,-6.421332548758356,751.8830988968512,3001.068334411262,0.12328706506286835,-0.04138219049281776
03a935ae,0,6,174.0,-1731.4285056892022,17336.504176262562,196707.0,222816251.0,-1951196.9010087945,-9.95688823311866,-8.567063819391478,-9.95073853844369,107.51181814104712,107.51839860260952,20.425525011846375,0.014084739708644638
03a935ae,0,7,175.0,-1296.511694197532,9678.074429088807,228375.0,298475975.0,-1686250.9358760514,-8.550776576248609,-6.294093059375882,-7.408638252557326,72.68829656906382,300.9722878968241,0.019654226934363805,0.01275598981578132
03a935ae,0,8,174.0,-595.5807843462644,2724.840327166003,257433.0,381311111.0,-863851.6668383587,-6.279808918670824,0.1211638713666616,-3.4228780709555426,686.2399209446726,2106.4372940857975,3.6699463784736963,0.039431882689004834
03a935ae,0,9,174.0,991.030540819902,7089.65776094845,287709.0,476165819.0,1663814.988822438,0.2004022054024972,10.447770002252582,5.695577820804034,1445.1661929151896,6699.4363705892265,4.758910719202049,0.05728178951958757
03a935ae,0,10,174.0,2536.441497034695,37835.85482337156,317985.0,581556575.0,4654745.452516481,10.50133239983188,18.088171759576653,14.577249982958019,861.5130539485399,3752.193175080549,4.298829593859978,0.04418945114741492
03a935ae,0,11,174.0,3673.6659339506823,78051.88967824054,348261.0,697483379.0,7367497.91282253,18.12867575218843,23.89473778327556,21.11302260891197,489.6977571500902,2039.3985092050934,0.424078169861275,0.033384882303570514
03a935ae,0,12,174.0,4538.520700763836,118600.03981562634,378537.0,823946231.0,9883329.346587092,23.92803200952949,27.77105223560648,26.08345230324044,219.75158998342522,1028.1271657855832,1.9760949234918996,0.022272985165557868
03a935ae,0,13,174.0,5027.671205360146,145342.98900983995,408813.0,960945131.0,11818061.187880522,27.788189984048586,29.972260495640512,28.894662099770954,70.12838221038692,283.1531966699695,0.01961105827724907,0.01263746891849734
03a935ae,0,14,174.0,5355.923013400707,164890.08647719037,439089.0,1108480079.0,13519190.576677151,29.98690977379374,31.412361780670835,30.78116674368222,28.52713537827367,138.29401473191683,0.3205875044190982,0.008015837262947937
