well_id,fold,oof_rows,final_rmse_recomputed,final_mae_recomputed,final_bias_recomputed,final_abs_bias,final_first_error,final_end_error,final_error_slope_per_row,geometry_rmse,pre_u_rmse,gr_rmse_delta,u_rmse_delta,gr_cap_fraction_rows,u_adjust_abs_mean,well_affine_intercept,unknown_rows,last_known_row,anchor,gate_segments,donor_dist_min,donor_dist_max,delta_abs_median,delta_abs_max,end_minus_anchor,within10,within25,known_prefix_rows,raw_suffix_rows,suffix_gr_missing_fraction,prefix_gr_missing_fraction,suffix_z_range,suffix_tvt_range,suffix_u_true_range,suffix_u_true_end_minus_start,true_tvt_end_minus_anchor,true_first_suffix_minus_anchor,z_first_suffix_minus_anchor,whole_xy_path_length,suffix_xy_displacement,persistent_episode_count,persistent_episode_rows,persistent_episode_sse
03a935ae,0,2786,16.877527100552683,13.161308694496077,9.687823003408393,9.687823003408393,-0.182242348735599,32.09146707797299,0.012441619113623412,17.530946943179018,17.07846359000048,-0.45248335317853616,-0.2009364894477983,0.31299353912419237,0.5317834439323057,-7.637131612312208,2786,1643,12792.17,0,1862.5448268766208,2318.612868532724,1.5843528193188507,4.0,-15.318812915450938,0.589375448671931,0.7634601579325198,1644,2786,0.04055994256999282,0.037712895377128956,105.67000000000007,53.56999999999971,67.21999999999935,42.220000000001164,-49.599999999998545,-0.020000000000436557,0.040000000000873115,4082.1309102887617,2779.6849232422214,1.0,1054.0,722943.9965164617
044af7d1,0,4519,6.056815817945325,5.32258819868003,-5.2861188836578545,5.2861188836578545,-0.1014828781244432,-6.801216083367763,-0.000576959876657524,5.899719469755534,6.196922389982383,0.2972029202268489,-0.140106572037058,0.0,1.105314005050488,-3.9827665222885127,4519,1547,11850.28,0,1285.291581247564,1682.0519731340437,0.7052586758840764,3.98604509569399,3.158711647348899,0.9816331046691746,1.0,1548,4519,0.6589953529541934,0.4509043927648579,144.70000000000073,23.219999999999345,129.58000000000175,-129.58000000000175,6.869999999998981,0.05999999999949068,-0.06999999999970896,5740.995462522661,4513.568594992226,0.0,0.0,0.0
05a0ee4d,0,4348,6.912356232322433,5.967633951949141,-2.184174958733837,2.184174958733837,1.9831713322037103,-2.5036945448646293,0.0022149517585565368,5.790670482991822,6.96959210474931,1.178921621757488,-0.05723587242687689,0.41858325666973323,0.8834912286288064,-6.998372605956474,4348,1749,11927.5,0,1288.1901107076962,1784.4681431242443,3.8888908231760415,4.0,-32.19971550830607,0.829116835326587,1.0,1750,4348,0.35970561177552896,0.224,191.39999999999964,41.20999999999913,159.67000000000007,159.66999999999825,-31.700000000000728,0.030000000000654836,0.040000000000873115,5584.102363492446,4340.912764039511,2.0,743.0,94500.62963055779
0849b4e2,0,5537,8.580333136833556,5.417031052645282,4.382209109404373,4.382209109404373,0.0879854509621509,28.684304839058317,0.003348824655843634,7.664021905249737,8.160162226970476,0.4961403217207385,0.4201709098630797,0.0,0.6598699845383922,-4.887337537970805,5537,1898,11944.08,0,628.8368744158328,968.654194978956,0.7672136856813445,2.5134876888116757,-11.199441285862934,0.8212028174101499,0.9669496117030884,1899,5537,0.2499548491963157,0.16429699842022116,132.8099999999995,43.0,165.83000000000175,-165.83000000000175,-33.030000000000655,-0.00999999999839929,-0.010000000000218279,6822.240718455307,5533.407731533905,2.0,990.0,338813.54087758187
0a57a29c,0,5821,9.511312647411202,6.376468381577724,5.900616657699961,5.900616657699961,-2.0800887770692498,-2.904317977729079,-0.002997963189970441,8.477853616573093,9.449711507757828,0.9718578911847349,0.06160113965337466,0.0,0.40564413229796675,14.62468954051394,5821,1372,11195.4,0,773.178686413975,1254.4518485975989,1.0579140038102974,2.745292428430153,11.912464052696292,0.6660367634427075,1.0,1373,5821,0.5299776670675141,0.3525127458120903,171.64000000000124,22.329999999999927,186.33000000000175,186.33000000000175,14.69000000000051,0.0,0.020000000000436557,6907.854671613812,5816.044795872704,1.0,1944.0,498361.64828797744
0c1b160c,0,5054,4.536156584820747,3.672138228477661,0.9564626293826208,0.9564626293826208,-0.0073859348995028,7.665112149823471,0.0011996798978658213,5.765437308606593,4.780886470518716,-0.9845508380878769,-0.2447298856979696,0.0,0.581736865776883,-2.0745286325753765,5054,1659,11159.320000000002,0,1569.2970929848673,1804.648515147656,0.875982074024946,3.3244081291797483,4.526801657786418,1.0,1.0,1660,5054,0.5209734863474476,0.48734939759036144,149.23000000000138,27.18000000000029,154.82000000000153,-154.82000000000153,-5.600000000002183,-0.010000000002037268,-0.029999999998835847,6291.868248218438,5047.989073878669,0.0,0.0,0.0
109d9d70,0,4215,4.14105020827846,3.6858745312464447,3.5438949381456246,3.5438949381456246,4.560241571991355,-1.7114826839188026,-0.00048132209851121563,7.3059005542631175,4.244008103024167,-3.0618924512389505,-0.10295789474570682,0.6835112692763938,1.104279955991735,4.55804059970876,4215,1635,12228.18,0,645.879008986854,1693.0263091430097,4.0,4.0,24.372845523437903,1.0,1.0,1636,4215,0.4132858837485172,0.26466992665036676,164.47999999999956,34.409999999999854,186.92999999999847,186.92999999999847,22.709999999999127,-0.010000000000218279,0.07999999999992724,5501.1173956250295,4206.830537542545,0.0,0.0,0.0
10be2420,0,3271,0.9833023833806961,0.8330106420841971,-0.3657721730233046,0.3657721730233046,-0.0175441808787581,-0.4466644240910682,0.0007056321754228943,1.2744126014594166,1.1154426525308012,-0.15896994892861538,-0.13214026915010513,0.0,0.2964884519228069,-1.5194807798397376,3271,1931,10823.21,0,1100.5713941516517,1369.7567008777812,0.8930222611753303,3.0537732707238394,-19.06700658898096,1.0,1.0,1932,3271,0.5166615713848975,0.38768115942028986,172.5599999999995,21.859999999998763,152.89999999999964,152.89999999999964,-19.669999999998254,-0.00999999999839929,0.050000000001091394,4711.48598118221,3264.111954958108,0.0,0.0,0.0
14fee784,0,4910,25.692714979513173,22.311071543594565,22.311071543594565,22.311071543594565,2.7624290957683115,11.417396136321258,0.0023387351426465398,25.91714427805064,26.05432778801325,0.13718350996261108,-0.3616128085000767,0.4134419551934827,1.8725281242868477,16.57064613596862,4910,1495,10880.95,0,874.1217920432035,1345.2706556397566,2.9688663103061232,4.0,25.829960553782136,0.2798370672097759,0.5258655804480652,1496,4910,0.6004073319755601,0.393048128342246,184.98000000000138,52.19000000000051,192.48000000000138,192.48000000000138,7.489999999999782,-0.010000000000218279,0.039999999999054126,6133.95869663504,4904.074787694383,2.0,3536.0,3173382.2013271204
1590af81,0,3799,9.120581309222137,7.523209332653988,-7.465393039158157,7.465393039158157,0.1442815606042131,-19.54337533232137,-0.004573468571067152,9.943472633380232,9.531084442277617,-0.4123881911026146,-0.4105031330554798,0.18188997104501184,1.1135183501152728,1.219623777298365,3799,1431,11446.95,0,877.5799813406919,1229.0772375751644,1.3589108232044345,4.0,-15.671572533658336,0.7046591208212688,1.0,1432,3799,0.2082126875493551,0.07960893854748603,141.09000000000015,19.2400000000016,145.75,145.75,4.679999999998472,0.019999999998617568,0.020000000000436557,5019.2941829671,3792.5597049222733,1.0,1122.0,243062.47930139018
