episode_id,well,decoder_rows,posterior_mean_error_recomputed_ft,marginal_map_mean_error_ft,viterbi_mean_error_ft
b19b0395:000,b19b0395,4562,61.29535423060045,60.400565541587156,-5.508377904338082
8a3da6d1:000,8a3da6d1,2805,-54.334477540107095,-53.72250623879978,-61.32867379674
8d5d46d7:000,8d5d46d7,5348,-57.31977206432325,-58.60424831707063,-13.473489154719921
91db7070:002,91db7070,3200,-50.76945953125014,-51.33175624990522,-42.49841249989594
f6d009f4:001,f6d009f4,1703,-48.64156694069299,-50.01874926588322,-43.87371109793856
fc0d20b2:000,fc0d20b2,2605,-46.77496468330148,-48.6186026870959,11.417347408935976
97cd5bf9:000,97cd5bf9,2368,-44.46002132601367,-46.853771114803756,-8.491967905305177
91b301ce:000,91b301ce,5025,42.538698507462534,42.43206965186743,8.817791044867375
708caea9:000,708caea9,6242,-47.472975969240764,-47.377689842908005,-28.78647709056512
c9578d27:000,c9578d27,3012,-46.339353253652206,-44.559047144688606,-5.120600929507172
b4d8dd4f:000,b4d8dd4f,1339,-42.80310679611669,-42.64474234494975,-26.806915608563294
fa31da94:000,fa31da94,4042,42.880372835229956,46.9807817913413,0.04432706590877716
bb682ebd:000,bb682ebd,3809,-40.76593410343937,-41.03165660270252,-19.20815962184388
a4f989c2:000,a4f989c2,938,39.39949200426458,39.564285714424734,46.750106609955225
f0188a48:001,f0188a48,2219,39.56677377196924,42.64703920699725,-1.6237809823240243
084d66f9:000,084d66f9,713,36.24009957924244,39.20213183744733,6.683057503612823
4caa7289:000,4caa7289,5099,-36.9613700725634,-42.30728378106539,-11.211853304470203
4c2208f5:000,4c2208f5,4913,-37.797379299816946,-37.961231426723074,-41.64773661703841
811f52b3:000,811f52b3,3195,-38.120273552425786,-38.14667918616181,6.592851330315499
f6d009f4:000,f6d009f4,2585,-37.2161352030949,-38.4133423596494,-32.24075048343477
d0cb63ae:000,d0cb63ae,2269,-36.53495879241973,-36.850546496202476,14.77977523148335
93f5d2e6:000,93f5d2e6,1483,34.418596089008595,35.94356035075201,27.74062710731832
a9c9b150:000,a9c9b150,3582,-36.58849232272486,-39.96412618642649,0.1905080961392916
a3f71395:000,a3f71395,2764,-36.94839417510869,-50.808422575928475,3.5100832128400627
ebe69318:000,ebe69318,3943,32.40380484402726,33.77454729914978,4.546573674975382
f2d4c8c9:000,f2d4c8c9,1682,-35.41985107015472,-36.80462544582653,0.46642092757720827
c66be2b8:001,c66be2b8,1192,-34.640086409396126,-37.03768456372883,32.598515100772765
52f1e77a:000,52f1e77a,3113,33.86123289431401,34.02578541614746,-8.17985223246661
3407f5bf:000,3407f5bf,1685,29.314112759643752,30.110534124736375,30.222700296843392
1b1c5372:000,1b1c5372,2159,33.22281936081506,36.91828624375024,27.148925428548317
729665c0:001,729665c0,3249,33.64962896275761,34.92030470928697,-7.409335179953653
113011eb:000,113011eb,1866,33.952270632368574,33.6683011791285,2.454340836116462
