variant,abs_episode_mean_error_median_ft,abs_episode_mean_error_p90_ft,variant_error_vs_actual_spearman,variant_error_sign_matches_actual_fraction,variant_closer_to_truth_than_current_fraction,variant_closer_to_truth_than_current_sse_fraction
current,36.75072865784754,77.20200889093387,0.6128155939437422,0.7539184952978056,0.0,0.0
exact_mean_position,91.49045870336333,179.58822763340604,0.5380432144464616,0.6959247648902821,0.03605015673981191,0.007762026419489839
boundary_normalized,36.545877237588016,77.48687149952944,0.6130003348486663,0.7539184952978056,0.5579937304075235,0.5562997616995309
momentum_one,36.60536744490743,82.16591713539097,0.6119386060411525,0.768025078369906,0.43260188087774293,0.40250580113388595
exact_mean_plus_momentum_one,74.43026079175661,163.3229343820066,0.542888527555148,0.7021943573667712,0.08620689655172414,0.04091413692178012
boundary_plus_momentum_one,29.120671665812765,78.42584982783201,0.6202343875971851,0.799373040752351,0.6598746081504702,0.7243815275823082
all_three_corrections,45.459042087275726,130.6717562521531,0.5438573314102352,0.7163009404388715,0.30877742946708464,0.24349376318922583
