observed_emission_evidence_class,episodes,wells,episode_sse_fraction,current_prior_vs_actual_spearman,current_prior_sign_match_fraction,current_prior_sign_match_sse_fraction_within_group,position_effect_vs_actual_spearman,position_effect_sign_match_fraction,actual_abs_better_than_prior_fraction,viterbi_recoverable_fraction,viterbi_recoverable_sse_fraction_within_group,viterbi_mean_error_sign_matches_actual_fraction,viterbi_abs_mean_error_better_fraction,viterbi_abs_mean_error_better_sse_fraction_within_group,viterbi_abs_mean_error_within5_fraction,all_row_emission_truth_strong_sse_fraction_within_group,all_row_emission_candidate_strong_sse_fraction_within_group,imputed_emission_truth_strong_sse_fraction_within_group,imputed_emission_candidate_strong_sse_fraction_within_group,affine_observed_truth_strong_sse_fraction_within_group,affine_observed_candidate_strong_sse_fraction_within_group,pre128_error_slope_abs_median_ft_per_row,episode_error_slope_abs_median_ft_per_row,pre128_error_change_abs_median_ft,pre128_slope_sign_matches_actual_fraction,current_prior_abs_error_median_ft,actual_abs_error_median_ft,actual_to_current_prior_abs_ratio_median
candidate_strong,180,154,0.3341580843665639,0.6209183411010627,0.7555555555555555,0.8644601939798022,-0.5202444519892588,0.31666666666666665,0.7944444444444444,0.6222222222222222,0.8097831014322734,0.7388888888888889,0.6222222222222222,0.8097831014322734,0.20555555555555555,0.0,0.9966380443119427,0.0019610700278849804,0.7034437798542418,0.04924945842457208,0.9056555594925951,0.02745560494300375,0.002340555037283,3.5275000000001437,0.9444444444444444,37.3604235734619,15.191366823652391,0.4949986037871108
near_tie,180,148,0.09230587509917872,0.5314464438202826,0.7166666666666667,0.8930280590770642,-0.3641120610718438,0.34444444444444444,0.8277777777777777,0.5666666666666667,0.7836992848629583,0.8388888888888889,0.5722222222222222,0.7871214257271693,0.23333333333333334,0.15685412270788934,0.3572036974561282,0.12352360102718983,0.2569944698540903,0.23838912713170524,0.25120025075394786,0.0240596645531947,0.0021665576346545498,3.146000000001549,0.9333333333333333,34.94381642660177,12.078354450430535,0.42135233816776607
truth_strong,278,234,0.5735360405342573,0.6392058822954445,0.7769784172661871,0.8402440262262362,-0.4695143151811379,0.31654676258992803,0.8057553956834532,0.6187050359712231,0.8462769870980879,0.7553956834532374,0.6187050359712231,0.8303400449136179,0.20863309352517986,0.9989085298805593,0.0,0.9156813044007998,0.0003367497242219516,0.9022781977777025,0.07655432787270888,0.02360532712072095,0.0031743769733100996,3.09599999999955,0.935251798561151,37.71219597899257,14.934355957715141,0.4735371215987113
