members,best_member_rmse,full_oof_weights_diagnostic,full_oof_rmse_diagnostic,crossfit_rmse,crossfit_delta_vs_best_member,crossfit_folds_beating_best_parent,crossfit_fold_weights
hmm_lgb_exp148|likpf_mean|pf_medoid_k8_m1,8.3277284922205,"[1.0, 0.0, 1.8306368153817612e-17]",8.3277284922205,8.3277284922205,0.0,2,"[[1.0, 1.734723475976807e-17, 6.6148119181050676e-18], [0.9999999999999998, 0.0, 1.487144844378279e-16], [1.0, 3.9898639947466563e-17, 9.127073454462574e-19], [1.0, 0.0, 0.0], [0.9999999999999998, 1.3877787807814454e-16, 0.0]]"
hmm_lgb_exp148|likpf_mean|pf_mix_e02,8.3277284922205,"[1.0, 1.3877787807814457e-17, 0.0]",8.3277284922205,8.3277284922205,0.0,0,"[[1.0, 1.0408340855860843e-17, 0.0], [1.0, 6.938893903907228e-17, 2.598298020966628e-18], [1.0, 0.0, 5.071734837698278e-18], [1.0, 0.0, 0.0], [1.0, 0.0, 0.0]]"
hmm_lgb_exp148|likpf_mean|pf_temp_t2,8.3277284922205,"[1.0, 0.0, 9.919333942964187e-18]",8.3277284922205,8.3277284922205,0.0,1,"[[0.9999999999999998, 1.1622647289044605e-16, 0.0], [1.0, 0.0, 1.3095396861959046e-17], [1.0, 1.734723475976807e-18, 0.0], [1.0, 2.7755575615628914e-17, 0.0], [1.0, 0.0, 0.0]]"
hmm_lgb_exp148|likpf_mean|pf_temp_t4,8.3277284922205,"[1.0, 1.3877787807814457e-17, 0.0]",8.3277284922205,8.3277284922205,0.0,0,"[[1.0, 0.0, 0.0], [1.0, 0.0, 3.634658146676824e-17], [1.0, 2.949029909160572e-17, 6.558607338426033e-19], [0.9999999999999998, 1.2490009027033009e-16, 0.0], [1.0, 0.0, 0.0]]"
hmm_lgb_exp148|likpf_mean|pf_mix_e05,8.3277284922205,"[1.0, 0.0, 3.204112880650486e-18]",8.3277284922205,8.3277284922205,0.0,0,"[[1.0, 0.0, 6.0084964437043885e-18], [1.0, 2.7755575615628914e-17, 0.0], [1.0, 0.0, 1.5784023716019148e-18], [1.0, 2.7755575615628914e-17, 1.2981890519126518e-18], [1.0, 0.0, 0.0]]"
hmm_lgb_exp148|pf_medoid_k8_m1|pf_mix_e02,8.3277284922205,"[1.0, 0.0, 2.7755575615628914e-17]",8.3277284922205,8.3277284922205,0.0,0,"[[1.0, 2.7755575615628914e-17, 0.0], [1.0, 0.0, 0.0], [1.0, 2.7755575615628914e-17, 0.0], [1.0, 0.0, 0.0], [1.0, 2.7755575615628914e-17, 0.0]]"
hmm_lgb_exp148|pf_medoid_k8_m1|pf_temp_t2,8.3277284922205,"[1.0, 0.0, 0.0]",8.3277284922205,8.3277284922205,0.0,0,"[[1.0, 2.7755575615628914e-17, 2.7755575615628914e-17], [1.0, 0.0, 0.0], [1.0, 2.7755575615628914e-17, 0.0], [1.0, 0.0, 0.0], [1.0, 0.0, 0.0]]"
hmm_lgb_exp148|pf_medoid_k8_m1|pf_temp_t4,8.3277284922205,"[1.0, 0.0, 0.0]",8.3277284922205,8.3277284922205,0.0,1,"[[0.9999999999999998, 1.3183898417423731e-16, 0.0], [1.0, 0.0, 2.7755575615628914e-17], [1.0, 5.551115123125783e-17, 0.0], [1.0, 0.0, 2.7755575615628914e-17], [1.0, 5.551115123125783e-17, 0.0]]"
hmm_lgb_exp148|pf_medoid_k8_m1|pf_mix_e05,8.3277284922205,"[1.0, 0.0, 0.0]",8.3277284922205,8.3277284922205,0.0,0,"[[1.0, 0.0, 0.0], [1.0, 5.551115123125783e-17, 0.0], [1.0, 2.7755575615628914e-17, 0.0], [1.0, 0.0, 0.0], [1.0, 5.551115123125783e-17, 0.0]]"
hmm_lgb_exp148|pf_mix_e02|pf_temp_t2,8.3277284922205,"[1.0, 2.7755575615628914e-17, 1.3877787807814457e-17]",8.3277284922205,8.3277284922205,0.0,1,"[[1.0, 0.0, 0.0], [1.0, 1.3877787807814457e-17, 4.163336342344337e-17], [0.9999999999999999, 5.551115123125783e-17, 5.551115123125783e-17], [0.9999999999999998, 1.2490009027033009e-16, 0.0], [1.0, 5.551115123125783e-17, 0.0]]"
