size,members,full_oof_weights_diagnostic,full_oof_rmse_diagnostic,crossfit_rmse,crossfit_fold_weights
6,hmm_lgb_exp148|hmm_exp218_shrink_a050|hmm_exp218_residual_scale|exp226_k16|selfgr_hmm_a070|exp192_likpf,"[0.38508799639749053, 0.10839355155824772, 0.019904531520277102, 0.30217631066649864, 0.18443760985748606, 3.562930692869084e-18]",7.678929568668954,7.728609592389132,"[[0.3464549318883052, 0.1761278215610064, 0.025468777630438286, 0.2629086166873707, 0.18903985223287934, 9.740038135317258e-19], [0.38692013554591975, 0.09525051232014325, 0.0, 0.33665224553075085, 0.1811771066031863, 0.0], [0.3122850692895509, 0.14023382453565733, 0.035003817188591316, 0.2982479293377203, 0.21422935964848006, 0.0], [0.4203779881602179, 0.07511604084028982, 0.0045189314502568755, 0.33454033758191165, 0.16544670196732375, 0.0], [0.4770628812855744, 0.027305701925178078, 0.05099459842850735, 0.2743688624846832, 0.1702679558760568, 0.0]]"
15,hmm_lgb_exp148|hmm_exp218_shrink_a050|hmm_exp218_residual_scale|exp226_k16|selfgr_hmm_a070|exp192_likpf|selfgr_hmm_a150|hmm_peer_atlas|likpf_mean|exact_hmm|pf_medoid_k8_m0|pf_medoid_k8_m1|pf_mix_e02|pf_medoid_k8_m2|pf_temp_t2,"[0.3784576850801474, 0.12957204369184105, 0.007861217760372106, 0.3029527895627218, 0.0, 6.61318200498567e-17, 2.9221653180682315e-17, 0.0, 3.345117562168189e-17, 0.1811562639049174, 0.0, 1.629230737707995e-17, 0.0, 2.0329148000959337e-17, 1.4713552464264324e-18]",7.6433100752536545,7.73966621750857,"[[0.34968027347854735, 0.18677460420716394, 0.017058543099001573, 0.2619151847918614, 0.030755211194771353, 8.97030901960564e-18, 3.448987042515248e-18, 0.0, 2.4337464995394284e-17, 0.15381618322865437, 1.7293933629268062e-17, 1.4349032339702617e-17, 6.586619095661878e-17, 0.0, 0.0], [0.38295690917882746, 0.09959325597152177, 0.0, 0.33524433948535043, 0.12004251710386483, 0.0, 8.407199862490527e-17, 0.062162978260435334, 0.0, 0.0, 2.379867080676972e-17, 2.03292238548165e-17, 3.767645861458477e-17, 5.587117272600468e-17, 0.0], [0.3048126848702584, 0.16850957392535768, 0.017785141917476828, 0.29975877880495744, 0.010203053706066976, 8.079278257481772e-17, 0.0, 0.0, 6.886927581060725e-17, 0.19893076677588237, 1.4682613266417386e-18, 1.950406233398315e-18, 2.3809274256349746e-17, 4.597214432370531e-17, 0.0], [0.3986635220476384, 0.09687548712664192, 0.0, 0.33322542771780267, 0.0, 1.4654262211608367e-17, 0.0, 0.0, 0.0, 0.17123556310791707, 0.0, 1.1455245833783459e-17, 3.648714841524866e-17, 0.0, 0.0], [0.45930500435631794, 0.041939314192832984, 0.03793006929271558, 0.27383143239334834, 1.0709204993189647e-16, 0.0, 0.0, 0.0, 0.0, 0.1869941797647851, 1.4265704069841514e-18, 2.968563220161588e-17, 6.702617622664481e-18, 0.0, 0.0]]"
10,hmm_lgb_exp148|hmm_exp218_shrink_a050|hmm_exp218_residual_scale|exp226_k16|selfgr_hmm_a070|exp192_likpf|selfgr_hmm_a150|hmm_peer_atlas|likpf_mean|exact_hmm,"[0.3784565761979224, 0.12957339549012303, 0.007860904693944628, 0.30295285343625383, 0.0, 0.0, 1.2988588501654653e-17, 0.0, 1.9747514374049945e-17, 0.18115627018175612]",7.643310075253727,7.739666340081026,"[[0.34968001227164086, 0.18677456914950233, 0.017059072179566006, 0.26191504004742416, 0.030755990214313016, 0.0, 0.0, 0.0, 1.1019898643778449e-17, 0.15381531613755378], [0.38295685886535646, 0.09959331495350852, 3.8545783535235164e-17, 0.3352443842146072, 0.12004250424035079, 0.0, 7.118700965983512e-18, 0.062162937726176995, 0.0, 0.0], [0.3048117668743368, 0.16851013533058876, 0.01778554527093558, 0.29975874854654283, 0.010203058252847428, 1.1483384484604158e-18, 0.0, 4.795757610543998e-17, 0.0, 0.19893074572474842], [0.39866363569172664, 0.09687538872032422, 0.0, 0.3332254350634936, 7.602438338962566e-18, 0.0, 0.0, 3.753139461812761e-17, 9.714594402279969e-18, 0.17123554052445553], [0.45930526735857014, 0.04193908885197906, 0.037929969726711886, 0.27383151895860364, 0.0, 2.3562107399674988e-17, 0.0, 0.0, 0.0, 0.1869941551041353]]"
