observed_emission_evidence_class,episodes,rows,exp209_pooled_rmse_ft,exp355_pooled_rmse_ft,sse_reduction_fraction,mean_rmse_gain_ft,median_rmse_gain_ft,improved_episode_fraction,kernel_bias_vs_exp209_mean_error_spearman,kernel_bias_vs_exp355_mean_error_spearman,exp209_bias_sign_match_fraction,exp355_bias_sign_match_fraction
candidate_strong,180,264181,25.05000689862918,22.975516160263613,0.1587698023778369,1.7878220198366683,0.044117273782611655,0.5777777777777777,0.5225531652211488,0.5287796948465487,0.8166666666666667,0.7944444444444444
near_tie,180,124049,19.21324370888291,17.211499303653554,0.19751666159966175,0.824723373456709,0.16101944700249593,0.5666666666666667,0.7537002170848894,0.6892949370865356,0.8833333333333333,0.8555555555555555
truth_strong,278,419480,26.04398164752503,20.574227865660937,0.37593140281771353,4.160633871965122,1.2630397209625555,0.6402877697841727,0.6622405348110006,0.6244040752026304,0.8525179856115108,0.7661870503597122
