episode_id,well,rows,episode_sse_weight,observed_emission_evidence_class,viterbi_recovery_class,pre128_kernel_bias_sum_ft,pre128_true_minus_init_rate_median,exp209_mean_error_ft,exp355_mean_error_ft,exp209_rmse_ft,exp355_rmse_ft,rmse_gain_ft,exp355_sse_reduction_fraction,pre128_bias_sign_matches_exp209_error,pre128_bias_sign_matches_exp355_error,exp355_mu_adjustment_abs_mean
000d7d20:000,000d7d20,242,25728.70604174894,candidate_strong,partial_recovery,-0.1974296713200737,-1.8189894035458565e-12,10.309940082644415,10.354460140303507,10.311011934561275,10.355496427636549,-0.04448449307527369,-0.008647153630114035,False,False,0.004758647867118689
000d7d20:001,000d7d20,271,28101.87872624924,candidate_strong,partial_recovery,-0.3212096905819032,-1.8189894035458565e-12,10.182964944649308,10.307921911337392,10.183170894645459,10.308445969182058,-0.12527507453659936,-0.0247556784265055,False,False,0.00599122636722851
00bbac68:000,00bbac68,295,34466.32885199924,candidate_strong,not_better,3.4669326544586987,-0.0100000000020372,10.797291525423608,10.80590316144103,10.80902461175959,10.817014276686193,-0.007989664926602913,-0.0014788786330957038,True,True,0.0019525944905997119
00e12e8b:000,00e12e8b,933,165598.22933950217,candidate_strong,partial_recovery,-2.907596796626212,0.0099999999983992,-13.282504823151212,-13.982424579742556,13.322539682836474,14.026167959604656,-0.7036282767681818,-0.10841916240209204,True,True,0.0037591006541727342
00e12e8b:001,00e12e8b,197,24368.34492199984,candidate_strong,not_better,4.6941798788598605,-0.0200000000022555,11.110842639593868,11.79764476591989,11.121923500239374,11.809376445581382,-0.6874529453420077,-0.12744178476341972,True,True,0.00619746156218271
015fe0d2:000,015fe0d2,858,180721.51100599708,candidate_strong,not_better,1.180093839591123,-0.0100000000020372,14.42931468531457,4.519824091834386,14.513136522083064,4.858625903751924,9.654510618331141,0.887926131901218,True,True,0.013173786214909526
01869cd4:000,01869cd4,363,51637.1434737481,candidate_strong,partial_recovery,4.409026104945745,-0.0100000000020372,11.8943209366389,11.802394253131032,11.926905883326123,11.846685266166885,0.08022061715923812,0.013406802262244,True,True,0.014693234850861029
01869cd4:001,01869cd4,477,191492.0704134984,candidate_strong,partial_recovery,3.462747770848207,-0.0100000000002182,19.525186582809127,13.473327595474355,20.036239202255935,13.94774167633441,6.088497525921525,0.5154089655853846,True,True,0.005796594568423015
028d7b28:000,028d7b28,4839,4907248.151781209,candidate_strong,large_recovery,0.4456491493048153,-0.0399999999990541,29.297103223806428,29.439072210165023,31.844996024626454,31.9211873202653,-0.07619129563884641,-0.004790858945655563,True,True,0.019748539221412408
02e7fe5a:000,02e7fe5a,652,182329.435948252,near_tie,partial_recovery,-0.6090569055390996,-0.0300000000006548,-16.350089723926477,-10.15188701193201,16.722630599094174,10.227143923999895,6.495486675094279,0.6259759377938591,True,True,0.006868997445915655
0498acab:000,0498acab,278,35377.465595750655,near_tie,not_better,-2.468595865099056,-0.0100000000002182,-11.261519784172764,-13.022431594758162,11.280827562209774,13.043435381876243,-1.762607819666469,-0.33690965781588744,True,True,0.007883397453867005
059c8f24:000,059c8f24,293,67888.23761975138,near_tie,not_better,-2.181137660378782,0.0699999999997089,-15.045462457338038,-11.82031699662243,15.221710471953676,11.968720700677084,3.2529897712765923,0.3817436995218487,True,True,0.05740341048476682
05a0ee4d:000,05a0ee4d,287,37155.848026748594,truth_strong,not_better,4.473685992211985,-0.0700000000015279,11.358712543553795,42.74923640176181,11.378175825264007,43.063498401981754,-31.685322576717745,-13.324297601068434,True,True,0.007663006683908789
05a0ee4d:001,05a0ee4d,445,56288.003823251376,near_tie,not_better,-5.247286568638295,0.0,-11.234428089887778,36.07695978324103,11.246772702959083,36.15898101061404,-24.912208307654957,-9.336571905534637,True,False,0.007213000486874032
084d66f9:000,084d66f9,713,1147993.0776084906,truth_strong,large_recovery,2.580842052874217,-0.0299999999988358,36.24009957924244,1.5384268302711945,40.12590768934824,3.170011010101861,36.95589667924638,0.9937587467989815,True,True,0.023663691869932873
08fecf00:000,08fecf00,1658,300726.5013797421,truth_strong,partial_recovery,0.932270025280691,-0.0100000000020372,13.390917671893671,11.650572605571849,13.467704778552914,11.777774603599603,1.6899301749533109,0.2352151045768408,True,True,0.0041137294680244005
08fecf00:001,08fecf00,246,43065.22173924936,truth_strong,partial_recovery,1.8347337154102807,-0.0199999999986175,13.146388211382012,6.06804692291515,13.23109507897281,6.195485861058601,7.035609217914209,0.7807401262067544,True,True,0.005006573917853501
09053135:000,09053135,2792,1186981.539321516,truth_strong,partial_recovery,-2.4012978475995377,0.0100000000020372,-20.38964971346719,-20.054697086990384,20.618842219794583,20.293869898226657,0.32497232156792677,0.03127347147882642,True,True,0.004412836346098525
09441b8d:000,09441b8d,716,103898.94486475136,candidate_strong,not_better,-3.844198300670208,0.0099999999983992,-11.988943435754267,-10.685448210542605,12.046171930990921,10.750409294428765,1.2957626365621557,0.2035621641191906,True,True,0.0066163618156801106
09441b8d:001,09441b8d,1851,701356.5972215094,near_tie,large_recovery,1.1210146472477454,0.0099999999965803,-19.25828254997312,-17.524959040612053,19.46553003786582,17.743860917633086,1.7216691202327326,0.16907125790509492,False,False,0.006382508718511077
09ec2ca9:000,09ec2ca9,2162,324965.7671390063,truth_strong,large_recovery,-1.1424776862112085,0.0299999999970168,-12.223706290471906,-11.899917782093297,12.260013882427712,11.937989005550962,0.32202487687674974,0.051842629737766543,True,True,0.004397720664430035
0c1b160c:000,0c1b160c,233,26554.641591249547,truth_strong,not_better,-1.859544835359666,1.8189894035458565e-12,-10.669452789699486,-19.693745443319866,10.675599226580426,19.70003836870965,-9.024439142129223,-2.4052548561818607,True,True,0.006559754306060291
0c1b160c:001,0c1b160c,211,22877.737963249583,near_tie,partial_recovery,1.0583295890491602,-0.0200000000004365,10.409869668246351,5.286488424712925,10.412746919234447,5.292118556545621,5.1206283626888265,0.7416975629416902,True,True,0.0018674573805009772
0dc5e64d:000,0dc5e64d,486,72944.50468475168,truth_strong,not_better,-2.912036546042012,-0.0399999999990541,-12.209359053498083,-18.254500740263826,12.25118661295366,18.282174024882075,-6.030987411928415,-1.2268930856545768,True,True,0.005032429961758463
0dc5e64d:001,0dc5e64d,162,19253.4737564998,candidate_strong,not_better,-5.727978282407106,-0.0199999999986175,10.891580246913522,11.01444068620724,10.901770655961531,11.026442653122977,-0.12467199716144606,-0.023002661103348254,False,False,0.013134643166267794
0dc835f3:000,0dc835f3,131,14913.745161249944,candidate_strong,not_better,1.1795662880244773,0.0,10.664980916030515,10.665287114611816,10.669835186651428,10.670161197142486,-0.0003260104910580708,-6.110974834805383e-05,True,True,0.005476534671906236
0dc835f3:001,0dc835f3,183,21386.166480749027,candidate_strong,not_better,1.5965525246919825,0.0,10.803336065573523,10.80448263129702,10.810379165829989,10.811640402598385,-0.001261236768396401,-0.0002333517303512167,True,True,0.011754062689248827
0dc835f3:002,0dc835f3,477,82712.44637474883,candidate_strong,not_better,2.699907229625389,0.0199999999986175,13.09973689727454,13.103826267365623,13.168194830094627,13.17238317387106,-0.004188343776432291,-0.0006362314521561885,True,True,0.024556187460980195
0dd99dc5:000,0dd99dc5,525,115242.08255075169,truth_strong,large_recovery,-1.9927554253776116,0.0100000000002182,-14.764050476190588,-0.6227214709961117,14.815826965380584,1.7978815860661812,13.017945379314403,0.9852744890049303,True,True,0.015974797761768342
0e5e560d:000,0e5e560d,2689,557325.9491865125,candidate_strong,partial_recovery,-4.480667255289488,0.0,-14.153448121978597,-2.1616749025290525,14.39657655767772,5.025054309296306,9.371522248381414,0.8781675276184377,True,True,0.010769689388655941
109d9d70:000,109d9d70,2679,1094433.2109150137,truth_strong,partial_recovery,-1.5600232577229056,-0.0300000000006548,-20.030939156401768,-15.473090483513745,20.21195277690892,15.665236851788126,4.546715925120793,0.39930034645663515,True,True,0.013340999923387333
10a1281a:000,10a1281a,3087,774389.6578620134,truth_strong,large_recovery,-1.5535115596915352,-0.0249999999978172,-15.494479429867331,-15.135691053152623,15.838405487632741,15.445683119454184,0.392722368178557,0.04897632909462535,True,True,0.01280478833576329
113011eb:000,113011eb,1866,2224378.117111483,truth_strong,large_recovery,0.6306104274011908,-0.0099999999983992,33.952270632368574,29.97351264455141,34.526176573186504,30.446105730075573,4.080070843110931,0.22238160072936008,True,True,0.00810643986302084
1131525f:000,1131525f,195,23256.810939999617,truth_strong,large_recovery,4.224849682607692,-0.0199999999986175,10.908671794871704,10.995717109927389,10.920883532398062,11.007004054481042,-0.0861205220829806,-0.015833900045282512,True,True,0.0034085429604601754
11d0f5ac:000,11d0f5ac,3537,2154349.551780273,truth_strong,partial_recovery,-4.107347014369204,-1.8189894035458565e-12,-24.532942182640788,-27.202918767412697,24.679738597723958,27.32205356322719,-2.642314965503232,-0.2255910080206558,True,True,0.007290590989902863
12203f2a:000,12203f2a,210,51169.15842475095,near_tie,large_recovery,-2.536981844693333,-0.0100000000002182,-15.545097619047764,-15.967870874354274,15.609697600065182,16.02711811017648,-0.4174205101112989,-0.05419728979932725,True,True,0.03371771067452634
122bd617:000,122bd617,2076,1455414.989466016,near_tie,large_recovery,-2.926290697724409,0.0099999999993087,-25.607104527938496,-3.8492423069628643,26.477668904377406,4.913921183419959,21.563747720957448,0.9655573246237623,True,True,0.01375624149236737
125be846:000,125be846,957,234746.24512349628,candidate_strong,not_better,4.185416904793204,-0.0199999999986175,15.494258098223488,17.51125129108814,15.661860746786132,17.645100476336054,-1.983239729549922,-0.2692920353975512,True,True,0.005711771934543408
1285a37b:000,1285a37b,697,98213.95407950238,truth_strong,partial_recovery,-1.1149433886121085,0.0100000000002182,-11.836032998565424,-12.284307310214617,11.87053270676894,12.328236481960998,-0.4577037751920585,-0.07860268000808657,True,True,0.007835454502258879
