well,rows,original_episode_rows,exp209_rmse_ft,exp355_rmse_ft,rmse_gain_ft,original_episode_exp209_rmse_ft,original_episode_exp355_rmse_ft,outside_exp209_rmse_ft,outside_exp355_rmse_ft
000d7d20,3836,513,6.701227791836168,6.7856748177165755,-0.08444702588040798,10.243676770465486,10.330668012682011,5.969895699925992,6.056245107175713
00bbac68,6014,295,4.224995442776048,4.1875123407976735,0.03748310197837412,10.80902461175959,10.817014276686193,3.5699758827502923,3.521962935926773
00e12e8b,4301,1130,7.555206391396678,8.020325134744745,-0.465118743348067,12.965801657467933,13.665606364197503,4.185068457298362,4.549677797204019
015fe0d2,4296,858,7.181338219795383,4.70097075597517,2.4803674638202127,14.513136522083064,4.858625903751924,3.4461773097199493,4.660794320614235
01869cd4,5557,840,7.35219209942589,5.6916171756146,1.6605749238112901,17.012922745429726,13.08125681059964,3.483901415424542,2.773174569772998
01982c1d,3941,0,2.7265740763566746,6.334792126784832,-3.608218050428157,,,2.7265740763566746,6.334792126784832
028d7b28,6234,4839,28.19060949233911,28.30894051366398,-0.11833102132487028,31.844996024626454,31.9211873202653,5.803032082670866,6.833675994173666
02e7fe5a,5108,652,6.830467428356592,4.754707001696935,2.0757604266596568,16.722630599094174,10.227143923999895,3.5445915926104825,3.2574379341493005
0390d174,4411,0,3.8650828831850546,3.45179945907654,0.4132834241085144,,,3.8650828831850546,3.45179945907654
03a935ae,2786,0,1.1780829861111344,1.1563190601339648,0.021763925977169585,,,1.1780829861111344,1.1563190601339648
044af7d1,4519,0,2.0694637833980973,8.600774093236826,-6.531310309838728,,,2.0694637833980973,8.600774093236826
0498acab,4798,278,4.790759203860665,5.468982299652862,-0.6782230957921973,11.280827562209774,13.043435381876243,4.0664618368182825,4.613624219231953
052d64df,2445,0,2.9680048041374043,1.5730254044507626,1.3949793996866418,,,2.9680048041374043,1.5730254044507626
05948241,3879,0,3.594042652677206,3.4829443288721063,0.11109832380509976,,,3.594042652677206,3.4829443288721063
059c8f24,6258,293,4.118796581018192,3.6250848441522208,0.4937117368659716,15.221710471953676,11.968720700677084,2.5331171549586853,2.5981342870723516
05a0ee4d,4348,732,5.648677490993058,23.755780382888204,-18.107102891895146,11.298474910987219,39.01198540250731,3.5390601610250383,19.248041031109867
060ab2b8,6258,0,2.0366166529956273,2.129108485940323,-0.09249183294469576,,,2.0366166529956273,2.129108485940323
06df5958,3509,0,2.036227979852899,2.5489821324903006,-0.5127541526374015,,,2.036227979852899,2.5489821324903006
071d7b45,3211,0,2.5436333418824115,9.816327480998577,-7.272694139116165,,,2.5436333418824115,9.816327480998577
0849b4e2,5537,0,2.0201150354290243,2.2788599705132166,-0.2587449350841924,,,2.0201150354290243,2.2788599705132166
084d66f9,3885,713,17.54911908992119,4.305118808651547,13.244000281269646,40.12590768934824,3.170011010101861,3.909300915238593,4.5212075871082575
08fecf00,5574,1904,9.560825135718499,7.250236214353651,2.3105889213648476,13.437368782220211,11.213960972338478,6.719854388429944,3.8205277276321503
09053135,5907,2792,14.484388663850035,14.253743334291926,0.23064532955810968,20.618842219794583,20.293869898226657,4.0972285030175035,4.016816685315058
09441b8d,5488,2567,12.225308608524484,11.110242034290351,1.1150665742341328,17.711442229633,16.101625131059482,2.263904733625259,2.018272715640623
0955cd6c,5195,0,3.6068305144492108,3.802818466739474,-0.19598795229026322,,,3.6068305144492108,3.802818466739474
09ec2ca9,5885,2162,8.64047175686752,8.478188400581827,0.1622833562856929,12.260013882427712,11.937989005550962,5.543157282010277,5.555212604538391
0a57a29c,5821,0,3.8697687809163135,4.1281913235380925,-0.258422542621779,,,3.8697687809163135,4.1281913235380925
0bbf5e67,4298,0,2.9772974378920614,4.515476051492895,-1.5381786136008335,,,2.9772974378920614,4.515476051492895
0be01c24,4738,0,1.7806628591542975,1.7048716098768775,0.07579124927741998,,,1.7806628591542975,1.7048716098768775
0c1b160c,5054,444,6.175658216398278,7.863430337282752,-1.6877721208844738,10.551501702876651,14.729902914539423,5.575762648578791,6.8477714066123845
0d99f8e4,5823,0,3.156176316697604,2.9146922721145603,0.24148404458304373,,,3.156176316697604,2.9146922721145603
0dc5e64d,4879,648,6.453820996626507,8.719408139849358,-2.2655871432228514,11.928152871583144,16.765262440615327,5.1224934005673095,6.680135363627288
0dc835f3,4428,791,7.285986300335432,7.502649677366426,-0.2166633770309936,12.266136358241466,12.269152016934363,5.648747496797956,5.982748053084835
0dd99dc5,7342,525,5.972848114305866,4.3518059608178286,1.6210421534880375,14.815826965380584,1.7978815860661812,4.638669735933115,4.488627208913485
0e5e560d,3253,2689,13.387604532352587,7.200167284627335,6.187437247725252,14.39657655767772,5.025054309296306,6.750701145815011,13.364964116192633
109d9d70,4215,2679,16.40328471042567,12.866698268785225,3.536586441640445,20.21195277690892,15.665236851788126,5.083121090242362,5.127013734835922
10a1281a,5609,3087,11.925819595345565,11.56916829202586,0.35665130331970474,15.838405487632741,15.445683119454184,3.042869592564858,2.379314070186232
10b89021,5414,0,1.2465590040106107,1.2750525827306454,-0.028493578720034662,,,1.2465590040106107,1.2750525827306454
10be2420,3271,0,3.990434618019694,4.157865956267612,-0.16743133824791778,,,3.990434618019694,4.157865956267612
113011eb,3272,1866,26.157974325198587,23.077648311666483,3.0803260135321047,34.526176573186504,30.446105730075573,3.2062707649498634,3.026363490646622
1131525f,4159,195,3.4000858099770777,3.4242027833688415,-0.024116973391763885,10.920883532398062,11.007004054481042,2.5024536848744168,2.518343552177301
11d0f5ac,4883,3537,21.160938807287597,23.435613563817075,-2.2746747565294783,24.679738597723958,27.32205356322719,4.890040557593117,5.554592142169138
12203f2a,3261,210,6.518745686048947,6.541271971312775,-0.022526285263827717,15.609697600065182,16.02711811017648,5.352348212420903,5.296519306738536
122bd617,4570,2076,18.028585620074114,5.02438932800582,13.004196292068293,26.477668904377406,4.913921183419959,3.4666269532414242,5.11452342980876
125be846,6510,957,6.506247801645161,16.189900027040444,-9.683652225395283,15.661860746786132,17.645100476336054,2.711610071897978,15.925685049134387
1285a37b,5597,697,5.7342189850845555,5.78920474666352,-0.05498576157896462,11.87053270676894,12.328236481960998,4.185068194510686,4.082041660890236
1295a25b,5551,0,3.8968033141855725,3.492684973608435,0.4041183405771376,,,3.8968033141855725,3.492684973608435
12f0cd90,5947,1234,7.024485009894812,2.168723835954221,4.855761173940591,14.564249550310985,2.6745624979198226,2.593153511131489,2.015416241333447
137d1e44,4554,2544,21.997694489838054,21.571750382972052,0.4259441068660017,28.77702865348564,28.21358514823865,6.9448232395598115,6.842943116803867
13ce113d,2966,0,4.084547248519499,2.6723841265077013,1.4121631220117976,,,4.084547248519499,2.6723841265077013
13f598d9,7306,403,3.590471490852199,4.503647670505866,-0.913176179653667,12.198455398372438,12.475392883688736,2.226422027510152,3.518650641105717
14a53cb3,6919,0,2.320551193642998,2.3873084342085025,-0.06675724056550436,,,2.320551193642998,2.3873084342085025
14ab73fb,3649,0,3.1112903283134643,8.677352144268564,-5.5660618159551,,,3.1112903283134643,8.677352144268564
14ad5efb,5842,0,3.488641940621939,5.4037037301476865,-1.9150617895257476,,,3.488641940621939,5.4037037301476865
