candidate,anchor,segment_type,segment,rows,weight_sum,sse,anchor_sse,weighted_sse_share,rmse,anchor_rmse,delta_sse_vs_anchor,delta_rmse_vs_anchor,mae,anchor_mae,bias,anchor_bias,mean_abs_step_error,mean_abs_pred_step,mean_abs_true_step,worse_than_anchor,well_id,tail_rows,tail_length_bucket,tail_start_row,tail_end_row,tail_start_md,tail_end_md,max_abs_error,anchor_max_abs_error
exp026,exp073,well,00bbac68,6014,6014.0,674546.0519320786,212497.90600988473,0.726948854977503,10.590685963961109,5.944230140822078,462048.1459221938,4.646455823139031,7.110404879242291,4.173138159398854,5.4507638696964,3.5437038316842577,0.21662614306621913,0.2074622283445967,0.019427906203224175,True,00bbac68,6014,5000+,1545,7558,13123.0,19136.0,26.222728145236033,14.119453124998472
exp026,exp073,well,000d7d20,3836,3836.0,167137.4233778928,19328.620456795237,0.18012166582317116,6.6008148645758755,2.244714592520776,147808.80292109755,4.3561002720551,5.735799830253588,1.7718059990875223,5.517789500210051,1.582813029522828,0.1936335865469008,0.19028544297271924,0.009332464146024644,True,000d7d20,3836,2500-5000,1442,5277,12909.0,16744.0,10.756630326388404,6.183007812500364
exp026,exp073,well,00e12e8b,4301,4301.0,86230.56886711714,40016.37285115596,0.09292947919932593,4.477606293363878,3.0502408933328757,46214.19601596118,1.427365400031002,3.9498238502767586,2.481400655370814,-0.4635610919973506,0.2958273330328798,0.3139661646560849,0.3054934544415876,0.0221372093023257,True,00e12e8b,4301,2500-5000,2083,6383,12539.0,16839.0,10.070870148674658,6.960507812500509
exp027,exp073,well,00bbac68,6014,6014.0,0.16020589975285532,212497.90600988473,0.4105350188419233,0.005161281433074795,5.944230140822078,-212497.74580398496,-5.939068859389003,0.004852759005107941,4.173138159398854,-0.001054436063545139,3.5437038316842577,0.004455346749836607,0.019772160319650206,0.019427906203224175,False,00bbac68,6014,5000+,1545,7558,13123.0,19136.0,0.013934382857769378,14.119453124998472
exp027,exp073,well,00e12e8b,4301,4301.0,0.12345336631225085,40016.37285115596,0.31635495411395087,0.0053575563438262525,3.0502408933328757,-40016.249397789645,-3.0448833369890496,0.003718709555815782,2.481400655370814,-0.0012531889186205235,0.2958273330328798,0.004641860465530636,0.022374418604669995,0.0221372093023257,False,00e12e8b,4301,2500-5000,2083,6383,12539.0,16839.0,0.011406641606299672,6.960507812500509
exp027,exp073,well,000d7d20,3836,3836.0,0.10657760143715839,19328.620456795237,0.2731100270441257,0.005271007956676089,2.244714592520776,-19328.5138791938,-2.2394435845641,0.003616843047106627,1.7718059990875223,-0.0012921008015103243,1.582813029522828,0.004432855281009672,0.009932203390084304,0.009332464146024644,False,000d7d20,3836,2500-5000,1442,5277,12909.0,16744.0,0.011375521033187397,6.183007812500364
exp054,exp073,well,00bbac68,6014,6014.0,367707.8834174563,212497.90600988473,0.6989031288985971,7.819333898111294,5.944230140822078,155209.97740757157,1.8751037572892164,5.413843831089268,4.173138159398854,3.0582972153269012,3.5437038316842577,0.1538488629953176,0.14598881108980252,0.019427906203224175,True,00bbac68,6014,5000+,1545,7558,13123.0,19136.0,18.69914824335865,14.119453124998472
exp054,exp073,well,000d7d20,3836,3836.0,97431.51828708162,19328.620456795237,0.1851882868305932,5.039766737796276,2.244714592520776,78102.89783028638,2.7950521452754997,4.3555393102696875,1.7718059990875223,4.0211946841209745,1.582813029522828,0.1268655707835997,0.12451199708559768,0.009332464146024644,True,000d7d20,3836,2500-5000,1442,5277,12909.0,16744.0,8.515620904492607,6.183007812500364
exp054,exp073,well,00e12e8b,4301,4301.0,60981.98509899221,40016.37285115596,0.11590858427080965,3.765442823933162,3.0502408933328757,20965.612247836252,0.7152019306002861,2.9960723221446024,2.481400655370814,0.7050811667030571,0.2958273330328798,0.3463417489186979,0.33946626445611483,0.0221372093023257,True,00e12e8b,4301,2500-5000,2083,6383,12539.0,16839.0,10.316623862870983,6.960507812500509
exp063,exp073,well,00bbac68,6014,6014.0,238441.91252821064,212497.90600988473,0.8199638547220462,6.296650475019065,5.944230140822078,25944.006518325914,0.35242033419698693,4.445927484307425,4.173138159398854,3.4485362409584512,3.5437038316842577,0.06123989818933525,0.060203056138782636,0.019427906203224175,True,00bbac68,6014,5000+,1545,7558,13123.0,19136.0,15.491289062500073,14.119453124998472
