grid_step_ft,sigma_ft,sigma_in_grid_cells,phase_abs_bias_mean_ft,phase_abs_bias_max_ft,phase_variance_mean_ft2,phase_variance_max_ft2,phase_sd_mean_ft,kernel
0.35,0.02,0.05714285714285715,0.08591566916999294,0.16731871236528856,0.0004000000000000002,0.030624551209065952,0.003590391604102622,configured_without_floor
0.35,0.1225,0.35000000000000003,0.03088532078638599,0.048765105584258776,0.015006249999132427,0.030694787776096678,0.11604600775568161,current_effective_floor
0.35,0.2325,0.6642857142857144,0.0003461926821132856,0.00045263018470791117,0.053919737655668334,0.05408609258485532,0.23220604216024016,phase_minimax_bias
0.35,,,0.0,0.0,0.020416666666666663,0.030624999999999996,0.13744467859455345,minimum_variance_exact_mean_grid_transport
