grid_step_ft,sigma_ft,sigma_in_grid_cells,phase_abs_bias_mean_ft,phase_abs_bias_max_ft,phase_variance_mean_ft2,phase_variance_max_ft2,phase_sd_mean_ft,state_count_multiplier_vs_current,effective_sigma_floor_ft
0.35,0.12249999999999998,0.35,0.030885320786386002,0.048765105584258776,0.015006249999132424,0.030694787776096678,0.11604600775568161,1.0,0.12249999999999998
0.175,0.06124999999999999,0.35,0.015442660393193001,0.024382552792129388,0.003751562499783106,0.007673696944024169,0.058023003877840804,2.0,0.06124999999999999
0.0875,0.030624999999999996,0.35,0.007721330196596501,0.012191276396064694,0.0009378906249457765,0.0019184242360060424,0.029011501938920402,4.0,0.030624999999999996
0.04375,0.02,0.4571428571428572,0.0011825527392856892,0.0018578659886767726,0.000399999422055029,0.0005102296930822975,0.019910018074401382,8.0,0.02
0.035,0.02,0.5714285714285714,0.0001462477461145595,0.00022864915766751363,0.00039990226576984867,0.0004160762301535672,0.019995489875380947,9.999999999999998,0.02
