well_id,hidden_query_label,prefix_selected_label,prefix_selected_is_provided,prefix_selected_hidden_overlap_grid_points,prefix_selected_hidden_coverage_query,prefix_selected_hidden_coverage_candidate,prefix_selected_hidden_corr,prefix_selected_hidden_raw_rmse,prefix_selected_hidden_resid_std,prefix_selected_hidden_z_rmse,provided_hidden_z_rmse,provided_hidden_raw_rmse,oracle_hidden_z_rmse,oracle_hidden_raw_rmse,prefix_selected_minus_provided_hidden_z_rmse,prefix_selected_minus_provided_hidden_raw_rmse
000d7d20,horizontal:train:000d7d20:hidden,typewell:train:000d7d20,True,31.0,1.0,0.02391975373029709,0.015315570868551731,22.717453002929688,22.689254760742188,1.4033420085906982,1.4033420085906982,22.717453002929688,,,0.0,0.0
00bbac68,horizontal:train:00bbac68:hidden,typewell:train:37d36812,False,101.0,1.0,0.0575498566031456,0.7240537405014038,11.701685905456543,11.680314064025879,0.74289470911026,0.74289470911026,11.701685905456543,0.74289470911026,11.701685905456543,0.0,0.0
00e12e8b,horizontal:train:00e12e8b:hidden,typewell:train:389ae58f,False,60.0,1.0,0.030425963923335075,0.7534316778182983,14.096948623657227,7.2687273025512695,0.7022368907928467,0.7022368907928467,14.096948623657227,,,0.0,0.0
015fe0d2,horizontal:train:015fe0d2:hidden,typewell:train:47222616,False,78.0,1.0,0.06456953287124634,0.6898123025894165,10.11013126373291,10.098980903625488,0.7876391410827637,0.7876391410827637,10.11013126373291,,,0.0,0.0
01869cd4,horizontal:train:01869cd4:hidden,typewell:train:000d7d20,False,79.0,1.0,0.060956791043281555,0.8881062269210815,9.045069694519043,8.762619972229004,0.4730618894100189,0.4730618894100189,9.045069694519043,,,0.0,0.0
01982c1d,horizontal:train:01982c1d:hidden,typewell:train:84633df4,False,37.0,1.0,0.01836228370666504,0.9651402831077576,5.379201412200928,3.8041865825653076,0.2640443742275238,0.2640443742275238,5.379201412200928,,,0.0,0.0
028d7b28,horizontal:train:028d7b28:hidden,typewell:train:5b7b6324,False,53.0,1.0,0.036054421216249466,0.842350959777832,7.171624183654785,7.139389991760254,0.5615140795707703,0.5615140795707703,7.171624183654785,,,0.0,0.0
02e7fe5a,horizontal:train:02e7fe5a:hidden,typewell:train:08fecf00,False,50.0,1.0,0.022542830556631088,-0.2676681578159332,23.459245681762695,19.140104293823242,1.5922739505767822,0.9800102114677429,8.798437118530273,,,0.6122637391090393,14.660808563232422
0390d174,horizontal:train:0390d174:hidden,typewell:train:0390d174,True,64.0,1.0,0.03744880110025406,0.7970798015594482,5.343567371368408,5.342421531677246,0.6370560526847839,0.6370560526847839,5.343567371368408,,,0.0,0.0
03a935ae,horizontal:train:03a935ae:hidden,typewell:train:03a935ae,True,108.0,1.0,0.06683168560266495,0.7932197451591492,11.917880058288574,11.595656394958496,0.6430867314338684,0.6430867314338684,11.917880058288574,0.6430867314338684,11.917880058288574,0.0,0.0
