query_label,split,well_id,view,candidate_role,candidate_label,candidate_split,candidate_well_id,candidate_kind,candidate_view,exact_rows,exact_coverage_query,exact_corr,exact_raw_rmse,exact_raw_mae,exact_resid_std,exact_z_rmse
horizontal:train:00e12e8b:prefix,train,00e12e8b,prefix,self_gr_prefix,self_gr:train:00e12e8b:prefix,train,00e12e8b,self_gr,prefix,1889,0.9853938445487741,1.0,0.0,0.0,0.0,0.0
horizontal:train:00e12e8b:prefix,train,00e12e8b,prefix,self_gr_full,self_gr:train:00e12e8b:full,train,00e12e8b,self_gr,full,1889,0.9853938445487741,0.9996340923922215,1.114270616360879,0.3445948727224434,1.1091100492041697,0.027052083386628407
horizontal:train:00e12e8b:prefix,train,00e12e8b,prefix,provided_typewell,typewell:train:00e12e8b,train,00e12e8b,typewell,native,1889,0.9853938445487741,0.9348595340846301,17.331809824073733,13.711789985909489,16.8829918741995,0.3609444996543649
horizontal:train:00e12e8b:prefix,train,00e12e8b,prefix,best_typewell,typewell:train:389ae58f,train,389ae58f,typewell,native,1665,0.8685446009389671,0.9329919176717282,17.52999523990603,13.757881827024843,17.310213136566134,0.36608218292692646
horizontal:train:00e12e8b:hidden,train,00e12e8b,hidden,self_gr_prefix,self_gr:train:00e12e8b:prefix,train,00e12e8b,self_gr,prefix,1131,0.29126963687870205,0.8106845159855053,4.756085170553244,3.4464075027333028,4.580365502473498,0.6153299667893556
horizontal:train:00e12e8b:hidden,train,00e12e8b,hidden,self_gr_full,self_gr:train:00e12e8b:full,train,00e12e8b,self_gr,full,1906,0.4908575843420036,0.9965801819174076,0.7837694114793524,0.22022500907775844,0.7805282967744753,0.082702092870645
horizontal:train:00e12e8b:hidden,train,00e12e8b,hidden,provided_typewell,typewell:train:00e12e8b,train,00e12e8b,typewell,native,1906,0.4908575843420036,0.7468788552806734,14.112442894130398,12.212594380243521,7.489120533137731,0.7115070550870547
horizontal:train:00e12e8b:full,train,00e12e8b,full,self_gr_prefix,self_gr:train:00e12e8b:prefix,train,00e12e8b,self_gr,prefix,2672,0.4606896551724138,0.9978035958403757,2.8331090882164816,1.301698360138158,2.7901728712614142,0.06627826430473717
horizontal:train:00e12e8b:full,train,00e12e8b,full,self_gr_full,self_gr:train:00e12e8b:full,train,00e12e8b,self_gr,full,3447,0.5943103448275862,1.0,0.0,0.0,0.0,0.0
horizontal:train:00e12e8b:full,train,00e12e8b,full,provided_typewell,typewell:train:00e12e8b,train,00e12e8b,typewell,native,3447,0.5943103448275862,0.9435409466905388,16.011689641421686,13.119986551083928,15.654741293154707,0.3360328951440951
horizontal:train:00e12e8b:full,train,00e12e8b,full,best_typewell,typewell:train:389ae58f,train,389ae58f,typewell,native,3223,0.5556896551724138,0.93787726097866,16.027607788699868,13.102666956313877,15.393715870900605,0.35248472029675276
horizontal:train:015fe0d2:prefix,train,015fe0d2,prefix,self_gr_prefix,self_gr:train:015fe0d2:prefix,train,015fe0d2,self_gr,prefix,1249,0.8233355306526038,1.0,0.0,0.0,0.0,0.0
horizontal:train:015fe0d2:prefix,train,015fe0d2,prefix,self_gr_full,self_gr:train:015fe0d2:full,train,015fe0d2,self_gr,full,1249,0.8233355306526038,0.9960719195734367,2.011499637018407,0.518026225550445,1.993281511482746,0.08863498661999493
horizontal:train:015fe0d2:prefix,train,015fe0d2,prefix,provided_typewell,typewell:train:015fe0d2,train,015fe0d2,typewell,native,1249,0.8233355306526038,0.8689378120159142,15.31904322807723,12.164175547571375,11.700941262058578,0.5119808355477493
horizontal:train:015fe0d2:prefix,train,015fe0d2,prefix,best_typewell,typewell:train:47222616,train,47222616,typewell,native,1237,0.8154251812788398,0.8701578427243161,15.18017338227316,12.093124589731417,11.582016129345972,0.5095923022881801
horizontal:train:015fe0d2:hidden,train,015fe0d2,hidden,self_gr_prefix,self_gr:train:015fe0d2:prefix,train,015fe0d2,self_gr,prefix,549,0.18801369863013698,0.9308491303670478,8.943113534793884,6.712687405663933,8.386832186894953,0.37188941806120873
horizontal:train:015fe0d2:hidden,train,015fe0d2,hidden,self_gr_full,self_gr:train:015fe0d2:full,train,015fe0d2,self_gr,full,1937,0.6633561643835616,0.9962269661224317,1.227700726959542,0.24250711931493166,1.221523394727432,0.0868681055113824
horizontal:train:015fe0d2:hidden,train,015fe0d2,hidden,provided_typewell,typewell:train:015fe0d2,train,015fe0d2,typewell,native,1937,0.6633561643835616,0.6207447715767671,12.430075419457976,9.832116585788386,12.170798001888791,0.870925058111469
horizontal:train:015fe0d2:full,train,015fe0d2,full,self_gr_prefix,self_gr:train:015fe0d2:prefix,train,015fe0d2,self_gr,prefix,1640,0.36961911201262115,0.9810121508477285,4.55509621681171,1.9606884729246807,4.466484478153593,0.19487354439364762
horizontal:train:015fe0d2:full,train,015fe0d2,full,self_gr_full,self_gr:train:015fe0d2:full,train,015fe0d2,self_gr,full,3028,0.6824430921794005,1.0,0.0,0.0,0.0,0.0
horizontal:train:015fe0d2:full,train,015fe0d2,full,provided_typewell,typewell:train:015fe0d2,train,015fe0d2,typewell,native,3028,0.6824430921794005,0.7392624277592186,13.629151452808875,10.741374586377455,13.475502435332482,0.7221323593923505
horizontal:train:015fe0d2:full,train,015fe0d2,full,best_typewell,typewell:train:47222616,train,47222616,typewell,native,3016,0.6797385620915033,0.7406906259507795,13.558096821345453,10.70657231635678,13.412889669270594,0.7201518923799625
horizontal:train:01869cd4:prefix,train,01869cd4,prefix,self_gr_prefix,self_gr:train:01869cd4:prefix,train,01869cd4,self_gr,prefix,782,0.9030023094688222,1.0,0.0,0.0,0.0,0.0
horizontal:train:01869cd4:prefix,train,01869cd4,prefix,self_gr_full,self_gr:train:01869cd4:full,train,01869cd4,self_gr,full,782,0.9030023094688222,0.9951079717413047,2.5898351643036306,0.6378125275029493,2.574079889396899,0.09891438983985373
horizontal:train:01869cd4:prefix,train,01869cd4,prefix,provided_typewell,typewell:train:01869cd4,train,01869cd4,typewell,native,782,0.9030023094688222,0.7877820745010513,15.951819850197946,11.3569666094644,15.902630198149172,0.6514874143050634
horizontal:train:01869cd4:prefix,train,01869cd4,prefix,best_typewell,typewell:train:000d7d20,train,000d7d20,typewell,native,782,0.9030023094688222,0.7877820745010513,15.951819850197946,11.3569666094644,15.902630198149172,0.6514874143050634
horizontal:train:01869cd4:hidden,train,01869cd4,hidden,self_gr_prefix,self_gr:train:01869cd4:prefix,train,01869cd4,self_gr,prefix,567,0.20876288659793815,0.873386862487622,13.31292072883664,10.068931310056568,13.255668603599519,0.5032159328009757
horizontal:train:01869cd4:hidden,train,01869cd4,hidden,self_gr_full,self_gr:train:01869cd4:full,train,01869cd4,self_gr,full,1871,0.688880706921944,0.9972044261720486,1.3706101025446424,0.21023837950274396,1.3684590657266777,0.07477397713043449
horizontal:train:01869cd4:hidden,train,01869cd4,hidden,provided_typewell,typewell:train:01869cd4,train,01869cd4,typewell,native,1871,0.688880706921944,0.8158768920886826,10.921773252492015,8.684055433213395,10.551061365020699,0.6068329389730214
horizontal:train:01869cd4:full,train,01869cd4,full,self_gr_prefix,self_gr:train:01869cd4:prefix,train,01869cd4,self_gr,prefix,1266,0.35343383584589616,0.9480064879510584,8.395315260357696,4.19883731812989,8.383833214391109,0.32247019102218316
horizontal:train:01869cd4:full,train,01869cd4,full,self_gr_full,self_gr:train:01869cd4:full,train,01869cd4,self_gr,full,2570,0.7174762702400893,0.9999999999999998,0.0,0.0,0.0,2.1073424255447017e-08
horizontal:train:01869cd4:full,train,01869cd4,full,provided_typewell,typewell:train:01869cd4,train,01869cd4,typewell,native,2570,0.7174762702400893,0.7873278524276046,12.396116275804564,9.311799574353914,12.235147034178397,0.6521842493841681
horizontal:train:01869cd4:full,train,01869cd4,full,best_typewell,typewell:train:000d7d20,train,000d7d20,typewell,native,2570,0.7174762702400893,0.7873278524276046,12.396116275804564,9.311799574353914,12.235147034178397,0.6521842493841681
horizontal:train:01982c1d:prefix,train,01982c1d,prefix,self_gr_prefix,self_gr:train:01982c1d:prefix,train,01982c1d,self_gr,prefix,1200,0.8432888264230499,1.0,0.0,0.0,0.0,0.0
horizontal:train:01982c1d:prefix,train,01982c1d,prefix,self_gr_full,self_gr:train:01982c1d:full,train,01982c1d,self_gr,full,1200,0.8432888264230499,0.9928666724012469,3.7090841944782627,1.0156207233729417,3.6133336894634454,0.11944310443682439
horizontal:train:01982c1d:prefix,train,01982c1d,prefix,provided_typewell,typewell:train:01982c1d,train,01982c1d,typewell,native,1200,0.8432888264230499,0.91790576218758,15.729203202769286,11.007744560117041,14.360004560373286,0.4052017714976576
horizontal:train:01982c1d:prefix,train,01982c1d,prefix,best_typewell,typewell:train:84633df4,train,84633df4,typewell,native,1118,0.7856640899508082,0.9192293636466368,16.206830265866095,11.445392722382712,14.692748007748767,0.40192197340619046
horizontal:train:01982c1d:hidden,train,01982c1d,hidden,self_gr_prefix,self_gr:train:01982c1d:prefix,train,01982c1d,self_gr,prefix,989,0.29807112718505124,0.33755482786299434,11.241596572518914,6.279903202344691,10.924015321888092,1.1510388109329812
horizontal:train:01982c1d:hidden,train,01982c1d,hidden,self_gr_full,self_gr:train:01982c1d:full,train,01982c1d,self_gr,full,1392,0.41952983725135623,0.9545334439110887,3.3681061428646593,0.8765947588290516,3.2858715428295437,0.3015511767143722
horizontal:train:01982c1d:hidden,train,01982c1d,hidden,provided_typewell,typewell:train:01982c1d,train,01982c1d,typewell,native,1392,0.41952983725135623,0.8893966058582127,6.39613560240321,5.2315043417584475,5.107560233541446,0.470326257276345
horizontal:train:01982c1d:full,train,01982c1d,full,self_gr_prefix,self_gr:train:01982c1d:prefix,train,01982c1d,self_gr,prefix,1949,0.41109470575827883,0.9749229086734268,6.362169897791015,2.560597415509934,6.30936296055373,0.22395129527007968
horizontal:train:01982c1d:full,train,01982c1d,full,self_gr_full,self_gr:train:01982c1d:full,train,01982c1d,self_gr,full,2352,0.49609786964775365,1.0,0.0,0.0,0.0,0.0
horizontal:train:01982c1d:full,train,01982c1d,full,provided_typewell,typewell:train:01982c1d,train,01982c1d,typewell,native,2352,0.49609786964775365,0.9519920487034912,11.24762413145142,7.75590000617879,11.217772265692208,0.30986432933304475
horizontal:train:01982c1d:full,train,01982c1d,full,best_typewell,typewell:train:b32902c0,train,b32902c0,typewell,native,2226,0.4695211980594811,0.9482683907647842,11.286976251574032,7.765674051740464,11.269714779822834,0.321656988841268
horizontal:train:028d7b28:prefix,train,028d7b28,prefix,self_gr_prefix,self_gr:train:028d7b28:prefix,train,028d7b28,self_gr,prefix,1195,0.9270752521334368,1.0,0.0,0.0,0.0,0.0
horizontal:train:028d7b28:prefix,train,028d7b28,prefix,self_gr_full,self_gr:train:028d7b28:full,train,028d7b28,self_gr,full,1195,0.9270752521334368,0.9957796027790791,2.606108973811598,1.0786486564840367,2.5958188774771815,0.09187379627424715
horizontal:train:028d7b28:prefix,train,028d7b28,prefix,provided_typewell,typewell:train:028d7b28,train,028d7b28,typewell,native,1195,0.9270752521334368,0.9410176721336709,13.577452312907182,9.978819139991403,11.52422635362277,0.3434598313233414
horizontal:train:028d7b28:prefix,train,028d7b28,prefix,best_typewell,typewell:train:5b7b6324,train,5b7b6324,typewell,native,1065,0.8262218774243599,0.9468909131208291,13.742655603383655,10.092468057485272,11.526618572420196,0.3259112973775869
horizontal:train:028d7b28:hidden,train,028d7b28,hidden,self_gr_prefix,self_gr:train:028d7b28:prefix,train,028d7b28,self_gr,prefix,1165,0.24367287178414557,0.8467977290266738,7.931749258242664,6.244696336844224,7.9280957100402505,0.553538202788798
horizontal:train:028d7b28:hidden,train,028d7b28,hidden,self_gr_full,self_gr:train:028d7b28:full,train,028d7b28,self_gr,full,1935,0.4047270445513491,0.9932655239362509,1.597233793403781,0.48501642360452046,1.5910047195925467,0.11605581470783018
horizontal:train:028d7b28:hidden,train,028d7b28,hidden,provided_typewell,typewell:train:028d7b28,train,028d7b28,typewell,native,1935,0.4047270445513491,0.7377338549049912,9.28009429746084,6.894811984651313,9.273231076094122,0.7242460149631599
horizontal:train:028d7b28:full,train,028d7b28,full,self_gr_prefix,self_gr:train:028d7b28:prefix,train,028d7b28,self_gr,prefix,2028,0.33410214168039537,0.979439048986424,5.332236556780093,3.1245386847873635,5.332235188772115,0.20278535949903298
horizontal:train:028d7b28:full,train,028d7b28,full,self_gr_full,self_gr:train:028d7b28:full,train,028d7b28,self_gr,full,2798,0.46095551894563425,1.0,0.0,0.0,0.0,0.0
horizontal:train:028d7b28:full,train,028d7b28,full,provided_typewell,typewell:train:028d7b28,train,028d7b28,typewell,native,2798,0.46095551894563425,0.9203817812059368,11.240064364757572,8.05036126695335,10.844919911836293,0.399044405534179
horizontal:train:028d7b28:full,train,028d7b28,full,best_typewell,typewell:train:5b7b6324,train,5b7b6324,typewell,native,2668,0.4395387149917628,0.915390456020001,11.194382036147966,8.001761781809432,10.820327355256936,0.4113624775790786
horizontal:train:02e7fe5a:prefix,train,02e7fe5a,prefix,self_gr_prefix,self_gr:train:02e7fe5a:prefix,train,02e7fe5a,self_gr,prefix,986,0.9499036608863198,1.0,0.0,0.0,0.0,0.0
horizontal:train:02e7fe5a:prefix,train,02e7fe5a,prefix,self_gr_full,self_gr:train:02e7fe5a:full,train,02e7fe5a,self_gr,full,986,0.9499036608863198,0.9997545467891459,0.43476018501146263,0.03614364763797433,0.4338724830792053,0.02215640814094733
horizontal:train:02e7fe5a:prefix,train,02e7fe5a,prefix,provided_typewell,typewell:train:02e7fe5a,train,02e7fe5a,typewell,native,694,0.6685934489402697,0.7658966372966997,10.5673196435302,7.564433445738674,10.398366362481104,0.6842563301911065
horizontal:train:02e7fe5a:prefix,train,02e7fe5a,prefix,best_typewell,typewell:train:08fecf00,train,08fecf00,typewell,native,986,0.9499036608863198,0.4813156621588538,22.058438680801313,17.5197033821423,22.05078492651573,1.0185129727609228
horizontal:train:02e7fe5a:hidden,train,02e7fe5a,hidden,self_gr_prefix,self_gr:train:02e7fe5a:prefix,train,02e7fe5a,self_gr,prefix,121,0.06519396551724138,0.609436964189464,7.943633007271238,6.16102058899807,6.9164673111876205,0.8838133692251278
horizontal:train:02e7fe5a:hidden,train,02e7fe5a,hidden,self_gr_full,self_gr:train:02e7fe5a:full,train,02e7fe5a,self_gr,full,1102,0.59375,0.999017800077978,0.410505670688976,0.031911250585930334,0.4097269432676436,0.044321550560014834
horizontal:train:02e7fe5a:hidden,train,02e7fe5a,hidden,provided_typewell,typewell:train:02e7fe5a,train,02e7fe5a,typewell,native,1102,0.59375,0.6731268491053944,7.195450637411023,5.451304785548809,7.146623982346474,0.8085457944910796
horizontal:train:02e7fe5a:full,train,02e7fe5a,full,self_gr_prefix,self_gr:train:02e7fe5a:prefix,train,02e7fe5a,self_gr,prefix,1096,0.37871458189357293,0.9914897132290502,2.5412119862164744,0.6480997200028022,2.508583590045154,0.13046292018002495
horizontal:train:02e7fe5a:full,train,02e7fe5a,full,self_gr_full,self_gr:train:02e7fe5a:full,train,02e7fe5a,self_gr,full,2077,0.7176917760884589,1.0,0.0,0.0,0.0,0.0
horizontal:train:02e7fe5a:full,train,02e7fe5a,full,provided_typewell,typewell:train:02e7fe5a,train,02e7fe5a,typewell,native,1785,0.6167933655839668,0.7279410480263907,8.662412150744197,6.26969558739482,8.659810066799073,0.7376434802445003
horizontal:train:02e7fe5a:full,train,02e7fe5a,full,best_typewell,typewell:train:08fecf00,train,08fecf00,typewell,native,2077,0.7176917760884589,0.21659187830203738,24.500162829625552,19.953098907029766,22.721699056403693,1.251725306685107
horizontal:train:0390d174:prefix,train,0390d174,prefix,self_gr_prefix,self_gr:train:0390d174:prefix,train,0390d174,self_gr,prefix,895,0.9322916666666666,1.0,0.0,0.0,0.0,0.0
horizontal:train:0390d174:prefix,train,0390d174,prefix,self_gr_full,self_gr:train:0390d174:full,train,0390d174,self_gr,full,895,0.9322916666666666,0.9991804956681711,1.0258559749262868,0.34104207153564,1.025855354233382,0.04048467195936923
horizontal:train:0390d174:prefix,train,0390d174,prefix,provided_typewell,typewell:train:0390d174,train,0390d174,typewell,native,895,0.9322916666666666,0.9727316653476284,6.054339094554468,4.282786675483165,6.0418974410391675,0.2335308744143761
horizontal:train:0390d174:prefix,train,0390d174,prefix,best_typewell,typewell:train:0390d174,train,0390d174,typewell,native,895,0.9322916666666666,0.9727316653476284,6.054339094554468,4.282786675483165,6.0418974410391675,0.2335308744143761
horizontal:train:0390d174:hidden,train,0390d174,hidden,self_gr_prefix,self_gr:train:0390d174:prefix,train,0390d174,self_gr,prefix,733,0.3309255079006772,0.7849158944490877,3.569696232284113,2.6848982847107616,3.568510198334716,0.655872099651925
horizontal:train:0390d174:hidden,train,0390d174,hidden,self_gr_full,self_gr:train:0390d174:full,train,0390d174,self_gr,full,1316,0.5941309255079007,0.9959776697125038,0.7173912239040635,0.1848341213484418,0.7173293811207443,0.08969203183668226
horizontal:train:0390d174:hidden,train,0390d174,hidden,provided_typewell,typewell:train:0390d174,train,0390d174,typewell,native,1316,0.5941309255079007,0.7980060171728393,4.826359026550073,3.3225282734562174,4.824975242220059,0.6356004764428056
