well,rows,persistent_rows,episodes,grid_count,rate_span,truth_rows,truth_out_of_grid_fraction,truth_local_illegal_fraction,truth_dynamic_break_fraction,truth_best_position_nll_median,truth_best_position_nll_p90,truth_support_rate_count_median,truth_conditioned_transition_nll_mean,truth_conditioned_transition_nll_median,truth_conditioned_transition_nll_p90,truth_conditioned_rate_edge_mass_mean,posterior_mean_rows,posterior_mean_out_of_grid_fraction,posterior_mean_local_illegal_fraction,posterior_mean_dynamic_break_fraction,posterior_mean_best_position_nll_median,posterior_mean_best_position_nll_p90,posterior_mean_support_rate_count_median,posterior_mean_conditioned_transition_nll_mean,posterior_mean_conditioned_transition_nll_median,posterior_mean_conditioned_transition_nll_p90,posterior_mean_conditioned_rate_edge_mass_mean,marginal_map_rows,marginal_map_out_of_grid_fraction,marginal_map_local_illegal_fraction,marginal_map_dynamic_break_fraction,marginal_map_best_position_nll_median,marginal_map_best_position_nll_p90,marginal_map_support_rate_count_median,marginal_map_conditioned_transition_nll_mean,marginal_map_conditioned_transition_nll_median,marginal_map_conditioned_transition_nll_p90,marginal_map_conditioned_rate_edge_mass_mean,global_viterbi_rows,global_viterbi_out_of_grid_fraction,global_viterbi_local_illegal_fraction,global_viterbi_dynamic_break_fraction,global_viterbi_best_position_nll_median,global_viterbi_best_position_nll_p90,global_viterbi_support_rate_count_median,global_viterbi_conditioned_transition_nll_mean,global_viterbi_conditioned_transition_nll_median,global_viterbi_conditioned_transition_nll_p90,global_viterbi_conditioned_rate_edge_mass_mean
000d7d20,3836,513,2,573,0.1,3836,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,0.16592807807730633,0.08333162175852064,0.10479984329234181,0.0387235627473084,3836,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,,,,,3836,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,,,,,3836,0.0,0.0,0.0,0.033202573760260125,0.03320257376026014,41.0,0.09262681000666607,0.08333162175852064,0.10245248944793707,0.03661519046050773
00bbac68,6014,295,1,573,0.1,6014,0.0,0.00016627868307283005,0.00016627868307283005,0.033202573760260125,0.033202573760260146,41.0,0.24331019762490275,0.08446344624462622,0.13473402454944558,0.04059362260548851,6014,0.0,0.0,0.0,0.033202573760260125,0.033202573760260146,41.0,,,,,6014,0.0,0.0009976720984369804,0.0009976720984369804,0.033202573760260125,0.033202573760260146,41.0,,,,,6014,0.0,0.0,0.0,0.033202573760260125,0.033202573760260146,41.0,0.11106982131230772,0.083331621760263,0.11861624795430567,0.03694354420142957
00e12e8b,4301,1130,2,573,0.1,4301,0.0,0.0,0.0,0.033202573760260125,0.033202573760260146,41.0,0.2776828492360692,0.09339029447109368,0.13858048191174224,0.041253056476934745,4301,0.0,0.0,0.0,0.033202573760260125,0.033202573760260146,41.0,,,,,4301,0.0,0.00023250406882120437,0.00023250406882120437,0.033202573760260125,0.033202573760260146,41.0,,,,,4301,0.0,0.0,0.0,0.033202573760260125,0.033202573760260146,41.0,0.10314995471728715,0.08547404866255696,0.11861624795758453,0.036384837173751204
015fe0d2,4296,858,1,573,0.1,4296,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,0.23946720403985344,0.09489264604838503,0.13473402455403943,0.039777158348910734,4296,0.0,0.0,0.0,0.03320257376026012,0.033202573760260146,41.0,,,,,4296,0.0,0.0023277467411545625,0.0023277467411545625,0.03320257376026012,0.033202573760260146,41.0,,,,,4296,0.0,0.0,0.0,0.03320257376026012,0.033202573760260146,41.0,0.11940802457021588,0.09339029447352161,0.1215136818720999,0.03654179882928307
01869cd4,5557,840,2,573,0.1,5557,0.0,0.0,0.0,0.03320257376026013,0.03320257376026015,41.0,0.29820636067790707,0.09339029447352161,0.1958636265043808,0.041321446417642106,5557,0.0,0.0,0.0,0.03320257376026013,0.03320257376026015,41.0,,,,,5557,0.0,0.0007198128486593485,0.0007198128486593485,0.03320257376026013,0.03320257376026015,41.0,,,,,5557,0.0,0.0,0.0,0.033202573760260125,0.033202573760260146,41.0,0.11729234923846206,0.09339029447109269,0.13858048190708247,0.036499616077018675
01982c1d,3941,0,0,573,0.1,3941,0.0,0.0,0.0,0.033202573760260125,0.033202573760260146,41.0,0.24415623348944465,0.09339029447109368,0.19563946395092022,0.03971028652503002,3941,0.0,0.0,0.0,0.03320257376026012,0.033202573760260146,41.0,,,,,3941,0.0,0.0,0.0,0.03320257376026012,0.033202573760260146,41.0,,,,,3941,0.0,0.0,0.0,0.03320257376026012,0.033202573760260146,41.0,0.11274384287717285,0.0917183326288402,0.15302664551007067,0.0363878273150299
028d7b28,6234,4839,1,573,0.1,6234,0.0,0.0,0.0,0.033202573760260125,0.03320257376026015,41.0,0.23980184813507424,0.09339029447352161,0.1733644433841373,0.03969657657073883,6234,0.0,0.0,0.0,0.033202573760260125,0.03320257376026015,41.0,,,,,6234,0.0,0.001122874558870709,0.001122874558870709,0.033202573760260125,0.03320257376026015,41.0,,,,,6234,0.0,0.0,0.0,0.033202573760260125,0.033202573760260146,41.0,0.142543663315001,0.09339029447109269,0.15302664551007053,0.03725593253761517
02e7fe5a,5108,652,1,573,0.1,5108,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,0.2204130008952268,0.07806582436759843,0.09777173938609056,0.04073451786017538,5108,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,,,,,5108,0.0,0.00039154267815191856,0.00039154267815191856,0.03320257376026013,0.033202573760260146,41.0,,,,,5108,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,0.08138208323336224,0.07806582436759832,0.09339029447109368,0.036538290144479034
0390d174,4411,0,0,573,0.1,4411,0.0,0.0,0.0,0.033202573760260125,0.03320257376026015,41.0,0.2800946028802405,0.09489264605059552,0.17964052936753258,0.04081127324083429,4411,0.0,0.0,0.0,0.03320257376026012,0.033202573760260146,41.0,,,,,4411,0.0,0.000906823849467241,0.000906823849467241,0.03320257376026012,0.033202573760260146,41.0,,,,,4411,0.0,0.0,0.0,0.03320257376026012,0.033202573760260146,41.0,0.10171732261315548,0.09339029447352161,0.13858048191174224,0.03600451840328205
03a935ae,2786,0,0,573,0.1,2786,0.0,0.0,0.0,0.033202573760260125,0.033202573760260146,41.0,0.2912372414407641,0.09339029447352161,0.2262932193982992,0.040776596299999544,2786,0.0,0.0,0.0,0.033202573760260125,0.033202573760260146,41.0,,,,,2786,0.0,0.0,0.0,0.033202573760260125,0.033202573760260146,41.0,,,,,2786,0.0,0.0,0.0,0.03320257376026012,0.033202573760260146,41.0,0.1667824127656368,0.0925543135511577,0.17964052936753258,0.03762592316924445
