cause_bucket,episodes,wells,episode_sse_fraction,truth_episode_any_local_illegal_fraction,truth_episode_any_local_illegal_sse_fraction,truth_episode_any_dynamic_break_fraction,truth_episode_any_dynamic_break_sse_fraction,truth_episode_local_illegal_row_fraction,truth_episode_dynamic_break_row_fraction,truth_episode_best_position_nll_median,truth_episode_conditioned_transition_nll_mean,truth_episode_conditioned_transition_nll_median,truth_episode_conditioned_rate_edge_mass_mean,posterior_mean_episode_any_local_illegal_fraction,posterior_mean_episode_any_local_illegal_sse_fraction,posterior_mean_episode_any_dynamic_break_fraction,posterior_mean_episode_any_dynamic_break_sse_fraction,posterior_mean_episode_local_illegal_row_fraction,posterior_mean_episode_dynamic_break_row_fraction,posterior_mean_episode_best_position_nll_median,marginal_map_episode_any_local_illegal_fraction,marginal_map_episode_any_local_illegal_sse_fraction,marginal_map_episode_any_dynamic_break_fraction,marginal_map_episode_any_dynamic_break_sse_fraction,marginal_map_episode_local_illegal_row_fraction,marginal_map_episode_dynamic_break_row_fraction,marginal_map_episode_best_position_nll_median,global_viterbi_episode_any_local_illegal_fraction,global_viterbi_episode_any_local_illegal_sse_fraction,global_viterbi_episode_any_dynamic_break_fraction,global_viterbi_episode_any_dynamic_break_sse_fraction,global_viterbi_episode_local_illegal_row_fraction,global_viterbi_episode_dynamic_break_row_fraction,global_viterbi_episode_best_position_nll_median,global_viterbi_episode_conditioned_transition_nll_mean,global_viterbi_episode_conditioned_transition_nll_median,global_viterbi_episode_conditioned_rate_edge_mass_mean,truth_minus_global_viterbi_conditioned_transition_nll_mean,truth_minus_global_viterbi_conditioned_transition_nll_median,truth_more_penalized_than_global_viterbi_fraction,truth_more_penalized_than_global_viterbi_sse_fraction,truth_minus_global_viterbi_transition_nll_vs_rmse_spearman,truth_pre16_any_dynamic_break_fraction,truth_pre16_any_dynamic_break_sse_fraction,truth_pre16_conditioned_transition_nll_mean_mean,truth_pre16_conditioned_transition_nll_mean_median,truth_episode_minus_pre16_conditioned_transition_nll_mean,truth_episode_minus_pre16_conditioned_transition_nll_median,truth_pre16_conditioned_transition_nll_mean_vs_rmse_spearman,truth_pre64_any_dynamic_break_fraction,truth_pre64_any_dynamic_break_sse_fraction,truth_pre64_conditioned_transition_nll_mean_mean,truth_pre64_conditioned_transition_nll_mean_median,truth_episode_minus_pre64_conditioned_transition_nll_mean,truth_episode_minus_pre64_conditioned_transition_nll_median,truth_pre64_conditioned_transition_nll_mean_vs_rmse_spearman,truth_pre128_any_dynamic_break_fraction,truth_pre128_any_dynamic_break_sse_fraction,truth_pre128_conditioned_transition_nll_mean_mean,truth_pre128_conditioned_transition_nll_mean_median,truth_episode_minus_pre128_conditioned_transition_nll_mean,truth_episode_minus_pre128_conditioned_transition_nll_median,truth_pre128_conditioned_transition_nll_mean_vs_rmse_spearman,truth_pre256_any_dynamic_break_fraction,truth_pre256_any_dynamic_break_sse_fraction,truth_pre256_conditioned_transition_nll_mean_mean,truth_pre256_conditioned_transition_nll_mean_median,truth_episode_minus_pre256_conditioned_transition_nll_mean,truth_episode_minus_pre256_conditioned_transition_nll_median,truth_pre256_conditioned_transition_nll_mean_vs_rmse_spearman,truth_pre512_any_dynamic_break_fraction,truth_pre512_any_dynamic_break_sse_fraction,truth_pre512_conditioned_transition_nll_mean_mean,truth_pre512_conditioned_transition_nll_mean_median,truth_episode_minus_pre512_conditioned_transition_nll_mean,truth_episode_minus_pre512_conditioned_transition_nll_median,truth_pre512_conditioned_transition_nll_mean_vs_rmse_spearman,truth_prior_dynamic_break_observed_fraction,truth_last_dynamic_break_within_16_fraction,truth_last_dynamic_break_within_16_sse_fraction,truth_last_dynamic_break_within_64_fraction,truth_last_dynamic_break_within_64_sse_fraction,truth_last_dynamic_break_within_128_fraction,truth_last_dynamic_break_within_128_sse_fraction,truth_last_dynamic_break_within_256_fraction,truth_last_dynamic_break_within_256_sse_fraction,truth_last_dynamic_break_within_512_fraction,truth_last_dynamic_break_within_512_sse_fraction,truth_dynamic_break_sign_matches_offset_fraction,truth_dynamic_break_sign_matches_offset_sse_fraction,truth_episode_illegal_vs_rmse_spearman,truth_episode_position_nll_vs_rmse_spearman,truth_episode_transition_nll_vs_rmse_spearman,truth_episode_transition_nll_vs_viterbi_gain_spearman,truth_episode_illegal_vs_viterbi_gain_spearman
candidate_gr_with_opposed_prior,44,34,0.04529172193512498,0.13636363636363635,0.28982357313454454,0.13636363636363635,0.28982357313454454,0.00028888323210782106,0.00028888323210782106,0.033202573760260125,0.24288066454045654,0.23293984369805737,0.04011088628277832,0.0,0.0,0.0,0.0,0.0,0.0,0.033202573760260125,0.38636363636363635,0.7632009743198751,0.38636363636363635,0.7632009743198751,0.0010093908491027664,0.0010093908491027664,0.033202573760260125,0.0,0.0,0.0,0.0,0.0,0.0,0.033202573760260125,0.12411173573699652,0.10752125764622499,0.037270808099621376,0.11876892880346,0.11061247418591533,0.9772727272727273,0.9876334510790339,0.2386187455954898,0.0,0.0,0.3136953665276681,0.2753519139291547,-0.0708147019872116,-0.060097643425037275,0.026779422128259334,0.045454545454545456,0.022905357559972278,0.31050717553595003,0.3070588431574067,-0.06762651099549354,-0.07599684168416163,0.1627906976744186,0.045454545454545456,0.022905357559972278,0.2990790462587341,0.29953218183635666,-0.05619838171827763,-0.05784684484320064,0.20789288231148695,0.045454545454545456,0.022905357559972278,0.27369879445509904,0.2580704457671184,-0.0308181299146425,-0.013713435154771428,0.12868217054263567,0.045454545454545456,0.022905357559972278,0.25840106534585255,0.2550226947593697,-0.015520400805396028,-0.0064382652097266305,0.07399577167019028,0.09090909090909091,0.0,0.0,0.045454545454545456,0.022905357559972278,0.045454545454545456,0.022905357559972278,0.045454545454545456,0.022905357559972278,0.045454545454545456,0.022905357559972278,0.06818181818181818,0.026789502538682706,0.21379556547908038,-0.034076017410618914,0.429598308668076,-0.08513037350246652,-0.06709164706746833
neither_prior_nor_observed_gr,62,56,0.09162580864989919,0.1774193548387097,0.5143117018339737,0.1774193548387097,0.5143117018339737,0.00017644801863286305,0.00017644801863286305,0.03320257376026013,0.24563840431639056,0.22188644404963664,0.040346610396087945,0.0,0.0,0.0,0.0,0.0,0.0,0.03320257376026013,0.6290322580645161,0.9083634112172855,0.6290322580645161,0.9083634112172855,0.002650785244511308,0.002650785244511308,0.03320257376026013,0.0,0.0,0.0,0.0,0.0,0.0,0.03320257376026013,0.10614668681123192,0.10421963511175561,0.03652070551235421,0.1394917175051587,0.11512623126632246,0.9838709677419355,0.9988226424742479,0.23426758328926497,0.0,0.0,0.3422001903414392,0.26849932022282597,-0.0965617860250487,-0.05909319947276355,0.1288056206088993,0.04838709677419355,0.0476419815899198,0.3242885374445211,0.28709852838600974,-0.07865013312813043,-0.07058735858553215,0.05512326559391604,0.04838709677419355,0.0476419815899198,0.3063919886925302,0.26412915425733163,-0.06075358437613958,-0.05562730677255075,0.07038352093878271,0.08064516129032258,0.050076625135612216,0.28105256080385277,0.26918704632442086,-0.03541415648746223,-0.040270834097091104,0.18420588753745812,0.12903225806451613,0.08805784885857482,0.2611185959438038,0.2358726486214895,-0.015480191627413216,-0.015106683337222412,0.2334617612248495,0.20967741935483872,0.0,0.0,0.04838709677419355,0.0476419815899198,0.04838709677419355,0.0476419815899198,0.08064516129032258,0.050076625135612216,0.12903225806451613,0.08805784885857482,0.12903225806451613,0.05081497381206083,0.37908531491567304,-0.0584699616157235,0.27450832263100905,0.01891163657424895,0.21935899369833603
opposed_prior_gr_ambiguous,51,44,0.009874138617949233,0.0392156862745098,0.14996748026930593,0.0392156862745098,0.14996748026930593,0.00011646231699009301,0.00011646231699009301,0.03320257376026013,0.25604608861627876,0.2488577324033394,0.04068123212570981,0.0,0.0,0.0,0.0,0.0,0.0,0.033202573760260125,0.37254901960784315,0.5695774178058743,0.37254901960784315,0.5695774178058743,0.0030997568037459187,0.0030997568037459187,0.033202573760260125,0.0,0.0,0.0,0.0,0.0,0.0,0.033202573760260125,0.0965595549458488,0.09224886821252719,0.03617945022674357,0.15948653367042995,0.15739029954006278,0.9803921568627451,0.996930340689583,0.5632579185520361,0.0,0.0,0.3285230850919224,0.26183982331948896,-0.07247699647564368,-0.05466608427218239,0.42778280542986424,0.0,0.0,0.3283373619187712,0.2741654191192025,-0.07229127330249248,-0.03569871581553452,0.4972850678733032,0.0196078431372549,0.013858939789072124,0.3052553764376419,0.29388805004692364,-0.04920928782136316,-0.03312038212587143,0.46552036199095015,0.0392156862745098,0.028215120589176176,0.2809554064055093,0.25210978756517316,-0.024909317789230546,-0.029063547740815432,0.3580995475113122,0.058823529411764705,0.03412903577419223,0.26082003422124495,0.25199507149557665,-0.004773945604966212,-0.019563498187075812,0.26932126696832576,0.19607843137254902,0.0,0.0,0.0,0.0,0.0196078431372549,0.013858939789072124,0.0392156862745098,0.028215120589176176,0.058823529411764705,0.03412903577419223,0.09803921568627451,0.10493938858127558,0.09121443086589998,0.03776183755612112,0.5409049773755656,-0.04841628959276018,0.0635003117532519
prior_aligned_gr_ambiguous,129,110,0.08243173648122946,0.03875968992248062,0.05388219845196901,0.03875968992248062,0.05388219845196901,8.550345973482432e-05,8.550345973482432e-05,0.03320257376026013,0.26616855418984986,0.24210512327956643,0.040689755810782435,0.0,0.0,0.0,0.0,0.0,0.0,0.033202573760260125,0.4573643410852713,0.7860039681233887,0.4573643410852713,0.7860039681233887,0.0031414621027945956,0.0031414621027945956,0.033202573760260125,0.0,0.0,0.0,0.0,0.0,0.0,0.033202573760260125,0.10247959488669842,0.09679425436123724,0.03606753435743484,0.16368895930315144,0.14575914650850813,1.0,1.0,0.4417654293381038,0.007751937984496124,0.0036040928277029836,0.4102861699035056,0.3430202937305904,-0.14411761571365575,-0.13956845831649134,0.2130254919499106,0.015503875968992248,0.005023992565078224,0.3849898867247653,0.37876286718092306,-0.11882133253491552,-0.11052574401048623,0.20993403398926658,0.015503875968992248,0.005023992565078224,0.38465476750739197,0.38569593836409133,-0.11848621331754214,-0.12430457880717621,0.24302325581395354,0.015503875968992248,0.005023992565078224,0.3527905556996267,0.344322093152561,-0.08662200150977684,-0.07290651371263179,0.24209525939177107,0.03875968992248062,0.007619064601200915,0.30632129345628134,0.300675751266622,-0.04015273926643149,-0.052183671373898954,0.18410666368515208,0.17054263565891473,0.007751937984496124,0.0036040928277029836,0.015503875968992248,0.005023992565078224,0.015503875968992248,0.005023992565078224,0.015503875968992248,0.005023992565078224,0.03875968992248062,0.007619064601200915,0.12403100775193798,0.06261537893495621,0.07051092376953413,0.003187552027414832,0.40955389087656535,-0.09175424865831844,0.07819223469227024
prior_and_wrong_gr_reinforce,136,124,0.28886636243143893,0.15441176470588236,0.19852570032815522,0.15441176470588236,0.19852570032815522,0.00021737947564907955,0.00021737947564907955,0.03320257376026013,0.23706436274155263,0.21780328147187933,0.04003661929328743,0.0,0.0,0.0,0.0,0.0,0.0,0.03320257376026013,0.49264705882352944,0.8833013800847308,0.49264705882352944,0.8833013800847308,0.0013461789056807727,0.0013461789056807727,0.03320257376026013,0.0,0.0,0.0,0.0,0.0,0.0,0.033202573760260125,0.11025225491688118,0.10481273763120295,0.036565798721625124,0.12681210782467142,0.11203062280379922,0.9852941176470589,0.9986895489754039,0.21289060636420018,0.0,0.0,0.36785053420395086,0.3374054810144322,-0.13078617146239832,-0.11899838247565386,0.06379951314292161,0.014705882352941176,0.07354488238680573,0.34981214847147873,0.34356916771282003,-0.11274778572992611,-0.09442884625821046,0.01156433376270216,0.014705882352941176,0.07354488238680573,0.33847236240758416,0.3130251773902342,-0.10140799966603148,-0.08748996774813758,-0.05722055245455846,0.03676470588235294,0.1020016624554113,0.316830751969151,0.28472620801173615,-0.07976638922759839,-0.050567369573391294,-0.0993654882877725,0.0661764705882353,0.10940776045877054,0.28866207340125766,0.26218376252455566,-0.05159771065970508,-0.024733769326297117,-0.057664233576642326,0.17647058823529413,0.0,0.0,0.014705882352941176,0.07354488238680573,0.014705882352941176,0.07354488238680573,0.03676470588235294,0.1020016624554113,0.0661764705882353,0.10940776045877054,0.09558823529411764,0.060431075873101384,0.1070675087461267,-0.04491192604393651,0.3281999904584704,-0.01592958351223701,0.06780487001588255
prior_persists_against_truth_gr,216,184,0.4819102318843581,0.1388888888888889,0.2972462960300553,0.1388888888888889,0.2972462960300553,0.0001924417388418981,0.0001924417388418981,0.03320257376026013,0.27750217623774714,0.25290160428479325,0.04109947561456538,0.0,0.0,0.0,0.0,0.0,0.0,0.033202573760260125,0.6620370370370371,0.8968312243489284,0.6620370370370371,0.8968312243489284,0.0039282785864102185,0.0039282785864102185,0.033202573760260125,0.0,0.0,0.0,0.0,0.0,0.0,0.033202573760260125,0.10701982777561572,0.1015986314765806,0.036318616876100544,0.17048234846213142,0.14394578513386494,1.0,1.0,0.3925588539992141,0.0,0.0,0.393807787828771,0.33292704388942435,-0.11630561159102387,-0.08989107589098054,0.15588663710173387,0.009259259259259259,0.0011784377655973336,0.37092632115202234,0.34441653539298994,-0.09342414491427521,-0.0624638923364436,0.13839769466176066,0.023148148148148147,0.01520246062270752,0.3551480889178115,0.3348606460137107,-0.07764591268006432,-0.0495847588385914,0.14099477250264947,0.05555555555555555,0.03902533965885803,0.3170376776232223,0.2993018866389137,-0.03953550138547519,-0.03884151142994943,0.11021445837649886,0.08796296296296297,0.06219324649261343,0.28805139765946336,0.2879788056537016,-0.010549221421716161,-0.01471599921029322,0.12634349063456338,0.2222222222222222,0.0,0.0,0.009259259259259259,0.0011784377655973336,0.023148148148148147,0.01520246062270752,0.05555555555555555,0.03902533965885803,0.08796296296296297,0.06219324649261343,0.12037037037037036,0.07899777910041964,0.27734510673921603,0.06688581467302887,0.3949118231938936,-0.0171483347027233,0.2088693814124978
